Air Quality Station EoI Code,Longitude,Latitude,geometry,state,district,town_city
DERP003,8.4259,49.4555,POINT (8.4259 49.4555),Rheinland-Pfalz,Ludwigshafen am Rhein,Ludwigshafen am Rhein
DERP007,8.2168,50.0176,POINT (8.2168 50.0176),Rheinland-Pfalz,Mainz,Mainz
DERP010,8.2611,50.001,POINT (8.2611 50.001),Rheinland-Pfalz,Mainz,Mainz
DERP011,8.2658,50.0099,POINT (8.2658 50.0099),Rheinland-Pfalz,Mainz,Mainz
DERP012,8.2689,49.9991,POINT (8.2689 49.9991),Rheinland-Pfalz,Mainz,Mainz
DERP020,6.6467,49.7542,POINT (6.6467 49.7542),Rheinland-Pfalz,Trier,Trier
DERP021,7.4814,50.4247,POINT (7.4814 50.4247),Rheinland-Pfalz,Neuwied,Neuwied
DERP022,7.8662,49.8412,POINT (7.8662 49.8412),Rheinland-Pfalz,Bad Kreuznach,Bad Kreuznach(Verbandsfreie Geme
DERP023,8.3648,49.6288,POINT (8.3648 49.6288),Rheinland-Pfalz,Worms,Worms
DENI076,8.2175,53.1518,POINT (8.2175 53.1518),Niedersachsen,Oldenburg (Kreisfreie Stadt),Oldenburg (Oldb)
DERP009,8.274,49.995,POINT (8.274 49.995),Rheinland-Pfalz,Mainz,Mainz
DERP001,8.4023,49.515,POINT (8.4023 49.515),Rheinland-Pfalz,Ludwigshafen am Rhein,Ludwigshafen am Rhein
DERP041,8.4439,49.4785,POINT (8.4439 49.4785),Rheinland-Pfalz,Ludwigshafen am Rhein,Ludwigshafen am Rhein
DESL017,6.8677,49.2543,POINT (6.8677 49.2543),Saarland,Regionalverband Saarbrücken,Völklingen
DESL003,6.7335,49.3579,POINT (6.7335 49.3579),Saarland,Saarlouis,Dillingen/Saar
DERP002,8.4386,49.4823,POINT (8.4386 49.4823),Rheinland-Pfalz,Ludwigshafen am Rhein,Ludwigshafen am Rhein
DERP019,7.7673,49.446,POINT (7.7673 49.446),Rheinland-Pfalz,Kaiserslautern (Kreisfreie Stadt,Kaiserslautern
DERP024,7.5966,50.3544,POINT (7.5966 50.3544),Rheinland-Pfalz,Koblenz,Koblenz
DESL020,7.0032,49.2307,POINT (7.0032 49.2307),Saarland,Regionalverband Saarbrücken,Saarbrücken
DERP025,8.2535,49.0523,POINT (8.2535 49.0523),Rheinland-Pfalz,Germersheim,Wörth am Rhein
DESL012,6.9876,49.2335,POINT (6.9876 49.2335),Saarland,Regionalverband Saarbrücken,Saarbrücken
DEST103,11.6327,52.1208,POINT (11.6327 52.1208),Sachsen-Anhalt,Magdeburg,Magdeburg
DEST105,11.8503,52.6021,POINT (11.8503 52.6021),Sachsen-Anhalt,Stendal,Stendal
DEST075,11.9834,51.4752,POINT (11.9834 51.4752),Sachsen-Anhalt,Halle (Saale),Halle (Saale)
DEST108,11.961,51.1972,POINT (11.961 51.1972),Sachsen-Anhalt,Burgenlandkreis,Weißenfels
DETH072,10.6931,50.6115,POINT (10.6931 50.6115),Thüringen,Suhl,Suhl
DEST011,10.7901,51.8394,POINT (10.7901 51.8394),Sachsen-Anhalt,Harz,Wernigerode
DEUB004,7.904,47.9129,POINT (7.904 47.9129),Baden-Württemberg,Breisgau-Hochschwarzwald,Dreisamtal
DEST092,12.5983,51.8675,POINT (12.5983 51.8675),Sachsen-Anhalt,Wittenberg,Wittenberg
DEST015,12.3029,51.6512,POINT (12.3029 51.6512),Sachsen-Anhalt,Anhalt-Bitterfeld,Bitterfeld-Wolfen
DEUB030,13.0323,53.1423,POINT (13.0323 53.1423),Brandenburg,Oberhavel,Gransee und Gemeinden
DEST076,11.6234,52.132,POINT (11.6234 52.132),Sachsen-Anhalt,Magdeburg,Magdeburg
DEUB044,10.9807,47.4144,POINT (10.9807 47.4144),Bayern,Garmisch-Partenkirchen,Garmisch-Partenkirchen
DEST133,11.9839,51.4758,POINT (11.9839 51.4758),Sachsen-Anhalt,Halle (Saale),Halle (Saale)
DETH020,11.0379,50.9795,POINT (11.0379 50.9795),Thüringen,Erfurt,Erfurt
DETH094,10.4658,51.2085,POINT (10.4658 51.2085),Thüringen,Unstrut-Hainich-Kreis,Mühlhausen/Thüringen
DENW058,6.8738,50.8762,POINT (6.8738 50.8762),Nordrhein-Westfalen,Rhein-Erft-Kreis,Hürth
DEST077,11.6115,52.1279,POINT (11.6115 52.1279),Sachsen-Anhalt,Magdeburg,Magdeburg
DETH025,10.4149,50.5715,POINT (10.4149 50.5715),Thüringen,Schmalkalden-Meiningen,Meiningen
DENW098,7.6184,51.9748,POINT (7.6184 51.9748),Nordrhein-Westfalen,Münster,Münster
DENW100,6.4589,51.17,POINT (6.4589 51.17),Nordrhein-Westfalen,Mönchengladbach,Mönchengladbach
DENW060,6.9677,50.8266,POINT (6.9677 50.8266),Nordrhein-Westfalen,Rhein-Erft-Kreis,Wesseling
DESN036,13.9357,50.959,POINT (13.9357 50.959),Sachsen,Sächsische Schweiz-Osterzgebirge,Pirna
DESH019,10.1156,54.3264,POINT (10.1156 54.3264),Schleswig-Holstein,Kiel,Kiel
DESH022,9.4381,54.7814,POINT (9.4381 54.7814),Schleswig-Holstein,Flensburg,Flensburg
DESH024,9.9808,54.0724,POINT (9.9808 54.0724),Schleswig-Holstein,Neumünster,Neumünster
DESH026,10.691,53.8729,POINT (10.691 53.8729),Schleswig-Holstein,Lübeck,Lübeck
DEBB044,14.328,51.7566,POINT (14.328 51.7566),Brandenburg,Cottbus,Cottbus
DEST080,11.983,51.3873,POINT (11.983 51.3873),Sachsen-Anhalt,Saalekreis,Schkopau
DESN017,13.3468,50.9163,POINT (13.3468 50.9163),Sachsen,Mittelsachsen,Freiberg
DEST097,11.5119,51.6259,POINT (11.5119 51.6259),Sachsen-Anhalt,Mansfeld-Südharz,Hettstedt
DESL013,6.7536,49.3226,POINT (6.7536 49.3226),Saarland,Saarlouis,Saarlouis
DETH039,11.3232,50.9794,POINT (11.3232 50.9794),Thüringen,Weimar,Weimar
DESN061,13.7414,51.0649,POINT (13.7414 51.0649),Sachsen,Dresden,Dresden
DETH043,11.0194,50.9849,POINT (11.0194 50.9849),Thüringen,Erfurt,Erfurt
DETH009,12.0749,50.8779,POINT (12.0749 50.8779),Thüringen,Gera,Gera
DESN047,12.493,50.72,POINT (12.493 50.72),Sachsen,Zwickau,Zwickau
DEST029,11.739,51.8035,POINT (11.739 51.8035),Sachsen-Anhalt,Salzlandkreis,Bernburg (Saale)
DETH018,10.7914,51.4972,POINT (10.7914 51.4972),Thüringen,Nordhausen,Nordhausen
DESN001,12.9973,50.5709,POINT (12.9973 50.5709),Sachsen,Erzgebirgskreis,Annaberg-Buchholz
DESN050,14.2543,51.4369,POINT (14.2543 51.4369),Sachsen,Bautzen,Hoyerswerda
DENW094,6.0938,50.7547,POINT (6.0938 50.7547),Nordrhein-Westfalen,Städteregion Aachen,Aachen
DESN051,13.675,51.1195,POINT (13.675 51.1195),Sachsen,Meißen,Radebeul
DENW099,6.0959,50.7748,POINT (6.0959 50.7748),Nordrhein-Westfalen,Städteregion Aachen,Aachen
DENW053,6.8846,51.0193,POINT (6.8846 51.0193),Nordrhein-Westfalen,Köln,Köln
DETH024,10.917,50.685,POINT (10.917 50.685),Thüringen,Ilm-Kreis,Ilmenau
DENW050,6.8041,51.1035,POINT (6.8041 51.1035),Nordrhein-Westfalen,Rhein-Kreis Neuss,Dormagen
DENW021,6.9769,51.526,POINT (6.9769 51.526),Nordrhein-Westfalen,Bottrop,Bottrop
DENW080,7.0526,51.1838,POINT (7.0526 51.1838),Nordrhein-Westfalen,Solingen,Solingen
DENW023,7.2239,51.5276,POINT (7.2239 51.5276),Nordrhein-Westfalen,Herne,Herne
DESH010,10.675,53.8667,POINT (10.675 53.8667),Schleswig-Holstein,Lübeck,Lübeck
DENW096,6.4256,51.1546,POINT (6.4256 51.1546),Nordrhein-Westfalen,Mönchengladbach,Mönchengladbach
DEST031,12.0616,51.296,POINT (12.0616 51.296),Sachsen-Anhalt,Saalekreis,Bad Dürrenberg
DETH041,11.5971,50.9335,POINT (11.5971 50.9335),Thüringen,Jena,Jena
DESN006,12.4931,51.125,POINT (12.4931 51.125),Sachsen,Leipzig,Borna
DEST030,12.2514,51.8434,POINT (12.2514 51.8434),Sachsen-Anhalt,Dessau-Roßlau,Dessau-Roßlau
DEST002,11.8648,52.2684,POINT (11.8648 52.2684),Sachsen-Anhalt,Jerichower Land,Burg
DESH025,9.5118,53.928,POINT (9.5118 53.928),Schleswig-Holstein,Steinburg,Itzehoe
DENW082,6.7825,51.2132,POINT (6.7825 51.2132),Nordrhein-Westfalen,Düsseldorf,Düsseldorf
DENW040,6.763,51.3853,POINT (6.763 51.3853),Nordrhein-Westfalen,Duisburg,Duisburg
DENW113,7.3032,51.5806,POINT (7.3032 51.5806),Nordrhein-Westfalen,Recklinghausen,Castrop-Rauxel
DENW133,7.4636,51.3628,POINT (7.4636 51.3628),Nordrhein-Westfalen,Hagen,Hagen
DENW042,6.6402,51.3377,POINT (6.6402 51.3377),Nordrhein-Westfalen,Krefeld,Krefeld
DETH036,12.2052,50.6559,POINT (12.2052 50.6559),Thüringen,Greiz,Greiz
DENW043,7.0305,51.4512,POINT (7.0305 51.4512),Nordrhein-Westfalen,Essen,Essen
DENW059,6.9851,50.8899,POINT (6.9851 50.8899),Nordrhein-Westfalen,Köln,Köln
DESN014,13.7299,51.0512,POINT (13.7299 51.0512),Sachsen,Dresden,Dresden
DESN011,12.9173,50.8325,POINT (12.9173 50.8325),Sachsen,Chemnitz,Chemnitz
DENW101,7.4643,51.5196,POINT (7.4643 51.5196),Nordrhein-Westfalen,Dortmund,Dortmund
DENW115,6.5574,51.3076,POINT (6.5574 51.3076),Nordrhein-Westfalen,Krefeld,Krefeld
DEST044,11.0574,51.897,POINT (11.0574 51.897),Sachsen-Anhalt,Harz,Halberstadt
