Air Quality Station EoI Code,Air Pollutant,Date,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Linke,Gruene,SPD,FDP,CDU,AfD,Others
DEBE051,PM10,1999,23.147,ug/m3,Background,suburban,BE,Berlin,Berlin,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0
DEBE051,PM10,2001,21.41,ug/m3,Background,suburban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE034,PM10,2011,25.231,ug/m3,Background,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE061,PM10,2011,28.185,ug/m3,Traffic,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE061,PM10,2001,34.884,ug/m3,Traffic,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE051,PM10,2001,21.164,ug/m3,Background,suburban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE051,PM10,2001,21.41,ug/m3,Background,suburban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE034,PM10,2006,31.406,ug/m3,Background,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE010,PM10,2001,22.714,ug/m3,Background,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE010,PM10,2006,28.817,ug/m3,Background,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE067,PM10,2011,28.247,ug/m3,Traffic,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE018,PM10,2006,26.973,ug/m3,Background,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE065,PM10,2001,35.643,ug/m3,Traffic,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE056,PM10,2011,21.238,ug/m3,Background,rural,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE061,PM10,1999,37.022,ug/m3,Traffic,urban,BE,Berlin,Berlin,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0
DEBE064,PM10,2011,29.601,ug/m3,Traffic,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE051,PM10,2011,21.356,ug/m3,Background,suburban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE051,PM10,2006,27.076,ug/m3,Background,suburban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE067,PM10,2006,34.117,ug/m3,Traffic,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE051,PM10,1999,23.147,ug/m3,Background,suburban,BE,Berlin,Berlin,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0
DEBE061,PM10,2001,35.139,ug/m3,Traffic,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE063,PM10,2011,31.875,ug/m3,Traffic,urban,BE,Berlin,Berlin,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
DEBE034,PM10,2001,25.942,ug/m3,Background,urban,BE,Berlin,Berlin,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
DEBE056,PM10,2006,26.852,ug/m3,Background,rural,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE061,PM10,2006,36.553,ug/m3,Traffic,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE063,PM10,2006,38.306,ug/m3,Traffic,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE027,PM10,2006,26.17,ug/m3,Industrial,rural,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
DEBE068,PM10,2006,36.177,ug/m3,Background,urban,BE,Berlin,Berlin,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100673,0.0,0.0
