Air Quality Station EoI Code,Longitude,Latitude,geometry,state_x,district,town_city,Unnamed: 0,city,state_y,population
DEBE067,13.333,52.5066,POINT (13.333 52.5066),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE068,13.4188,52.5136,POINT (13.4188 52.5136),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE027,13.3681,52.3984,POINT (13.3681 52.3984),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE033,13.2599,52.5325,POINT (13.2599 52.5325),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW001,8.4184,49.0101,POINT (8.4184 49.0101),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe,22,Karlsruhe,Baden-Württemberg,"308,707"
DEBW096,9.9801,48.393,POINT (9.9801 48.393),Baden-Württemberg,Ulm,Ulm,60,Ulm,Baden-Württemberg,"128,928"
DEBW006,8.478,49.4758,POINT (8.478 49.4758),Baden-Württemberg,Mannheim,Mannheim,21,Mannheim,Baden-Württemberg,"315,554"
DEBW007,8.5258,49.432,POINT (8.5258 49.432),Baden-Württemberg,Mannheim,Mannheim,21,Mannheim,Baden-Württemberg,"315,554"
DEBW009,8.6767,49.4195,POINT (8.6767 49.4195),Baden-Württemberg,Heidelberg,Heidelberg,50,Heidelberg,Baden-Württemberg,"162,273"
DEBY077,9.9564,49.8047,POINT (9.9564 49.8047),Bayern,Würzburg (Kreisfreie Stadt),Würzburg,63,Würzburg,Bavaria,"127,810"
DENI038,8.0529,52.2553,POINT (8.0529 52.2553),Niedersachsen,Osnabrück (Kreisfreie Stadt),Osnabrück,48,Osnabrück,Lower Saxony,"167,366"
DEBE010,13.3493,52.543,POINT (13.3493 52.543),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHH015,10.0212,53.5233,POINT (10.0212 53.5233),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBE026,13.2755,52.4092,POINT (13.2755 52.4092),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE032,13.2251,52.4732,POINT (13.2251 52.4732),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE011,13.396,52.5509,POINT (13.396 52.5509),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHE014,9.481,51.3401,POINT (9.481 51.3401),Hessen,Kassel (Kreisfreie Stadt),Kassel,40,Kassel,Hesse,"204,202"
DEBE063,13.4417,52.4675,POINT (13.4417 52.4675),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHH048,9.9427,53.5555,POINT (9.9427 53.5555),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBE015,13.3391,52.519,POINT (13.3391 52.519),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBE018,13.3488,52.4858,POINT (13.3488 52.4858),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW014,9.2655,48.7523,POINT (9.2655 48.7523),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DENI008,10.5246,52.2633,POINT (10.5246 52.2633),Niedersachsen,Braunschweig,Braunschweig,28,Braunschweig,Lower Saxony,"251,804"
DEBB021,13.0599,52.4014,POINT (13.0599 52.4014),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DENI020,10.8164,52.4408,POINT (10.8164 52.4408),Niedersachsen,Wolfsburg,Wolfsburg,64,Wolfsburg,Lower Saxony,"125,961"
DENI042,9.9498,51.5511,POINT (9.9498 51.5511),Niedersachsen,Göttingen,Göttingen,65,Göttingen,Lower Saxony,"118,946"
DEBW011,9.1725,48.8256,POINT (9.1725 48.8256),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEHE011,8.9216,50.1358,POINT (8.9216 50.1358),Hessen,Main-Kinzig-Kreis,Hanau,81,Hanau,Hesse,"101,364"
