City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD
Naumburg (Saale),SA,2019,13.228179915847265,10.039826294354565,12.30790000675022,5.996444884458745,30.555993069774768,15.012487905856942
Wei�enfels,SA,2019,11.811474367128865,3.7866259593775173,9.574693635245728,3.464359920281559,20.584743247254377,19.17906966882924
Zeitz,SA,2019,12.910647716682199,5.050093196644921,8.172180801491146,6.561626281453868,28.917171481826653,19.116961789375583
Halberstadt,SA,2019,21.550052872752907,8.616055692633063,11.405093408530137,2.99391963341558,22.841029256256608,13.401039830807191
Quedlinburg,SA,2019,17.511347735572162,13.743558240333096,20.395208354663662,8.733490324562302,23.128903450394183,16.48749189447459
Wernigerode,SA,2019,19.866646128116543,14.811962238408555,15.139845520762274,3.2282199678718393,26.890830270888806,12.246110512070066
Burg,SA,2019,17.835377323000525,6.207207885034986,22.202994507561506,4.627191332480626,24.69716349409375,17.06041682341434
Sangerhausen,SA,2019,19.496147519695263,4.063140276455141,14.03630277320867,6.533344876345483,19.934781981358036,20.27241508671688
Eisleben,SA,2019,18.789114186603726,4.191252726817581,21.05997210599721,4.269928119300504,18.63176340163788,21.893216035475447
Merseburg,SA,2019,17.579761935367767,7.645833868935907,14.486978430213126,7.327043216700517,20.80623184307273,23.66249325140756
Aschersleben,SA,2019,11.708889087816669,6.824217467848298,6.463163548473727,6.4124369647599435,16.4742040402232,14.659982693283203
Sta�furt,SA,2019,17.892882311486964,3.368569415081043,16.053558844256518,12.85059901338971,22.4031007751938,20.28893587033122
Sch�nebeck (Elbe),SA,2019,17.038242922576018,7.808619833342531,19.54914187958722,9.2516969262182,27.779923845262406,18.57237459301363
Bernburg (Saale),SA,2019,17.567225401326784,8.482301109029219,11.720767711551122,15.164328758798806,30.012153744872638,17.05322327442143
Stendal,SA,2019,18.971756493436974,6.55232222008094,13.085372904220465,5.494529025074409,23.915976103295435,17.95250637031327
Wittenberg,SA,2019,14.829037264596234,6.668906702507241,15.765052240835853,2.825645210323365,19.323509176146818,17.08347333557337
Dessau-Ro�lau,SA,2014,21.315843201306656,6.52817476521029,14.074111882400981,4.548795426704777,28.30134748877093,5.941200489995917
Halle (Saale),SA,2014,25.080385852090032,10.050540817538412,19.138650749314905,4.233728188052309,25.117334752640307,4.57550551814235
