ERGART;DATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - DIE LINKE;D03 - SPD;D04 - FDP;D05 - GRÜNE;D08;D09;D11;D12;D13;D14;D15;AGS 2014;NAME 2014
E;07.06.2009;;;;GEM;15081585;Zethlingen;268;133;6;127;373;122;46;52;132;6;;;;;;15;;15081240;Kalbe (Milde), Stadt
E;07.06.2009;;;;GEM;15081590;Zichtau;238;107;1;106;315;67;32;207;6;;;;;;;3;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081595;Ziemendorf;167;82;2;80;240;78;79;39;37;6;;;;;;1;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15090010;Arneburg, Stadt;1413;686;29;657;1875;844;413;288;142;63;;;;;;125;;15090010;Arneburg, Stadt
E;07.06.2009;;;;GEM;15090015;Aulosen;181;78;0;78;234;165;21;16;3;7;;;;;;22;;15090003;Aland
E;07.06.2009;;;;GEM;15090020;Baben;170;82;0;82;244;59;33;42;13;6;;;;;;91;;15090135;Eichstedt (Altmark)
E;07.06.2009;;;;GEM;15090025;Badingen;395;165;11;154;450;172;117;97;14;24;;;;;;26;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090030;Ballerstedt;235;96;2;94;274;103;42;28;10;0;;;;;;91;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090035;Beelitz;77;39;2;37;108;32;27;20;5;8;;;;;;16;;15090010;Arneburg, Stadt
E;07.06.2009;;;;GEM;15090040;Behrendorf;417;197;6;191;557;132;128;56;7;13;;;;;;221;;15090610;Werben (Elbe), Hansestadt
E;07.06.2009;;;;GEM;15090045;Bellingen;227;93;0;93;279;112;32;53;23;7;;;;;;52;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090050;Berkau;399;162;9;153;459;162;93;93;49;37;;;;;;25;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090060;Beuster;435;189;7;182;529;183;38;68;24;30;;;;;;186;;15090520;Seehausen (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090065;Birkholz;353;125;3;122;365;93;79;86;26;22;;;;;;59;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090070;Bismark (Altmark), Stadt;2707;848;34;814;2383;862;478;417;151;333;;;;;;142;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090075;Bittkau;605;255;13;242;716;367;109;137;21;29;;;;;;53;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090080;B�lsdorf;242;146;5;141;421;163;112;86;29;9;;;;;;22;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090085;Boock;238;97;3;94;281;100;33;21;24;3;;;;;;100;;15090007;Altm�rkische H�he
E;07.06.2009;;;;GEM;15090090;Bretsch;534;191;4;187;551;141;67;34;33;9;;;;;;267;;15090007;Altm�rkische H�he
E;07.06.2009;;;;GEM;15090095;Buch;337;140;4;136;397;113;203;36;25;4;;;;;;16;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090100;Buchholz;234;71;1;70;204;96;55;27;9;6;;;;;;11;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090105;B�ste;291;146;1;145;431;168;81;66;44;40;;;;;;32;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090110;Cobbel;222;117;7;110;324;88;63;75;29;19;;;;;;50;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090115;Dahlen;513;244;11;233;687;336;108;100;72;9;;;;;;62;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090120;Demker;312;178;10;168;495;225;53;103;33;26;;;;;;55;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090125;Dobberkau;254;95;4;91;270;84;64;23;19;15;;;;;;65;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090130;D�sedau;272;119;4;115;336;90;72;26;15;0;;;;;;133;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090135;Eichstedt (Altmark);388;242;9;233;677;476;62;51;39;14;;;;;;35;;15090135;Eichstedt (Altmark)
E;07.06.2009;;;;GEM;15090140;Erxleben;411;201;8;193;575;119;107;40;53;11;;;;;;245;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090145;Falkenberg;216;69;4;65;193;71;27;10;7;4;;;;;;74;;15090008;Altm�rkische Wische
E;07.06.2009;;;;GEM;15090150;Fischbeck (Elbe);565;270;4;266;776;349;172;77;76;11;;;;;;91;;15090631;Wust-Fischbeck
E;07.06.2009;;;;GEM;15090155;Flessau;814;354;15;339;1012;335;403;91;70;27;;;;;;86;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090160;Gagel;112;54;1;53;159;64;6;12;9;1;;;;;;67;;15090007;Altm�rkische H�he
E;07.06.2009;;;;GEM;15090165;Garlipp;156;91;1;90;266;184;46;18;8;1;;;;;;9;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090170;Geestgottberg;331;162;6;156;459;155;91;77;28;24;;;;;;84;;15090520;Seehausen (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090175;Gladigau;321;162;5;157;462;235;84;33;13;14;;;;;;83;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090180;Goldbeck;1381;393;13;380;1116;300;181;342;43;18;;;;;;232;;15090180;Goldbeck
E;07.06.2009;;;;GEM;15090185;Gollensdorf;245;132;1;131;382;227;76;35;8;13;;;;;;23;;15090635;Zehrental
E;07.06.2009;;;;GEM;15090190;Grassau;236;129;9;120;355;112;107;43;34;8;;;;;;51;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090195;Grieben;685;352;11;341;982;481;189;186;58;17;;;;;;51;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090200;Grobleben;85;61;1;60;180;66;35;52;6;4;;;;;;17;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090205;Gro� Garz;611;198;1;197;585;307;84;65;20;33;;;;;;76;;15090635;Zehrental
E;07.06.2009;;;;GEM;15090210;Gro� Schwechten;511;165;2;163;489;144;114;89;74;10;;;;;;58;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090215;H�merten;175;102;1;101;301;132;54;65;27;11;;;;;;12;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090220;Hassel;717;404;14;390;1141;527;277;155;100;37;;;;;;45;;15090220;Hassel
E;07.06.2009;;;;GEM;15090225;Havelberg, Hansestadt;6318;2643;88;2555;7558;1894;2427;2492;318;209;;;;;;218;;15090225;Havelberg, Hansestadt
E;07.06.2009;;;;GEM;15090230;Heeren;478;197;2;195;577;160;85;65;42;7;;;;;;218;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090235;Heiligenfelde;181;158;2;156;466;403;21;13;9;1;;;;;;19;;15090007;Altm�rkische H�he
E;07.06.2009;;;;GEM;15090245;Hohenberg-Krusemark;1039;358;10;348;1038;274;186;253;32;86;;;;;;207;;15090245;Hohenberg-Krusemark
E;07.06.2009;;;;GEM;15090250;Hoheng�hren;379;211;7;204;604;175;59;95;219;11;;;;;;45;;15090500;Sch�nhausen (Elbe)
E;07.06.2009;;;;GEM;15090255;Hohenwulsch;327;146;4;142;420;161;122;65;23;12;;;;;;37;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090260;Holzhausen;100;66;5;61;175;64;34;20;27;15;;;;;;15;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090265;H�selitz;229;81;4;77;231;77;43;46;13;2;;;;;;50;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090270;Iden;744;374;11;363;1056;202;222;90;49;23;;;;;;470;;15090270;Iden
E;07.06.2009;;;;GEM;15090275;Insel;617;339;13;326;965;522;143;128;81;15;;;;;;76;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090280;Jerchel;115;97;3;94;278;113;66;51;37;7;;;;;;4;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090285;Kamern;614;257;10;247;713;280;173;148;54;35;;;;;;23;;15090285;Kamern
E;07.06.2009;;;;GEM;15090290;K�then;112;75;4;71;211;83;31;37;26;7;;;;;;27;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090295;Kehnert;325;133;4;129;384;141;72;108;30;13;;;;;;20;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090300;Kl�den;609;271;6;265;791;285;284;126;27;30;;;;;;39;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090305;Klein Schwechten;450;226;3;223;666;284;119;112;35;3;;;;;;113;;15090435;Rochau
E;07.06.2009;;;;GEM;15090310;Klietz;1262;545;29;516;1513;355;585;239;203;45;;;;;;86;;15090310;Klietz
E;07.06.2009;;;;GEM;15090315;K�nigsmark;410;208;4;204;607;136;73;131;20;8;;;;;;239;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090320;K�nnigde;154;88;8;80;236;101;41;47;14;8;;;;;;25;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090325;Kossebau;217;107;2;105;303;167;22;30;23;6;;;;;;55;;15090007;Altm�rkische H�he
E;07.06.2009;;;;GEM;15090330;Kremkau;194;96;2;94;280;135;76;37;18;9;;;;;;5;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090335;Krevese;470;191;6;185;553;186;199;45;28;7;;;;;;88;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090340;Kr�den;580;260;7;253;748;299;181;80;32;13;;;;;;143;;15090003;Aland
E;07.06.2009;;;;GEM;15090345;Langensalzwedel;162;116;2;114;334;128;59;74;20;28;;;;;;25;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090350;Lichterfelde;225;87;3;84;250;81;29;44;3;16;;;;;;77;;15090008;Altm�rkische Wische
E;07.06.2009;;;;GEM;15090355;Lindtorf;320;147;6;141;408;189;76;42;36;3;;;;;;62;;15090135;Eichstedt (Altmark)
E;07.06.2009;;;;GEM;15090360;Losenrade;137;80;4;76;228;76;42;19;5;26;;;;;;60;;15090520;Seehausen (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090365;Losse;101;60;0;60;176;106;23;8;12;8;;;;;;19;;15090007;Altm�rkische H�he
E;07.06.2009;;;;GEM;15090370;L�ckstedt;464;230;5;225;661;286;87;48;39;2;;;;;;199;;15090007;Altm�rkische H�he
E;07.06.2009;;;;GEM;15090375;L�deritz;942;397;16;381;1134;330;148;376;124;40;;;;;;116;;15090546;Tangerh�tte, Stadt
E;07.06.2009;;;;GEM;15090380;Meseberg;317;145;7;138;400;129;75;76;40;7;;;;;;73;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090385;Me�dorf;621;329;14;315;920;309;177;115;57;56;;;;;;206;;15090070;Bismark (Altmark), Stadt
E;07.06.2009;;;;GEM;15090390;Miltern;328;173;12;161;472;185;111;96;40;17;;;;;;23;;15090550;Tangerm�nde, Stadt
E;07.06.2009;;;;GEM;15090395;M�ringen;663;293;15;278;820;289;181;187;85;31;;;;;;47;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090400;Nahrstedt;260;139;6;133;395;210;76;51;21;7;;;;;;30;;15090535;Stendal, Hansestadt
E;07.06.2009;;;;GEM;15090405;Neuermark-L�bars;307;135;6;129;378;122;71;97;62;9;;;;;;17;;15090310;Klietz
E;07.06.2009;;;;GEM;15090410;Neukirchen (Altmark);227;106;6;100;291;153;50;33;7;16;;;;;;32;;15090008;Altm�rkische Wische
E;07.06.2009;;;;GEM;15090415;Osterburg (Altmark), Hansestadt;5871;3010;75;2935;8689;3218;3141;746;857;137;;;;;;590;;15090415;Osterburg (Altmark), Hansestadt
E;07.06.2009;;;;GEM;15090420;Pollitz;241;116;2;114;340;172;47;45;13;5;;;;;;58;;15090003;Aland
E;07.06.2009;;;;GEM;15090425;Querstedt;196;102;4;98;288;121;67;45;20;16;;;;;;19;;15090070;Bismark (Altmark), Stadt
