Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;PDS;FDP;GRÜNE;NPD;PBC;Agrarb�ndnis;AfR;AMB;AU;AJL;Bv-L�ndlicher Raum;Bv;B�ndnis 90;BBLR;BFR;BfB;BfS;BB UER;BG;BMV;BUMV;GRAUE;Die Sozialen;ok;FORUM;Freie W�hlergemeinschaft;F-UER;HGR;MUG;RB;SAV;UWG Bansin;UWG Tramm;WG Bauernverband;Bauern;WGGM;WGK;WGLR;WG Prohn;"WG ""Rettet Prerow""";UR;WG Wittenhagen;Einzelbewerber
A;51;Bad Doberan;5112;Carb�k;13051037;Klein Kussewitz;1;1;584;275;47,1;45;760;240;283;106;69;21;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;29;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;12
P;51;Bad Doberan;5112;Carb�k;13051037;Klein Kussewitz;1;1;584;275;47,1;5,6;94,4;31,6;37,2;13,9;9,1;2,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6
A;51;Bad Doberan;5112;Carb�k;13051045;Mandelshagen;1;1;242;139;57,4;7;371;106;150;52;47;10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3
P;51;Bad Doberan;5112;Carb�k;13051045;Mandelshagen;1;1;242;139;57,4;1,9;98,1;28,6;40,4;14;12,7;2,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8
A;51;Bad Doberan;5112;Carb�k;13051054;Poppendorf;1;1;631;436;69,1;105;1185;359;270;352;116;40;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;39;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;9
P;51;Bad Doberan;5112;Carb�k;13051054;Poppendorf;1;1;631;436;69,1;8,1;91,9;30,3;22,8;29,7;9,8;3,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8
A;51;Bad Doberan;5112;Carb�k;13051064;Roggentin;2;2;1961;1006;51,3;44;2843;831;988;516;239;139;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;66;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;64
P;51;Bad Doberan;5112;Carb�k;13051064;Roggentin;2;2;1961;1006;51,3;1,5;98,5;29,2;34,8;18,1;8,4;4,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,3
A;51;Bad Doberan;5112;Carb�k;13051075;Steinfeld;1;1;484;279;57,6;24;791;337;168;102;114;34;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;26;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;10
P;51;Bad Doberan;5112;Carb�k;13051075;Steinfeld;1;1;484;279;57,6;2,9;97,1;42,6;21,2;12,9;14,4;4,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,3
