Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;ABLR;APD;AUF;Bauernverband;B�NDNIS F�R R�GEN;BfL;BfS;BG;Freie  W�hler;Freie W�hler;Freie W�hler MSP;Freie W�hler NWM;Freie W�hler SWM;FWG Jarmen;KfV;LUL;Die PARTEI;PIRATEN;RENTNER;UWG;WG BV-LR;WGLR;Adomeit;Einzelbewerber;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;653;276;42,3;21;778;306;144;114;18;20;40;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;x;x;129;x;1;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;653;276;42,3;2,6;97,4;39,3;18,5;14,7;2,3;2,6;5,1;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;16,6;x;0,1;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;338;152;45,0;12;444;128;61;137;16;38;20;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;37;x;0;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;338;152;45,0;2,6;97,4;28,8;13,7;30,9;3,6;8,6;4,5;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;x;x;8,3;x;0,0;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;2;2;501;235;46,9;46;655;216;218;80;4;23;83;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;x;x;x;x;x;x;24;x;2;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;2;2;501;235;46,9;6,6;93,4;33,0;33,3;12,2;0,6;3,5;12,7;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;3,7;x;0,3;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;219;115;52,5;4;333;97;68;66;16;39;24;x;x;x;x;x;x;x;x;x;x;13;x;x;x;x;x;x;x;x;x;x;7;x;3;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;219;115;52,5;1,2;98,8;29,1;20,4;19,8;4,8;11,7;7,2;x;x;x;x;x;x;x;x;x;x;3,9;x;x;x;x;x;x;x;x;x;x;2,1;x;0,9;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;2;2;437;190;43,5;3;546;238;83;117;14;23;52;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;x;x;13;x;0;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;2;2;437;190;43,5;0,5;99,5;43,6;15,2;21,4;2,6;4,2;9,5;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;2,4;x;0,0;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;368;180;48,9;9;521;183;120;102;32;19;24;x;x;x;x;x;x;x;x;x;x;17;x;x;x;x;x;x;x;x;x;x;24;x;0;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;368;180;48,9;1,7;98,3;35,1;23,0;19,6;6,1;3,6;4,6;x;x;x;x;x;x;x;x;x;x;3,3;x;x;x;x;x;x;x;x;x;x;4,6;x;0,0;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;367;166;45,2;15;468;178;68;97;27;21;49;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;x;x;6;x;3;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;367;166;45,2;3,1;96,9;38,0;14,5;20,7;5,8;4,5;10,5;x;x;x;x;x;x;x;x;x;x;4,1;x;x;x;x;x;x;x;x;x;x;1,3;x;0,6;
A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071751;Briefwahl Demmin-Land;1;1;0;383;0,0;27;1086;395;218;223;55;120;27;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;x;x;41;x;1;
