Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB055,O3,2014,47.923,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.4799025578562729
DEBB055,O3,2015,48.368,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3969937077604288
DEBW031,O3,2019,85.536,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,1.0
DEBW013,O3,2019,46.854,ug/m3,Background,Urban,BW,Stuttgart,Stuttgart,0.21556619078520445
DEBW013,O3,2023,52.673,ug/m3,Background,Urban,BW,Stuttgart,Stuttgart,0.28444343065693434
DEBB048,O3,2019,52.634,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.3327790395846853
DEBB007,O3,2018,53.996,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.29740175681923253
DEBB086,O3,2025,59.386,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.5793563495724373
DEBW039,O3,2023,55.186,ug/m3,Background,Suburban,BW,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,0.3253877737226277
DEBW039,O3,2025,54.875,ug/m3,Background,Suburban,BW,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,0.5260026730061858
DEBB029,O3,2025,57.045,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.5516682633739016
DEBE051,O3,2013,50.515,ug/m3,Background,Suburban,BE,Berlin,Berlin,0.5594316298530171
DEBE051,O3,2017,44.376,ug/m3,Background,Suburban,BE,Berlin,Berlin,0.309974812821309
DEBB086,O3,2016,43.905,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.3624455552162523
DEBE051,O3,2019,45.605,ug/m3,Background,Suburban,BE,Berlin,Berlin,0.1902376703439325
DEBB086,O3,2021,48.149,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.4302205537306429
DEBB086,O3,2023,53.389,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.296109228362878
DEBW005,O3,2022,50.599,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.37391752760638
DEBB063,O3,2014,50.745,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.5239701427277554
DEBB063,O3,2015,50.978,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.4350093218364018
DEBB063,O3,2022,59.925,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.5397514092145739
DEBW046,O3,2016,45.327,ug/m3,Background,Suburban,BW,Biberach,Biberach an der Riß,0.3853003101946351
DEBB063,O3,2020,57.926,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.6673039207607496
DEBB065,O3,2014,46.881,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.46363096911208973
DEBB065,O3,2018,58.197,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.37509015256588074
DEBB065,O3,2022,56.684,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.48212031224994206
DEBB065,O3,2025,56.591,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.5462985960803795
DEBE027,O3,2015,53.169,ug/m3,Background,Rural,BE,Berlin,Berlin,0.4669220461430902
DEBE027,O3,2021,51.79,ug/m3,Background,Rural,BE,Berlin,Berlin,0.47293524167057727
DEBB007,O3,2020,52.842,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.5835159945284045
DEBB092,O3,2014,49.63,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.5065586058277899
DEBW052,O3,2021,49.952,ug/m3,Background,Urban,BW,Konstanz,Konstanz,0.45137259502580945
DEBW005,O3,2016,42.426,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.338674681367428
DEBW009,O3,2023,56.597,ug/m3,Background,Urban,BW,Heidelberg,Heidelberg,0.3483772158498436
DEBB053,O3,2013,56.699,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.643437389626973
DEBB053,O3,2025,56.571,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.5460620468604005
DEBB053,O3,2024,54.076,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.3527045639516684
DEBB092,O3,2013,31.217,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.29728040861792593
DEBB092,O3,2019,56.969,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.42068867618429595
DEBB092,O3,2024,56.741,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.3944155762849808
DEBB110,O3,2021,53.073,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.48798686062881286
DEBW031,O3,2017,84.234,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,0.9975847910844288
DEBW031,O3,2022,82.623,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,0.9433646887280616
DEBW009,O3,2016,44.339,ug/m3,Background,Urban,BW,Heidelberg,Heidelberg,0.36942091644031566
DEBW009,O3,2025,48.841,ug/m3,Background,Urban,BW,Heidelberg,Heidelberg,0.45463577333853744
DEBW042,O3,2013,41.017,ug/m3,Background,Suburban,BW,Esslingen,Filderstadt,0.43040725948868425
DEBW059,O3,2024,44.825,ug/m3,Background,Suburban,BW,Main-Tauber-Kreis,Tauberbischofsheim,0.20791335378451137
DEBW107,O3,2021,39.8,ug/m3,Background,Suburban,BW,Tübingen,Tübingen,0.3322735804786485
DEBB075,O3,2018,52.975,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.2785205732778548
DEBB075,O3,2022,54.056,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.4353895122428293
DEBB083,O3,2015,48.761,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.4027178979258914
DEBB083,O3,2016,45.396,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.3864092961956959
DEBW023,O3,2018,55.469,ug/m3,Background,Suburban,BW,Lörrach,Weil am Rhein,0.32464170134073045
DEBW023,O3,2020,51.398,ug/m3,Background,Suburban,BW,Lörrach,Weil am Rhein,0.5597178502562751
DEBY002,O3,2014,38.001,ug/m3,Background,Suburban,BY,Wunsiedel im Fichtelgebirge,Arzberg,0.3249633030388207
DEBY002,O3,2024,47.821,ug/m3,Background,Suburban,BY,Wunsiedel im Fichtelgebirge,Arzberg,0.25480498340950347
DEBY002,O3,2025,46.127,ug/m3,Background,Suburban,BY,Wunsiedel im Fichtelgebirge,Arzberg,0.4225360441873943
DEBB007,O3,2015,48.506,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.3990037287345607
DEBB067,O3,2020,53.15,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.5885920530019612
DEBB055,O3,2017,48.967,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.38917641375979023
DEBB055,O3,2022,55.99,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.4697796824154915
DEBW015,O3,2020,46.601,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.48065988760156236
DEBB066,O3,2013,53.073,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.5941804548047925
DEBW022,O3,2022,52.372,ug/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl,0.4054448139125486
DEBB075,O3,2015,46.535,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.3702953856909811
DEBB075,O3,2019,50.33,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.2860561323815704
DEBB075,O3,2023,52.494,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.2815269812304484
DEBB029,O3,2022,55.902,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.4682148763269733
DEBW112,O3,2024,49.996,ug/m3,Background,Suburban,BW,Böblingen,Gärtringen/Ehningen,0.28884680398171914
DEBB075,O3,2017,46.723,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.35046406514163475
DEBE065,O3,2024,46.971,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.241501283415764
DEBB083,O3,2020,51.314,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.5583334706725778
DEBB083,O3,2023,54.564,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.31525351929092804
DEBB063,O3,2023,56.824,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.35207572992700725
DEBW033,O3,2013,42.13,ug/m3,Background,Urban,BW,Pforzheim,Pforzheim,0.4455266661232918
DEBW033,O3,2025,51.467,ug/m3,Background,Urban,BW,Pforzheim,Pforzheim,0.4856946859217732
DEBW038,O3,2013,45.323,ug/m3,Background,Urban,BW,Bodenseekreis,Friedrichshafen,0.4889015676365909
