Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBE095,NO2,2020,30.838,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.555813339369247
DEBE100,NO2,2021,17.402,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.33642319350738237
DEBE101,NO2,2019,41.215,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6470935475936705
DEBE101,NO2,2024,31.975,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.7312599491553613
DEBE103,NO2,2020,28.766,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.516730798249585
DEBE103,NO2,2023,24.226,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5274382082626929
DEBE106,NO2,2022,26.551,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5296858276144305
DEBE111,NO2,2020,20.217,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.35547759167043913
DEBE113,NO2,2021,29.919,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5812066099540432
DEBE114,NO2,2020,37.449,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6805115436849253
DEBE114,NO2,2023,30.455,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.66639154100116
DEBE115,NO2,2020,35.197,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6380338011166441
DEBE115,NO2,2022,27.169,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5426556695838317
DEBE116,NO2,2021,23.943,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.46433949349760434
DEBE117,NO2,2019,42.94,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6753791916044929
DEBE121,NO2,2023,34.816,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.7636744891585617
DEBB055,NO2,2015,12.073,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.11271529589535942
DEBB055,NO2,2022,9.968,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.1816617347688304
DEBB055,NO2,2023,7.827,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.1616177389131793
DEBB048,NO2,2021,12.328,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.23719565855089467
DEBB007,NO2,2014,15.219,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.14543400796515826
DEBB021,NO2,2020,12.958,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.2185566621397314
