"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Oberspreewald-Lausitz,12066052,Calau                        ,7890,3657,0,159,10335,18,4,x,FDP                      ,PA,416,1,0,x,,
Oberspreewald-Lausitz,12066052,Calau                        ,7890,3657,0,159,10335,18,4,x,DSU                      ,PA,393,1,0,x,,
Oberspreewald-Lausitz,12066052,Calau                        ,7890,3657,0,159,10335,18,4,x,GRÜNE/B 90               ,PA,889,1,0,x,,
Oberspreewald-Lausitz,12066052,Calau                        ,7890,3657,0,159,10335,18,4,x,Wählergruppen            ,WG,958,2,1,x,,
Oberspreewald-Lausitz,12066064,Frauendorf                   ,674,393,0,28,1088,10,2,x,Wählergruppen            ,WG,1088,10,2,x,,
Oberspreewald-Lausitz,12066104,Großkmehlen                  ,1066,538,0,20,1529,10,2,x,CDU                      ,PA,560,4,0,x,,
Oberspreewald-Lausitz,12066104,Großkmehlen                  ,1066,538,0,20,1529,10,2,x,DSU                      ,PA,363,2,0,x,,
Oberspreewald-Lausitz,12066104,Großkmehlen                  ,1066,538,0,20,1529,10,2,x,Einzelbewerber           ,EB,606,4,2,x,,
Oberspreewald-Lausitz,12066112,Großräschen                  ,9265,3885,0,152,10927,22,6,x,CDU                      ,PA,2860,6,2,x,,
Oberspreewald-Lausitz,12066112,Großräschen                  ,9265,3885,0,152,10927,22,6,x,SPD                      ,PA,3312,7,1,x,,
Oberspreewald-Lausitz,12066112,Großräschen                  ,9265,3885,0,152,10927,22,6,x,PDS                      ,PA,2217,4,2,x,,
Oberspreewald-Lausitz,12066112,Großräschen                  ,9265,3885,0,152,10927,22,6,x,Wählergruppen            ,WG,2364,5,1,x,,
Oberspreewald-Lausitz,12066112,Großräschen                  ,9265,3885,0,152,10927,22,6,x,Einzelbewerber           ,EB,174,0,0,x,,
Oberspreewald-Lausitz,12066116,Grünewald                    ,548,341,0,26,938,8,5,x,Wählergruppen            ,WG,938,8,5,x,,
Oberspreewald-Lausitz,12066120,Guteborn                     ,538,269,0,10,766,8,2,x,Wählergruppen            ,WG,766,8,2,x,,
Oberspreewald-Lausitz,12066124,Hermsdorf                    ,755,476,0,18,1363,10,1,x,Wählergruppen            ,WG,1363,10,1,x,,
Oberspreewald-Lausitz,12066132,Hohenbocka                   ,960,532,0,17,1526,10,5,x,CDU                      ,PA,572,4,4,x,,
Oberspreewald-Lausitz,12066132,Hohenbocka                   ,960,532,0,17,1526,10,5,x,Wählergruppen            ,WG,954,6,1,x,,
Oberspreewald-Lausitz,12066168,Kroppen                      ,649,477,0,22,1351,10,1,x,CDU                      ,PA,654,5,1,x,,
Oberspreewald-Lausitz,12066168,Kroppen                      ,649,477,0,22,1351,10,1,x,Listenvereinigungen      ,LV,697,5,0,x,,
Oberspreewald-Lausitz,12066176,Lauchhammer                  ,16220,5764,0,265,16286,28,3,x,CDU                      ,PA,3981,7,0,x,,
Oberspreewald-Lausitz,12066176,Lauchhammer                  ,16220,5764,0,265,16286,28,3,x,SPD                      ,PA,2649,4,1,x,,
Oberspreewald-Lausitz,12066176,Lauchhammer                  ,16220,5764,0,265,16286,28,3,x,PDS                      ,PA,3342,6,1,x,,
Oberspreewald-Lausitz,12066176,Lauchhammer                  ,16220,5764,0,265,16286,28,3,x,FDP                      ,PA,1195,2,1,x,,
Oberspreewald-Lausitz,12066176,Lauchhammer                  ,16220,5764,0,265,16286,28,3,x,DSU                      ,PA,567,1,0,x,,
Oberspreewald-Lausitz,12066176,Lauchhammer                  ,16220,5764,0,265,16286,28,3,x,Wählergruppen            ,WG,4552,8,0,x,,
Oberspreewald-Lausitz,12066188,Lindenau                     ,651,400,0,28,1099,10,0,x,CDU                      ,PA,522,5,0,x,,
Oberspreewald-Lausitz,12066188,Lindenau                     ,651,400,0,28,1099,10,0,x,Wählergruppen            ,WG,577,5,0,x,,
Oberspreewald-Lausitz,12066196,Lübbenau/Spreewald           ,15658,6639,0,272,18798,28,7,x,CDU                      ,PA,5605,8,3,x,,
Oberspreewald-Lausitz,12066196,Lübbenau/Spreewald           ,15658,6639,0,272,18798,28,7,x,SPD                      ,PA,4828,7,1,x,,
Oberspreewald-Lausitz,12066196,Lübbenau/Spreewald           ,15658,6639,0,272,18798,28,7,x,PDS                      ,PA,4502,7,2,x,,
Oberspreewald-Lausitz,12066196,Lübbenau/Spreewald           ,15658,6639,0,272,18798,28,7,x,GRÜNE/B 90               ,PA,405,1,1,x,,
Oberspreewald-Lausitz,12066196,Lübbenau/Spreewald           ,15658,6639,0,272,18798,28,7,x,Wählergruppen            ,WG,3021,4,0,x,,
Oberspreewald-Lausitz,12066196,Lübbenau/Spreewald           ,15658,6639,0,272,18798,28,7,x,Einzelbewerber           ,EB,437,1,0,x,,
Oberspreewald-Lausitz,12066202,Luckaitztal                  ,811,509,0,20,1452,10,3,x,SPD                      ,PA,483,3,1,x,,
Oberspreewald-Lausitz,12066202,Luckaitztal                  ,811,509,0,20,1452,10,3,x,Wählergruppen            ,WG,828,6,2,x,,
Oberspreewald-Lausitz,12066202,Luckaitztal                  ,811,509,0,20,1452,10,3,x,Einzelbewerber           ,EB,141,1,0,x,,
Oberspreewald-Lausitz,12066226,Neu-Seeland                  ,629,427,0,7,1243,10,3,x,Wählergruppen            ,WG,397,3,0,x,,
Oberspreewald-Lausitz,12066226,Neu-Seeland                  ,629,427,0,7,1243,10,3,x,Einzelbewerber           ,EB,846,7,3,x,,
Oberspreewald-Lausitz,12066228,Neupetershain                ,1378,530,0,47,1418,12,5,x,SPD                      ,PA,373,3,1,x,,
Oberspreewald-Lausitz,12066228,Neupetershain                ,1378,530,0,47,1418,12,5,x,Wählergruppen            ,WG,1045,9,4,x,,
Oberspreewald-Lausitz,12066240,Ortrand                      ,2141,1291,0,47,3707,16,2,x,CDU                      ,PA,1045,4,0,x,,
Oberspreewald-Lausitz,12066240,Ortrand                      ,2141,1291,0,47,3707,16,2,x,SPD                      ,PA,711,3,0,x,,
Oberspreewald-Lausitz,12066240,Ortrand                      ,2141,1291,0,47,3707,16,2,x,PDS                      ,PA,167,1,0,x,,
Oberspreewald-Lausitz,12066240,Ortrand                      ,2141,1291,0,47,3707,16,2,x,FDP                      ,PA,381,2,0,x,,
Oberspreewald-Lausitz,12066240,Ortrand                      ,2141,1291,0,47,3707,16,2,x,DSU                      ,PA,864,4,1,x,,
Oberspreewald-Lausitz,12066240,Ortrand                      ,2141,1291,0,47,3707,16,2,x,GRÜNE/B 90               ,PA,166,1,1,x,,
Oberspreewald-Lausitz,12066240,Ortrand                      ,2141,1291,0,47,3707,16,2,x,Wählergruppen            ,WG,373,1,0,x,,
Oberspreewald-Lausitz,12066272,Ruhland                      ,3460,1662,0,92,4555,16,6,x,CDU                      ,PA,1505,5,0,x,,
Oberspreewald-Lausitz,12066272,Ruhland                      ,3460,1662,0,92,4555,16,6,x,SPD                      ,PA,1269,5,3,x,,
Oberspreewald-Lausitz,12066272,Ruhland                      ,3460,1662,0,92,4555,16,6,x,PDS                      ,PA,614,2,0,x,,
Oberspreewald-Lausitz,12066272,Ruhland                      ,3460,1662,0,92,4555,16,6,x,Wählergruppen            ,WG,1167,4,3,x,,
Oberspreewald-Lausitz,12066285,Schipkau                     ,6509,2862,0,120,8130,27,4,x,CDU                      ,PA,2993,10,0,x,,
Oberspreewald-Lausitz,12066285,Schipkau                     ,6509,2862,0,120,8130,27,4,x,SPD                      ,PA,1515,5,0,x,,
Oberspreewald-Lausitz,12066285,Schipkau                     ,6509,2862,0,120,8130,27,4,x,PDS                      ,PA,1512,5,2,x,,
Oberspreewald-Lausitz,12066285,Schipkau                     ,6509,2862,0,120,8130,27,4,x,GRÜNE/B 90               ,PA,716,2,2,x,,
Oberspreewald-Lausitz,12066285,Schipkau                     ,6509,2862,0,120,8130,27,4,x,Wählergruppen            ,WG,1394,5,0,x,,
Oberspreewald-Lausitz,12066292,Schwarzbach                  ,667,458,0,29,1257,10,1,x,SPD                      ,PA,462,4,1,x,,
Oberspreewald-Lausitz,12066292,Schwarzbach                  ,667,458,0,29,1257,10,1,x,Wählergruppen            ,WG,795,6,0,x,,
Oberspreewald-Lausitz,12066296,Schwarzheide                 ,5982,2109,0,144,5749,18,4,x,CDU                      ,PA,2394,7,2,x,,
Oberspreewald-Lausitz,12066296,Schwarzheide                 ,5982,2109,0,144,5749,18,4,x,SPD                      ,PA,1152,4,0,x,,
Oberspreewald-Lausitz,12066296,Schwarzheide                 ,5982,2109,0,144,5749,18,4,x,PDS                      ,PA,1198,4,1,x,,
Oberspreewald-Lausitz,12066296,Schwarzheide                 ,5982,2109,0,144,5749,18,4,x,FDP                      ,PA,1005,3,1,x,,
Oberspreewald-Lausitz,12066304,Senftenberg                  ,24766,8840,0,383,25040,32,8,x,CDU                      ,PA,7712,10,4,x,,
Oberspreewald-Lausitz,12066304,Senftenberg                  ,24766,8840,0,383,25040,32,8,x,SPD                      ,PA,5465,7,1,x,,
Oberspreewald-Lausitz,12066304,Senftenberg                  ,24766,8840,0,383,25040,32,8,x,PDS                      ,PA,7494,10,3,x,,
Oberspreewald-Lausitz,12066304,Senftenberg                  ,24766,8840,0,383,25040,32,8,x,GRÜNE/B 90               ,PA,831,1,0,x,,
Oberspreewald-Lausitz,12066304,Senftenberg                  ,24766,8840,0,383,25040,32,8,x,Wählergruppen            ,WG,3172,4,0,x,,
Oberspreewald-Lausitz,12066304,Senftenberg                  ,24766,8840,0,383,25040,32,8,x,Einzelbewerber           ,EB,366,0,0,x,,
Oberspreewald-Lausitz,12066316,Tettau                       ,784,526,0,24,1489,10,3,x,CDU                      ,PA,638,4,2,x,,
Oberspreewald-Lausitz,12066316,Tettau                       ,784,526,0,24,1489,10,3,x,Wählergruppen            ,WG,851,6,1,x,,
Oberspreewald-Lausitz,12066320,Vetschau/Spreewald           ,8488,3758,0,158,10470,22,3,x,CDU                      ,PA,3088,7,1,x,,
Oberspreewald-Lausitz,12066320,Vetschau/Spreewald           ,8488,3758,0,158,10470,22,3,x,SPD                      ,PA,3405,7,1,x,,
Oberspreewald-Lausitz,12066320,Vetschau/Spreewald           ,8488,3758,0,158,10470,22,3,x,PDS                      ,PA,1718,4,1,x,,
Oberspreewald-Lausitz,12066320,Vetschau/Spreewald           ,8488,3758,0,158,10470,22,3,x,GRÜNE/B 90               ,PA,649,1,0,x,,
Oberspreewald-Lausitz,12066320,Vetschau/Spreewald           ,8488,3758,0,158,10470,22,3,x,Wählergruppen            ,WG,1610,3,0,x,,
Oder-Spree           ,12067024,Bad Saarow                   ,3831,1800,0,45,5215,16,3,x,CDU                      ,PA,1371,4,1,x,,
Oder-Spree           ,12067024,Bad Saarow                   ,3831,1800,0,45,5215,16,3,x,SPD                      ,PA,876,3,0,x,,
Oder-Spree           ,12067024,Bad Saarow                   ,3831,1800,0,45,5215,16,3,x,PDS                      ,PA,1813,6,1,x,,
Oder-Spree           ,12067024,Bad Saarow                   ,3831,1800,0,45,5215,16,3,x,Wählergruppen            ,WG,1155,3,1,x,,
Oder-Spree           ,12067036,Beeskow                      ,7763,3168,0,117,9108,18,6,x,CDU                      ,PA,2923,6,1,x,,
Oder-Spree           ,12067036,Beeskow                      ,7763,3168,0,117,9108,18,6,x,SPD                      ,PA,2273,5,2,x,,
Oder-Spree           ,12067036,Beeskow                      ,7763,3168,0,117,9108,18,6,x,PDS                      ,PA,1726,3,3,x,,
Oder-Spree           ,12067036,Beeskow                      ,7763,3168,0,117,9108,18,6,x,FDP                      ,PA,496,1,0,x,,
Oder-Spree           ,12067036,Beeskow                      ,7763,3168,0,117,9108,18,6,x,Wählergruppen            ,WG,1477,3,0,x,,
Oder-Spree           ,12067036,Beeskow                      ,7763,3168,0,117,9108,18,6,x,Schill                   ,PA,213,0,0,x,,
Oder-Spree           ,12067040,Berkenbrück                  ,852,606,0,49,1669,10,2,x,SPD                      ,PA,921,6,1,x,,
Oder-Spree           ,12067040,Berkenbrück                  ,852,606,0,49,1669,10,2,x,Wählergruppen            ,WG,748,4,1,x,,
Oder-Spree           ,12067072,Briesen (Mark)               ,1964,1017,0,37,2900,12,1,x,CDU                      ,PA,899,4,0,x,,
Oder-Spree           ,12067072,Briesen (Mark)               ,1964,1017,0,37,2900,12,1,x,Wählergruppen            ,WG,2001,8,1,x,,
Oder-Spree           ,12067076,Brieskow-Finkenheerd         ,2261,1067,0,46,3029,16,1,x,CDU                      ,PA,1464,8,1,x,,
Oder-Spree           ,12067076,Brieskow-Finkenheerd         ,2261,1067,0,46,3029,16,1,x,SPD                      ,PA,856,4,0,x,,
Oder-Spree           ,12067076,Brieskow-Finkenheerd         ,2261,1067,0,46,3029,16,1,x,Einzelbewerber           ,EB,709,4,0,x,,
Oder-Spree           ,12067112,Diensdorf-Radlow             ,478,265,0,10,765,8,2,x,PDS                      ,PA,267,3,1,x,,
Oder-Spree           ,12067112,Diensdorf-Radlow             ,478,265,0,10,765,8,2,x,Wählergruppen            ,WG,411,4,1,x,,
Oder-Spree           ,12067112,Diensdorf-Radlow             ,478,265,0,10,765,8,2,x,Einzelbewerber           ,EB,87,1,0,x,,
Oder-Spree           ,12067120,Eisenhüttenstadt             ,29735,10034,0,406,28409,36,10,x,CDU                      ,PA,6394,8,1,x,,
Oder-Spree           ,12067120,Eisenhüttenstadt             ,29735,10034,0,406,28409,36,10,x,SPD                      ,PA,4871,6,3,x,,
Oder-Spree           ,12067120,Eisenhüttenstadt             ,29735,10034,0,406,28409,36,10,x,PDS                      ,PA,10204,13,6,x,,
Oder-Spree           ,12067120,Eisenhüttenstadt             ,29735,10034,0,406,28409,36,10,x,FDP                      ,PA,1471,2,0,x,,
Oder-Spree           ,12067120,Eisenhüttenstadt             ,29735,10034,0,406,28409,36,10,x,REP                      ,PA,1579,2,0,x,,
Oder-Spree           ,12067120,Eisenhüttenstadt             ,29735,10034,0,406,28409,36,10,x,Schill                   ,PA,113,0,0,x,,
Oder-Spree           ,12067120,Eisenhüttenstadt             ,29735,10034,0,406,28409,36,10,x,BVFO                     ,PV,3777,5,0,x,,
Oder-Spree           ,12067124,Erkner                       ,10136,4365,3,155,12558,22,6,x,CDU                      ,PA,2403,4,0,x,,
Oder-Spree           ,12067124,Erkner                       ,10136,4365,3,155,12558,22,6,x,SPD                      ,PA,5105,9,1,x,,
Oder-Spree           ,12067124,Erkner                       ,10136,4365,3,155,12558,22,6,x,PDS                      ,PA,3812,7,4,x,,
Oder-Spree           ,12067124,Erkner                       ,10136,4365,3,155,12558,22,6,x,Wählergruppen            ,WG,912,2,1,x,,
Oder-Spree           ,12067124,Erkner                       ,10136,4365,3,155,12558,22,6,x,Schill                   ,PA,326,0,0,x,,
Oder-Spree           ,12067137,Friedland                    ,2888,2053,0,50,5951,16,1,x,CDU                      ,PA,1022,3,0,x,,
Oder-Spree           ,12067137,Friedland                    ,2888,2053,0,50,5951,16,1,x,SPD                      ,PA,134,0,0,x,,
Oder-Spree           ,12067137,Friedland                    ,2888,2053,0,50,5951,16,1,x,PDS                      ,PA,921,2,0,x,,
Oder-Spree           ,12067137,Friedland                    ,2888,2053,0,50,5951,16,1,x,Wählergruppen            ,WG,2371,7,1,x,,
Oder-Spree           ,12067137,Friedland                    ,2888,2053,0,50,5951,16,1,x,Einzelbewerber           ,EB,1503,4,0,x,,
Oder-Spree           ,12067144,Fürstenwalde/Spree           ,27003,9466,0,355,26909,32,11,x,CDU                      ,PA,6391,8,2,x,,
Oder-Spree           ,12067144,Fürstenwalde/Spree           ,27003,9466,0,355,26909,32,11,x,SPD                      ,PA,5927,7,3,x,,
Oder-Spree           ,12067144,Fürstenwalde/Spree           ,27003,9466,0,355,26909,32,11,x,PDS                      ,PA,7250,9,4,x,,
Oder-Spree           ,12067144,Fürstenwalde/Spree           ,27003,9466,0,355,26909,32,11,x,FDP                      ,PA,3837,4,1,x,,
Oder-Spree           ,12067144,Fürstenwalde/Spree           ,27003,9466,0,355,26909,32,11,x,GRÜNE/B 90               ,PA,1927,2,1,x,,
Oder-Spree           ,12067144,Fürstenwalde/Spree           ,27003,9466,0,355,26909,32,11,x,Schill                   ,PA,1577,2,0,x,,
Oder-Spree           ,12067173,Gosen-Neu Zittau             ,2205,1294,0,35,3734,16,2,x,CDU                      ,PA,289,1,1,x,,
Oder-Spree           ,12067173,Gosen-Neu Zittau             ,2205,1294,0,35,3734,16,2,x,SPD                      ,PA,1633,7,0,x,,
Oder-Spree           ,12067173,Gosen-Neu Zittau             ,2205,1294,0,35,3734,16,2,x,GRÜNE/B 90               ,PA,341,2,0,x,,
Oder-Spree           ,12067173,Gosen-Neu Zittau             ,2205,1294,0,35,3734,16,2,x,Wählergruppen            ,WG,1222,5,1,x,,
Oder-Spree           ,12067173,Gosen-Neu Zittau             ,2205,1294,0,35,3734,16,2,x,Einzelbewerber           ,EB,249,1,0,x,,
Oder-Spree           ,12067180,Groß Lindow                  ,1574,885,0,27,2553,12,2,x,CDU                      ,PA,1353,7,2,x,,
Oder-Spree           ,12067180,Groß Lindow                  ,1574,885,0,27,2553,12,2,x,SPD                      ,PA,786,3,0,x,,
Oder-Spree           ,12067180,Groß Lindow                  ,1574,885,0,27,2553,12,2,x,Wählergruppen            ,WG,414,2,0,x,,
Oder-Spree           ,12067201,Grünheide (Mark)             ,6336,3487,0,120,9987,18,5,x,CDU                      ,PA,1850,3,1,x,,
Oder-Spree           ,12067201,Grünheide (Mark)             ,6336,3487,0,120,9987,18,5,x,SPD                      ,PA,4445,8,4,x,,
Oder-Spree           ,12067201,Grünheide (Mark)             ,6336,3487,0,120,9987,18,5,x,PDS                      ,PA,1649,3,0,x,,
Oder-Spree           ,12067201,Grünheide (Mark)             ,6336,3487,0,120,9987,18,5,x,FDP                      ,PA,386,1,0,x,,
Oder-Spree           ,12067201,Grünheide (Mark)             ,6336,3487,0,120,9987,18,5,x,Wählergruppen            ,WG,1393,3,0,x,,
Oder-Spree           ,12067201,Grünheide (Mark)             ,6336,3487,0,120,9987,18,5,x,Einzelbewerber           ,EB,264,0,0,x,,
Oder-Spree           ,12067205,Grunow-Dammendorf            ,504,363,0,14,1034,8,3,x,SPD                      ,PA,243,2,1,x,,
Oder-Spree           ,12067205,Grunow-Dammendorf            ,504,363,0,14,1034,8,3,x,Wählergruppen            ,WG,496,4,2,x,,
Oder-Spree           ,12067205,Grunow-Dammendorf            ,504,363,0,14,1034,8,3,x,Einzelbewerber           ,EB,295,2,0,x,,
Oder-Spree           ,12067237,Jacobsdorf                   ,1649,1022,0,42,2913,12,1,x,CDU                      ,PA,239,1,0,x,,
Oder-Spree           ,12067237,Jacobsdorf                   ,1649,1022,0,42,2913,12,1,x,SPD                      ,PA,489,2,0,x,,
Oder-Spree           ,12067237,Jacobsdorf                   ,1649,1022,0,42,2913,12,1,x,Wählergruppen            ,WG,1445,6,0,x,,
Oder-Spree           ,12067237,Jacobsdorf                   ,1649,1022,0,42,2913,12,1,x,Listenvereinigungen      ,LV,740,3,1,x,,
Oder-Spree           ,12067288,Langewahl                    ,688,369,0,9,1070,10,1,x,Wählergruppen            ,WG,1070,10,1,x,,
Oder-Spree           ,12067292,Lawitz                       ,547,326,0,9,950,8,2,x,Wählergruppen            ,WG,950,8,2,x,,
Oder-Spree           ,12067310,Madlitz-Wilmersdorf          ,600,389,0,17,1106,10,0,x,Wählergruppen            ,WG,1106,10,0,x,,
Oder-Spree           ,12067324,Mixdorf                      ,858,626,0,9,1844,10,3,x,SPD                      ,PA,243,1,0,x,,
Oder-Spree           ,12067324,Mixdorf                      ,858,626,0,9,1844,10,3,x,Wählergruppen            ,WG,1271,7,3,x,,
Oder-Spree           ,12067324,Mixdorf                      ,858,626,0,9,1844,10,3,x,Einzelbewerber           ,EB,330,2,0,x,,
Oder-Spree           ,12067336,Müllrose                     ,3649,1820,0,54,5254,16,4,x,CDU                      ,PA,2000,6,1,x,,
Oder-Spree           ,12067336,Müllrose                     ,3649,1820,0,54,5254,16,4,x,SPD                      ,PA,1584,5,2,x,,
Oder-Spree           ,12067336,Müllrose                     ,3649,1820,0,54,5254,16,4,x,PDS                      ,PA,1270,4,1,x,,
Oder-Spree           ,12067336,Müllrose                     ,3649,1820,0,54,5254,16,4,x,Einzelbewerber           ,EB,400,1,0,x,,
Oder-Spree           ,12067338,Neißemünde                   ,1631,952,0,45,2703,12,3,x,CDU                      ,PA,139,1,0,x,,
Oder-Spree           ,12067338,Neißemünde                   ,1631,952,0,45,2703,12,3,x,Wählergruppen            ,WG,2564,11,3,x,,
Oder-Spree           ,12067357,Neuzelle                     ,3720,2127,0,117,5960,20,3,x,CDU                      ,PA,860,3,1,x,,
Oder-Spree           ,12067357,Neuzelle                     ,3720,2127,0,117,5960,20,3,x,SPD                      ,PA,1066,4,1,x,,
Oder-Spree           ,12067357,Neuzelle                     ,3720,2127,0,117,5960,20,3,x,FDP                      ,PA,556,2,0,x,,
Oder-Spree           ,12067357,Neuzelle                     ,3720,2127,0,117,5960,20,3,x,Wählergruppen            ,WG,3161,10,1,x,,
Oder-Spree           ,12067357,Neuzelle                     ,3720,2127,0,117,5960,20,3,x,Einzelbewerber           ,EB,317,1,0,x,,
Oder-Spree           ,12067397,Ragow-Merz                   ,464,303,0,12,861,8,1,x,Wählergruppen            ,WG,625,6,1,x,,
Oder-Spree           ,12067397,Ragow-Merz                   ,464,303,0,12,861,8,1,x,Einzelbewerber           ,EB,236,2,0,x,,
Oder-Spree           ,12067408,Rauen                        ,1605,948,0,31,2719,12,4,x,CDU                      ,PA,101,0,0,x,,
Oder-Spree           ,12067408,Rauen                        ,1605,948,0,31,2719,12,4,x,Wählergruppen            ,WG,2055,9,4,x,,
Oder-Spree           ,12067408,Rauen                        ,1605,948,0,31,2719,12,4,x,Einzelbewerber           ,EB,563,3,0,x,,
Oder-Spree           ,12067413,Reichenwalde                 ,960,624,0,31,1756,10,6,x,CDU                      ,PA,616,4,3,x,,
Oder-Spree           ,12067413,Reichenwalde                 ,960,624,0,31,1756,10,6,x,SPD                      ,PA,582,3,2,x,,
Oder-Spree           ,12067413,Reichenwalde                 ,960,624,0,31,1756,10,6,x,PDS                      ,PA,124,1,1,x,,
Oder-Spree           ,12067413,Reichenwalde                 ,960,624,0,31,1756,10,6,x,Wählergruppen            ,WG,392,2,0,x,,
Oder-Spree           ,12067413,Reichenwalde                 ,960,624,0,31,1756,10,6,x,Einzelbewerber           ,EB,42,0,0,x,,
Oder-Spree           ,12067426,Rietz-Neuendorf              ,3778,2181,0,61,6261,24,4,x,CDU                      ,PA,644,2,0,x,,
Oder-Spree           ,12067426,Rietz-Neuendorf              ,3778,2181,0,61,6261,24,4,x,SPD                      ,PA,1274,5,0,x,,
Oder-Spree           ,12067426,Rietz-Neuendorf              ,3778,2181,0,61,6261,24,4,x,PDS                      ,PA,1185,4,1,x,,
Oder-Spree           ,12067426,Rietz-Neuendorf              ,3778,2181,0,61,6261,24,4,x,FDP                      ,PA,444,2,0,x,,
Oder-Spree           ,12067426,Rietz-Neuendorf              ,3778,2181,0,61,6261,24,4,x,Wählergruppen            ,WG,2363,10,2,x,,
Oder-Spree           ,12067426,Rietz-Neuendorf              ,3778,2181,0,61,6261,24,4,x,Einzelbewerber           ,EB,351,1,1,x,,
Oder-Spree           ,12067438,Schlaubetal                  ,1727,949,0,35,2715,12,1,x,SPD                      ,PA,78,0,0,x,,
Oder-Spree           ,12067438,Schlaubetal                  ,1727,949,0,35,2715,12,1,x,FDP                      ,PA,89,1,0,x,,
Oder-Spree           ,12067438,Schlaubetal                  ,1727,949,0,35,2715,12,1,x,Wählergruppen            ,WG,1511,6,0,x,,
Oder-Spree           ,12067438,Schlaubetal                  ,1727,949,0,35,2715,12,1,x,Einzelbewerber           ,EB,1037,5,1,x,,
Oder-Spree           ,12067440,Schöneiche bei Berlin        ,9626,4727,0,88,13897,22,8,x,CDU                      ,PA,3125,5,3,x,,
Oder-Spree           ,12067440,Schöneiche bei Berlin        ,9626,4727,0,88,13897,22,8,x,SPD                      ,PA,4268,7,3,x,,
Oder-Spree           ,12067440,Schöneiche bei Berlin        ,9626,4727,0,88,13897,22,8,x,PDS                      ,PA,3294,5,2,x,,
Oder-Spree           ,12067440,Schöneiche bei Berlin        ,9626,4727,0,88,13897,22,8,x,FDP                      ,PA,1050,2,0,x,,
Oder-Spree           ,12067440,Schöneiche bei Berlin        ,9626,4727,0,88,13897,22,8,x,Wählergruppen            ,WG,1340,2,0,x,,
Oder-Spree           ,12067440,Schöneiche bei Berlin        ,9626,4727,0,88,13897,22,8,x,FORUM Brandenburg        ,PV,820,1,0,x,,
Oder-Spree           ,12067458,Siehdichum                   ,1452,904,0,37,2575,12,2,x,Wählergruppen            ,WG,2575,12,2,x,,
Oder-Spree           ,12067469,Spreenhagen                  ,2841,1515,0,22,4308,16,4,x,SPD                      ,PA,1338,5,3,x,,
Oder-Spree           ,12067469,Spreenhagen                  ,2841,1515,0,22,4308,16,4,x,FDP                      ,PA,246,1,0,x,,
Oder-Spree           ,12067469,Spreenhagen                  ,2841,1515,0,22,4308,16,4,x,Wählergruppen            ,WG,508,2,0,x,,
Oder-Spree           ,12067469,Spreenhagen                  ,2841,1515,0,22,4308,16,4,x,GfB                      ,PV,2216,8,1,x,,
Oder-Spree           ,12067473,Steinhöfel                   ,3782,2101,0,98,5932,16,5,x,CDU                      ,PA,808,2,0,x,,
Oder-Spree           ,12067473,Steinhöfel                   ,3782,2101,0,98,5932,16,5,x,SPD                      ,PA,713,2,0,x,,
Oder-Spree           ,12067473,Steinhöfel                   ,3782,2101,0,98,5932,16,5,x,PDS                      ,PA,534,2,2,x,,
Oder-Spree           ,12067473,Steinhöfel                   ,3782,2101,0,98,5932,16,5,x,FDP                      ,PA,501,1,1,x,,
Oder-Spree           ,12067473,Steinhöfel                   ,3782,2101,0,98,5932,16,5,x,Wählergruppen            ,WG,1058,3,1,x,,
Oder-Spree           ,12067473,Steinhöfel                   ,3782,2101,0,98,5932,16,5,x,Einzelbewerber           ,EB,2318,6,1,x,,
Oder-Spree           ,12067481,Storkow (Mark)               ,7744,4206,0,161,11954,27,13,x,CDU                      ,PA,1532,4,0,x,,
Oder-Spree           ,12067481,Storkow (Mark)               ,7744,4206,0,161,11954,27,13,x,SPD                      ,PA,3035,7,1,x,,
Oder-Spree           ,12067481,Storkow (Mark)               ,7744,4206,0,161,11954,27,13,x,PDS                      ,PA,1406,3,1,x,,
Oder-Spree           ,12067481,Storkow (Mark)               ,7744,4206,0,161,11954,27,13,x,FDP                      ,PA,245,1,1,x,,
Oder-Spree           ,12067481,Storkow (Mark)               ,7744,4206,0,161,11954,27,13,x,Wählergruppen            ,WG,3750,8,7,x,,
Oder-Spree           ,12067481,Storkow (Mark)               ,7744,4206,0,161,11954,27,13,x,Einzelbewerber           ,EB,1986,4,3,x,,
Oder-Spree           ,12067493,Tauche                       ,3496,2095,0,90,5938,16,3,x,CDU                      ,PA,658,2,0,x,,
