Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEBB032,SO2,2018,2.072,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.10000000000000009,0.009551999999999996,-10.469011725293146
DEBB032,SO2,2019,2.104,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.03200000000000003,-0.24638938053097345,-0.12987572731843988
DEBB032,SO2,2020,1.923,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.18100000000000005,0.005776785714285719,-31.332302936630587
DEBB032,SO2,2021,2.382,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,0.4590000000000001,0.0001759259259259189,2609.052631579052
DEBB032,SO2,2022,2.335,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.04700000000000015,0.10300934579439251,-0.4562692796225746
DEBB032,SO2,2023,2.101,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.23399999999999999,-0.1334190476190476,1.7538725105289459
DEBB032,SO2,2024,1.897,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.20399999999999996,0.06028865979381443,-3.3837209302325575
DEBB032,SO2,2025,1.777,ug/m3,Industrial,Suburban,14.6382,52.1463,BB,Oder-Spree,Eisenhüttenstadt,-0.1200000000000001,0.1794494382022472,-0.6687120405735401
DEBB007,SO2,1997,13.121,ug/m3,Background,suburban,13.5268,51.4627,BB,Elbe-Elster,Elsterwerda,,-2.4013371900826446,
DEBB007,SO2,2007,4.053,ug/m3,Background,suburban,13.5268,51.4627,BB,Elbe-Elster,Elsterwerda,-9.068000000000001,-0.38034262948207176,23.841660905453253
