Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude_x,Latitude_x,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Longitude_y,Latitude_y,geometry,state,district,town_city
Germany,,,DEBE027,,SPO-DEBE027_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,416.0,ug/m3,98.54,,Industrial,rural,13.3681,52.3984,45.0,Berlin                                                                          ,DE001C1                                           ,3669491.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,13.3681,52.3984,POINT (13.3681 52.3984),Berlin,Berlin,Berlin
Germany,,,DEBW001,,SPO-DEBW001_00001_100,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,1990,0.0,count,80.62,,Traffic,urban,8.4184,49.0101,117.0,Karlsruhe                                                                       ,DE035C1                                           ,312060.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.4184,49.0101,POINT (8.4184 49.0101),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe
Germany,,,DEBE032,,SPO-DEBE032_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max-per99.73,1 year 99.73 %ile of hourly values in a given year,1990,283.0,ug/m3,97.18,,Background,rural,13.2251,52.4732,50.0,Berlin                                                                          ,DE001C1                                           ,3669491.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,13.2251,52.4732,POINT (13.2251 52.4732),Berlin,Berlin,Berlin
Germany,,,DEBW002,,SPO-DEBW002_00001_100,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,1990,23.242,ug/m3,91.99,,Traffic,urban,8.3538,49.0091,115.0,Karlsruhe                                                                       ,DE035C1                                           ,312060.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.3538,49.0091,POINT (8.3538 49.0091),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe
Germany,,,DEBW002,,SPO-DEBW002_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-per50,1 year 50 percentile,1990,19.75,ug/m3,91.99,,Traffic,urban,8.3538,49.0091,115.0,Karlsruhe                                                                       ,DE035C1                                           ,312060.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.3538,49.0091,POINT (8.3538 49.0091),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe
Germany,,,DEBE033,,SPO-DEBE033_00008_100,NO2,Nitrogen dioxide (air),P1Y-hr-max-per99.79,1 year 99.79 %ile of hourly values in a given year,1990,111.0,ug/m3,95.11,,Industrial,urban,13.2599,52.5325,35.0,Berlin                                                                          ,DE001C1                                           ,3669491.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,13.2599,52.5325,POINT (13.2599 52.5325),Berlin,Berlin,Berlin
Germany,,,DEBY043,,SPO-DEBY043_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,130.0,ug/m3,99.91,,Traffic,urban,11.5147,48.179,508.0,München                                                                         ,DE003C1                                           ,1484226.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.5147,48.179,POINT (11.5147 48.179),Bayern,München (Kreisfreie Stadt),München
Germany,,,DEBY045,,SPO-DEBY045_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1990,50.521,ug/m3,99.6,,Traffic,urban,11.5194,48.1316,531.0,München                                                                         ,DE003C1                                           ,1484226.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.5194,48.1316,POINT (11.5194 48.1316),Bayern,München (Kreisfreie Stadt),München
Germany,,,DEBW001,,SPO-DEBW001_00001_100,SO2,Sulphur dioxide (air),P1Y-day-max,1 year day max,1990,81.47,ug/m3,83.29,,Traffic,urban,8.4184,49.0101,117.0,Karlsruhe                                                                       ,DE035C1                                           ,312060.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.4184,49.0101,POINT (8.4184 49.0101),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe
Germany,,,DEBW007,,SPO-DEBW007_00001_140,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,1990,25.976,ug/m3,80.1,,Background,urban,8.5258,49.432,100.0,Mannheim                                                                        ,DE502C1                                           ,310658.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.5258,49.432,POINT (8.5258 49.432),Baden-Württemberg,Mannheim,Mannheim
Germany,,,DEBW009,,SPO-DEBW009_00001_120,SO2,Sulphur dioxide (air),P1Y-day-per50,1 year 50 %ile of daily values in a year,1990,15.152,ug/m3,97.26,,Traffic,urban,8.6767,49.4195,112.0,Heidelberg                                                                      ,DE522C1                                           ,161485.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.6767,49.4195,POINT (8.6767 49.4195),Baden-Württemberg,Heidelberg,Heidelberg
Germany,,,DEBW039,,SPO-DEBW039_00001_110,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,143.05,ug/m3,90.42,,Background,suburban,8.4636,48.0487,700.0,Villingen-Schwenningen                                                          ,DE051C1                                           ,85707.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.4636,48.0487,POINT (8.4636 48.0487),Baden-Württemberg,Schwarzwald-Baar-Kreis,Villingen-Schwenningen
Germany,,,DEBW011,,SPO-DEBW011_00001_120,SO2,Sulphur dioxide (air),P1Y-day-per50,1 year 50 %ile of daily values in a year,1990,13.624,ug/m3,80.82,,Traffic,urban,9.1725,48.8256,272.0,Stuttgart                                                                       ,DE007C1                                           ,635911.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.1725,48.8256,POINT (9.1725 48.8256),Baden-Württemberg,Stuttgart,Stuttgart
Germany,,,DEBW011,,SPO-DEBW011_00001_120,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,176.45,ug/m3,78.55,,Traffic,urban,9.1725,48.8256,272.0,Stuttgart                                                                       ,DE007C1                                           ,635911.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.1725,48.8256,POINT (9.1725 48.8256),Baden-Württemberg,Stuttgart,Stuttgart
Germany,,,DEBW012,,SPO-DEBW012_00001_140,SO2,Sulphur dioxide (air),P1Y-day-max,1 year day max,1990,84.533,ug/m3,89.86,,Background,urban,9.1648,48.7759,260.0,Stuttgart                                                                       ,DE007C1                                           ,635911.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.1648,48.7759,POINT (9.1648 48.7759),Baden-Württemberg,Stuttgart,Stuttgart
Germany,,,DEBW012,,SPO-DEBW012_00007_100,O3,Ozone (air),P1Y-hr-max,1 year hour max,1990,193.9,ug/m3,94.02,,Background,urban,9.1648,48.7759,260.0,Stuttgart                                                                       ,DE007C1                                           ,635911.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.1648,48.7759,POINT (9.1648 48.7759),Baden-Württemberg,Stuttgart,Stuttgart
Germany,,,DEBW014,,SPO-DEBW014_00001_200,SO2,Sulphur dioxide (air),P1Y-hr-per50,1 year 50 percentile,1990,14.05,ug/m3,84.68,,Industrial,suburban,9.2655,48.7523,235.0,Stuttgart                                                                       ,DE007C1                                           ,635911.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.2655,48.7523,POINT (9.2655 48.7523),Baden-Württemberg,Stuttgart,Stuttgart
Germany,,,DEBY054,,SPO-DEBY054_00001_200,SO2,Sulphur dioxide (air),P1Y-hr-per50,1 year 50 percentile,1990,12.0,ug/m3,99.56,,Traffic,urban,11.1058,49.4771,320.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.1058,49.4771,POINT (11.1058 49.4771),Bayern,Nürnberg,Nürnberg
Germany,,,DEBY054,,SPO-DEBY054_00001_200,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,1990,0.0,count,99.56,,Traffic,urban,11.1058,49.4771,320.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.1058,49.4771,POINT (11.1058 49.4771),Bayern,Nürnberg,Nürnberg
Germany,,,DEBW024,,SPO-DEBW024_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,133.1,ug/m3,87.26,,Background,suburban,9.1728,48.8992,302.0,Ludwigsburg                                                                     ,DE049C1                                           ,93584.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.1728,48.8992,POINT (9.1728 48.8992),Baden-Württemberg,Ludwigsburg,Ludwigsburg
Germany,,,DEBY057,,SPO-DEBY057_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,223.0,ug/m3,98.96,,Background,urban,11.1433,49.4627,320.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.1433,49.4627,POINT (11.1433 49.4627),Bayern,Nürnberg,Nürnberg
Germany,,,DEBY057,,SPO-DEBY057_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max25,1 year hour max 25,1990,148.0,ug/m3,98.96,,Background,urban,11.1433,49.4627,320.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.1433,49.4627,POINT (11.1433 49.4627),Bayern,Nürnberg,Nürnberg
Germany,,,DEBY058,,SPO-DEBY058_00001_100,SO2,Sulphur dioxide (air),P1Y-day-max4,1 year day max 4,1990,76.833,ug/m3,97.53,,Background,urban,11.0248,49.4622,300.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.0248,49.4622,POINT (11.0248 49.4622),Bayern,Nürnberg,Nürnberg
Germany,,,DEBY057,,SPO-DEBY057_00001_100,SO2,Sulphur dioxide (air),P1Y-day-max4,1 year day max 4,1990,89.083,ug/m3,98.36,,Background,urban,11.1433,49.4627,320.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.1433,49.4627,POINT (11.1433 49.4627),Bayern,Nürnberg,Nürnberg
Germany,,,DEBY057,,SPO-DEBY057_00001_100,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,1990,0.0,count,98.96,,Background,urban,11.1433,49.4627,320.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.1433,49.4627,POINT (11.1433 49.4627),Bayern,Nürnberg,Nürnberg
Germany,,,DEBW025,,SPO-DEBW025_00008_100,NO2,Nitrogen dioxide (air),P1Y,Annual mean / 1 calendar year,1990,46.045,ug/m3,81.28,,Background,urban,9.334,48.7274,240.0,Esslingen am Neckar                                                             ,DE046C1                                           ,94145.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.334,48.7274,POINT (9.334 48.7274),Baden-Württemberg,Esslingen,Esslingen am Neckar
Germany,,,DEBY057,,SPO-DEBY057_00008_100,NO2,Nitrogen dioxide (air),P1Y-hr-max,1 year hour max,1990,132.0,ug/m3,87.04,,Background,urban,11.1433,49.4627,320.0,Nürnberg                                                                        ,DE014C1                                           ,518370.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.1433,49.4627,POINT (11.1433 49.4627),Bayern,Nürnberg,Nürnberg
Germany,,,DEBW038,,SPO-DEBW038_00001_100,SO2,Sulphur dioxide (air),P1Y-hrsAbove350,1 year hour exceed 350,1990,0.0,count,91.47,,Traffic,urban,9.4857,47.6601,404.0,Friedrichshafen                                                                 ,DE072C1                                           ,61283.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,9.4857,47.6601,POINT (9.4857 47.6601),Baden-Württemberg,Bodenseekreis,Friedrichshafen
Germany,,,DEHE021,,SPO-DEHE021_00001_100,SO2,Sulphur dioxide (air),P1Y-day-max,1 year day max,1990,89.432,ug/m3,95.89,,Traffic,urban,8.2431,50.0814,118.0,Wiesbaden                                                                       ,DE020C1                                           ,278474.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,8.2431,50.0814,POINT (8.2431 50.0814),Hessen,Wiesbaden,Wiesbaden
