KreisNr,GemeindeNr,Gemeindename,Anzahl Stimmbezirke,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,FDP,GRÜNE,Sonstige
62,62014,Hainrode/Hainleite,6,,326,257,78.8,17,240,710,-,19,-,-,-,81
62,62015,Hamma,6,x,258,185,71.7,5,180,965,-,-,-,-,-,100
62,62016,Harzungen,6,x,197,134,68,-,134,523,-,-,-,-,-,100
62,62017,"Heringen/Helme, Stadt",14,,1995,1103,55.3,31,1072,3157,45.3,18,24.6,12.1,-,-
62,62018,Herrmannsacker,6,,343,213,62.1,20,193,557,-,-,-,-,-,100
62,62022,Ilfeld,16,,2677,1293,48.3,79,1214,3564,53.7,24,22.3,-,-,-
62,62024,Kehmstedt,8,,463,295,63.7,24,271,807,-,-,-,-,-,100
62,62025,Kleinbodungen,6,x,349,250,71.6,15,235,1097,-,-,-,-,-,100
62,62026,Kleinfurra,12,,1008,609,60.4,30,579,1704,37.6,-,-,-,-,62.4
62,62029,Kraja,6,x,279,175,62.7,8,167,749,-,-,-,-,-,100
62,62033,Lipprechterode,8,,552,418,75.7,25,393,1161,-,-,-,-,-,100
62,62036,Neustadt/Harz,12,,1054,634,60.2,22,612,1821,46.8,-,26.6,2.7,-,23.9
62,62037,Niedergebra,8,,692,466,67.3,36,430,1271,33.8,-,-,-,-,66.2
62,62038,Niedersachswerfen,16,,2790,1147,41.1,71,1076,3184,47,6.5,46.5,-,-,-
62,62039,Nohra,8,,853,444,52.1,25,419,1243,40.6,-,-,-,-,59.4
62,62041,"Nordhausen, Stadt",36,,36088,14741,40.8,521,14220,42160,36,25.4,28.7,5,4.8,-
62,62042,Obergebra,8,,755,426,56.4,26,400,1171,42.4,-,57.6,-,-,-
62,62044,Petersdorf,6,x,300,196,65.3,3,193,1059,-,-,-,-,-,100
62,62046,Rehungen,8,x,454,234,51.5,8,226,1312,-,-,-,-,-,100
62,62047,Rodishain,6,,228,174,76.3,5,169,504,-,-,-,-,-,100
62,62049,Sollstedt,16,,2623,1382,52.7,50,1332,3950,30.1,-,20.6,-,-,49.4
62,62052,Stempeda,6,x,238,191,80.3,5,186,927,-,-,-,-,-,100
62,62054,Urbach,12,,879,518,58.9,45,473,1399,13,-,-,-,-,87
62,62055,Uthleben,12,,997,666,66.8,42,624,1862,50.4,-,-,-,-,49.6
62,62057,Windehausen,8,x,444,293,66,12,281,1800,-,-,-,-,-,100
62,62058,Wipperdorf,12,,1359,681,50.1,66,615,1795,-,-,-,-,-,100
62,62059,Wolkramshausen,12,,968,607,62.7,16,591,1766,23.2,7.1,-,-,-,69.8
62,62062,Hohenstein,14,,2161,1377,63.7,72,1305,3833,45,13,20,22,-,-
62,62063,Werther,16,,3035,1945,64.1,85,1860,5537,34.2,24.4,15.9,-,-,25.5
63,63001,Andenhausen,6,x,204,100,49,15,85,383,-,-,-,-,-,100
63,63002,"Bad Liebenstein, Stadt",16,,3536,2100,59.4,84,2016,5932,-,-,-,-,-,100
63,63003,"Bad Salzungen, Stadt",24,,13799,5776,41.9,179,5597,16588,28.9,31.3,9,5.6,2.3,22.9
63,63004,Barchfeld,16,,2931,1604,54.7,44,1560,4631,10.1,26.4,52.4,-,-,11.2
63,63006,Berka v. d. Hainich,8,,714,478,66.9,59,419,1226,-,-,-,-,-,100
63,63007,"Berka/Werra, Stadt",16,,4023,1942,48.3,106,1836,5425,35.6,-,-,-,-,64.4
63,63008,Bischofroda,8,,553,414,74.9,22,392,1152,-,-,-,51.9,-,48.1
63,63009,Brunnhartshausen,6,x,336,235,69.9,10,225,1194,-,-,-,-,-,100
63,63011,Buttlar,12,x,1126,787,69.9,14,773,7317,99.6,-,-,-,-,0.4
63,63013,"Creuzburg, Stadt",14,,2244,1323,59,78,1245,3657,43.2,18.4,7.8,-,-,30.5
63,63014,Dankmarshausen,12,,958,624,65.1,35,589,1731,59.8,-,-,-,-,40.2
63,63015,Dermbach,16,,2775,1692,61,42,1650,4901,45.2,-,4,-,-,50.8
63,63016,Diedorf/Rh�n,6,,343,237,69.1,19,218,631,-,-,-,71.2,-,28.8
63,63017,Dippach,12,,1028,672,65.4,14,658,1944,37.6,16.6,45.8,-,-,-
63,63018,Dorndorf,16,,2474,1772,71.6,53,1719,5034,48.6,10,41.5,-,-,-
63,63019,Ebenshausen,6,,257,164,63.8,18,146,426,-,-,-,-,-,100
63,63023,Empfertshausen,8,,537,314,58.5,29,285,843,52.6,-,15.2,-,-,32.3
63,63024,Ettenhausen a.d. Suhl,8,,398,254,63.8,29,225,671,63.5,-,-,-,-,36.5
63,63026,Fischbach/Rh�n,8,,498,307,61.6,30,277,811,24.9,18,57.1,-,-,-
63,63028,Frankenroda,6,,312,177,56.7,14,163,486,-,-,22,-,-,78
63,63029,Frauensee,8,,822,530,64.5,34,496,1449,20.7,-,24.8,-,-,54.5
63,63032,"Geisa, Stadt",16,,2777,1689,60.8,82,1607,4778,56.2,7.9,-,-,-,35.9
63,63033,Gerstengrund,6,x,45,45,100,-,45,270,-,-,-,-,-,100
63,63036,Gro�ensee,6,,178,125,70.2,11,114,334,-,-,-,-,-,100
63,63037,Hallungen,6,x,208,145,69.7,2,143,724,-,-,-,-,-,100
63,63039,Ifta,12,,1032,532,51.6,34,498,1451,-,-,8.7,21,-,70.4
63,63041,Immelborn,12,,1520,914,60.1,39,875,2595,-,-,-,-,-,100
63,63043,Kaltenlengsfeld,6,x,397,253,63.7,13,240,1346,-,-,-,-,-,100
63,63044,"Kaltennordheim, Stadt",12,,1560,953,61.1,21,932,2767,27.4,21.2,5.1,28.4,-,18
63,63045,Klings,8,x,423,303,71.6,4,299,1782,-,-,-,-,-,100
63,63046,Krauthausen,12,,1379,762,55.3,48,714,2108,-,-,-,-,-,100
63,63049,Lauterbach,8,,547,332,60.7,35,297,880,-,-,-,-,-,100
63,63051,Leimbach,12,,1616,989,61.2,32,957,2814,10.7,17.7,10.1,-,-,61.5
63,63052,Marksuhl,16,,2719,1505,55.4,69,1436,4229,33,-,5.7,-,-,61.3
63,63053,Martinroda,6,,247,191,77.3,9,182,544,-,-,-,-,-,100
63,63054,Merkers-Kieselbach,16,,2747,1622,59,41,1581,4698,32.6,13.2,17.6,-,-,36.6
63,63055,Mihla,14,,2036,1122,55.1,63,1059,3090,-,-,19.6,-,-,80.4
63,63058,Nazza,8,,548,277,50.5,32,245,723,-,-,-,-,-,100
63,63059,Neidhartshausen,6,x,300,203,67.7,26,177,795,-,-,-,-,-,100
63,63062,Oechsen,8,x,589,406,68.9,9,397,2684,-,-,-,-,-,100
63,63065,Rockenstuhl,12,x,1046,778,74.4,23,755,5932,99.5,-,-,-,-,0.5
63,63066,"Ruhla, Stadt",20,,5823,2752,47.3,113,2639,7756,46,20.1,20.7,-,-,13.2
