KreisNr,GemeindeNr,Gemeindename,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,SPD,DIE LINKE,FDP,GRÜNE,Sonstige
73,73084,Sitzendorf,12,,927,711,76.7,57,654,1936,6,-,-,2,-,4
73,73085,Steinsdorf,6,x,111,101,91,6,95,446,-,-,-,-,-,6
73,73086,Sundremda,6,x,183,162,88.5,4,158,758,-,-,-,-,-,6
73,73087,"Teichel, Stadt",8,x,412,336,81.6,16,320,1899,8,-,-,-,-,-
73,73088,Teichröda,6,,235,208,88.5,14,194,576,2,-,-,-,-,4
73,73089,Teichweiden,6,,162,134,82.7,9,125,368,-,-,-,-,-,6
73,73091,Treppendorf,6,x,113,75,66.4,6,69,341,-,-,-,-,-,6
73,73092,Uhlstädt,12,,1237,1058,85.5,23,1035,3067,1,2,1,-,-,8
73,73093,Unterpreilipp,6,,86,72,83.7,3,69,202,-,-,-,-,-,6
73,73094,Unterweißbach,12,,805,635,78.9,67,568,1670,-,4,-,-,-,8
73,73095,Unterwellenborn,14,,2250,1667,74.1,60,1607,4766,9,-,3,1,-,1
73,73096,Unterwirbach,8,,620,483,77.9,25,458,1352,-,-,-,-,-,8
73,73097,Volkmannsdorf,6,,202,170,84.2,7,163,489,2,-,-,-,-,4
73,73098,Weißen,6,x,265,223,84.2,94,129,464,-,-,-,-,-,6
73,73099,Wickersdorf,6,,156,133,85.3,2,131,388,-,-,-,-,-,6
73,73101,Wittgendorf,6,x,171,126,73.7,14,112,486,-,-,-,-,-,6
73,73102,Wittmannsgereuth,6,x,80,71,88.8,5,66,337,-,-,-,-,-,6
73,73103,Witzendorf,6,x,61,50,82,4,46,217,6,-,-,-,-,-
73,73104,Zeutsch,6,,264,225,85.2,14,211,628,-,-,-,-,-,6
74,74001,Albersdorf,6,,215,172,80,17,155,460,2,-,-,-,-,4
74,74002,Altenberga,8,,526,456,86.7,15,441,1316,-,-,-,-,-,8
74,74003,Bad Klosterlausnitz,16,,2333,1794,76.9,59,1735,5167,7,3,2,2,-,2
74,74004,Bibra,6,,199,161,80.9,9,152,456,-,-,-,-,-,6
74,74005,Bobeck,6,,287,221,77,14,207,612,2,-,-,-,-,4
74,74006,Bollberg,6,,211,188,89.1,20,168,494,4,-,-,-,2,-
74,74007,Bremsnitz,6,,127,110,86.6,9,101,288,-,1,-,-,-,5
74,74008,Bucha,8,,632,534,84.5,19,515,1518,2,-,-,1,-,5
74,74009,"Bürgel, Stadt",14,,2296,1707,74.3,73,1634,4866,4,4,1,-,-,5
74,74011,"Camburg, Stadt",14,,2306,1757,76.2,83,1674,4908,7,2,-,-,-,5
74,74012,Crossen an der Elster,14,,1817,1368,75.3,44,1324,3925,4,-,3,5,-,2
