City,Year,Average,Air Quality Station Type
Arzberg,1997,39.169,Background
Arzberg,1998,39.552,Background
Arzberg,1999,42.243,Background
Arzberg,2000,40.628,Background
Arzberg,2001,40.882,Background
Arzberg,2002,41.738,Background
Arzberg,2003,44.778,Background
Arzberg,2004,43.145,Background
Arzberg,2005,43.021,Background
Arzberg,2006,44.406,Background
Arzberg,2007,43.495,Background
Arzberg,2008,40.734,Background
Arzberg,2009,40.245,Background
Arzberg,2010,42.951,Background
Arzberg,2011,40.555,Background
Arzberg,2012,42.447,Background
Arzberg,2013,43.15,Background
Arzberg,2014,38.001,Background
Arzberg,2015,47.567,Background
Arzberg,2016,45.018,Background
Arzberg,2017,46.055,Background
Arzberg,2018,48.607,Background
Arzberg,2019,48.543,Background
Arzberg,2020,44.914,Background
Arzberg,2021,43.396,Background
Arzberg,2022,47.718,Background
Arzberg,2023,52.083,Background
Arzberg,2024,47.821,Background
Arzberg,2025,46.127,Background
Aschaffenburg,1990,26.768,Background
Aschaffenburg,1991,28.08,Background
Aschaffenburg,1992,29.094,Background
Aschaffenburg,1993,29.348,Background
Aschaffenburg,1994,33.758,Background
Aschaffenburg,1995,32.76,Background
Aschaffenburg,1996,31.36,Background
Aschaffenburg,1997,33.554,Background
Aschaffenburg,1998,32.437,Background
Aschaffenburg,1999,35.509,Background
Aschaffenburg,2000,30.746,Background
Aschaffenburg,2001,34.264,Background
Aschaffenburg,2002,35.313,Background
Aschaffenburg,2003,42.348,Background
Aschaffenburg,2004,35.417,Background
Aschaffenburg,2005,34.983,Background
Aschaffenburg,2006,40.582,Background
Aschaffenburg,2007,35.588,Background
Aschaffenburg,2008,36.325,Background
Aschaffenburg,2009,33.452,Background
Aschaffenburg,2010,34.932,Background
Aschaffenburg,2011,35.738,Background
Aschaffenburg,2012,36.873,Background
Aschaffenburg,2013,37.548,Background
Aschaffenburg,2014,34.62,Background
Aschaffenburg,2015,39.873,Background
Aschaffenburg,2016,36.746,Background
Aschaffenburg,2017,37.486,Background
Aschaffenburg,2018,44.94,Background
Aschaffenburg,2019,44.096,Background
Aschaffenburg,2020,45.557,Background
Aschaffenburg,2021,39.601,Background
Aschaffenburg,2022,49.273,Background
Aschaffenburg,2023,50.715,Background
Aschaffenburg,2024,45.473,Background
Aschaffenburg,2025,47.866,Background
Aue,1984,49.973,Background
Aue,1985,49.43,Background
Aue,1986,47.037,Background
Aue,1988,71.632,Background
Aue,1989,65.229,Background
Aue,1990,50.794,Background
Aue,1991,46.628,Background
Aue,1992,57.882,Background
Aue,1993,52.253,Background
Aue,1994,57.894,Background
Aue,1995,33.154,Traffic
Aue,1995,51.412,Background
Aue,1996,33.462,Traffic
Aue,1996,50.308499999999995,Background
Aue,1997,38.242,Traffic
Aue,1997,50.593999999999994,Background
Aue,1998,42.12,Traffic
Aue,1998,48.254000000000005,Background
Aue,1999,40.41,Traffic
Aue,1999,55.91799999999999,Background
Aue,2000,38.441,Traffic
Aue,2000,52.908,Background
Aue,2001,39.291,Traffic
Aue,2001,51.8455,Background
Aue,2002,50.178,Traffic
Aue,2002,53.207,Background
Aue,2003,60.585,Background
Aue,2004,53.148,Background
Aue,2005,54.155,Background
Aue,2006,56.923,Background
Aue,2007,53.281,Background
Aue,2008,52.497,Background
Aue,2009,51.733,Background
Aue,2010,55.021,Background
Aue,2011,54.252,Background
Aue,2012,53.371,Background
Aue,2013,54.62,Background
Aue,2014,50.527,Background
Aue,2015,53.204,Background
Aue,2016,50.689,Background
Aue,2017,51.142,Background
Aue,2018,58.658,Background
Aue,2019,57.189,Background
Aue,2020,54.614,Background
Aue,2021,51.652,Background
Aue,2022,58.108,Background
Aue,2023,55.516,Background
Aue,2024,56.338,Background
Aue,2025,63.64,Background
Auerbach/Vogtl.,1995,43.056,Traffic
Auerbach/Vogtl.,1996,38.728,Traffic
Auerbach/Vogtl.,1997,42.581,Traffic
Auerbach/Vogtl.,1998,46.74,Traffic
Auerbach/Vogtl.,1999,46.525,Traffic
Auerbach/Vogtl.,2000,44.562,Traffic
Augsburg,1990,29.382,Background
Augsburg,1991,35.027,Background
Augsburg,1992,38.498,Background
Augsburg,1993,38.275,Background
Augsburg,1994,43.172,Background
Augsburg,1995,38.013,Background
Augsburg,1996,37.891,Background
Augsburg,1997,37.254,Background
Augsburg,1998,37.991,Background
Augsburg,1999,39.904,Background
Augsburg,2000,40.269,Background
Augsburg,2001,40.04,Background
Augsburg,2002,48.931,Background
Augsburg,2003,54.169,Background
Augsburg,2004,49.808,Background
Augsburg,2005,45.136,Background
Augsburg,2006,48.166,Background
Augsburg,2007,42.142,Background
Augsburg,2008,46.656,Background
Augsburg,2009,43.498,Background
Augsburg,2010,44.294,Background
Augsburg,2011,44.022,Background
Augsburg,2012,45.0015,Background
Augsburg,2013,40.396,Background
Augsburg,2014,37.8815,Background
Augsburg,2015,46.191,Background
Augsburg,2016,43.649,Background
Augsburg,2017,45.924499999999995,Background
Augsburg,2018,49.045,Background
Augsburg,2019,49.657,Background
Augsburg,2020,46.528999999999996,Background
Augsburg,2021,45.2755,Background
Augsburg,2022,50.61150000000001,Background
Augsburg,2023,54.1695,Background
