,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wahlen zu den Kreistagen und Stadtverordnetenversammlungen  der Stadtkreise nach Gemeinden in Mecklenburg - Vorpommern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          am 06. Mai 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                                         hier: nach dem Landkreisneuordnungsgesetz  - Gebietsstand: 01.Juli 1993 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,                   S t i m m z e t t e l,,,,Stimmen,                  Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,,               Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,,,              Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,
Gemeinde-,Stadtkreise,Wahl-,Wähler,Wahl-,        g ü   l   t   i  g ,,      u n g ü l t i g ,,ins-,          Bauern,,               B.F.D.,,               CDU,,                DBD,,              DFD,,              DSU,,        Grünen,,          NF      u.a.,,             PDS,,              SPD,,            B V,,            VS,,            EV,,       Sonstige,
Nummer,Landkreis,berechtigte,,beteiligung,,,,,gesamt,,,                  u.a.,,                 u.a.,,,,                 u.a.,,,,           u.a.,,      einschl. Bü. 90     ,,,,              u.a.,,,,,,,,,
,Gemeinde,                 A n z a h l,,%,Anzahl,%,Anzahl,%,Anzahl,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stadtkreise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052,PEPELOW,165,131,79.39,128,97.71,3,2.29,322,36,11.18,4,1.24,109,33.85,58,18.01,20,6.21,0,0.00,0,0.00,0,0.00,30,9.32,52,16.15,0,0.00,7,2.17,2,0.62,4,1.24
053,PÖLCHOW,356,270,75.84,241,89.26,29,10.74,688,154,22.38,11,1.60,149,21.66,32,4.65,5,0.73,0,0.00,0,0.00,97,14.10,133,19.33,107,15.55,0,0.00,0,0.00,0,0.00,0,0.00
054,POPPENDORF,195,169,86.67,152,89.94,17,10.06,442,29,6.56,15,3.39,60,13.57,75,16.97,0,0.00,0,0.00,0,0.00,48,10.86,155,35.07,60,13.57,0,0.00,0,0.00,0,0.00,0,0.00
055,PRISANNEWITZ,420,338,80.48,286,84.62,52,15.38,796,0,0.00,36,4.52,295,37.06,63,7.91,12,1.51,0,0.00,50,6.28,63,7.91,142,17.84,135,16.96,0,0.00,0,0.00,0,0.00,0,0.00
056,RADEGAST,393,302,76.84,283,93.71,19,6.29,768,106,13.80,22,2.86,134,17.45,229,29.82,16,2.08,0,0.00,0,0.00,0,0.00,48,6.25,91,11.85,0,0.00,11,1.43,106,13.80,5,0.65
057,RAKOW,196,148,75.51,128,86.49,20,13.51,381,40,10.50,4,1.05,101,26.51,111,29.13,14,3.67,0,0.00,0,0.00,0,0.00,46,12.07,57,14.96,0,0.00,5,1.31,3,0.79,0,0.00
058,RAVENSBERG,261,216,82.76,212,98.15,4,1.85,585,132,22.56,11,1.88,128,21.88,52,8.89,41,7.01,0,0.00,0,0.00,0,0.00,95,16.24,110,18.80,0,0.00,10,1.71,3,0.51,3,0.51
059,REDDELICH,386,343,88.86,300,87.46,43,12.54,868,23,2.65,14,1.61,381,43.89,36,4.15,11,1.27,0,0.00,0,0.00,0,0.00,118,13.59,251,28.92,0,0.00,27,3.11,0,0.00,7,0.81
060,REINSHAGEN,222,198,89.19,183,92.42,15,7.58,535,157,29.35,14,2.62,57,10.65,156,29.16,5,0.93,0,0.00,0,0.00,0,0.00,45,8.41,59,11.03,0,0.00,5,0.93,35,6.54,2,0.37
061,REPPELIN,213,171,80.28,144,84.21,27,15.79,416,0,0.00,32,7.69,68,16.35,153,36.78,0,0.00,0,0.00,12,2.88,34,8.17,45,10.82,70,16.83,0,0.00,0,0.00,0,0.00,2,0.48
062,"RERIK,OSTSEEBAD,STADT",1587,1242,78.26,1127,90.74,115,9.26,3324,18,0.54,98,2.95,639,19.22,438,13.18,157,4.72,0,0.00,0,0.00,0,0.00,315,9.48,1464,44.04,0,0.00,16,0.48,0,0.00,179,5.39
063,RETSCHOW,437,365,83.52,331,90.68,34,9.32,968,25,2.58,26,2.69,193,19.94,117,12.09,61,6.30,0,0.00,0,0.00,67,6.92,214,22.11,252,26.03,0,0.00,13,1.34,0,0.00,0,0.00
064,ROGGENTIN,362,287,79.28,241,83.97,46,16.03,704,0,0.00,48,6.82,176,25.00,96,13.64,0,0.00,0,0.00,29,4.12,27,3.84,64,9.09,261,37.07,0,0.00,0,0.00,0,0.00,3,0.43
065,ROGGOW,184,147,79.89,138,93.88,9,6.12,405,56,13.83,17,4.20,90,22.22,14,3.46,8,1.98,0,0.00,0,0.00,0,0.00,30,7.41,183,45.19,0,0.00,5,1.23,1,0.25,1,0.25
066,RÖVERSHAGEN,1051,827,78.69,735,88.88,92,11.12,2114,118,5.58,135,6.39,448,21.19,72,3.41,0,0.00,0,0.00,0,0.00,300,14.19,748,35.38,293,13.86,0,0.00,0,0.00,0,0.00,0,0.00
067,RUKIETEN,186,163,87.63,156,95.71,7,4.29,397,37,9.32,26,6.55,148,37.28,25,6.30,0,0.00,7,1.76,0,0.00,0,0.00,112,28.21,42,10.58,0,0.00,0,0.00,0,0.00,0,0.00
068,SANITZ,1885,1496,79.36,1430,95.59,66,4.41,4232,0,0.00,372,8.79,486,11.48,1222,28.88,0,0.00,0,0.00,270,6.38,206,4.87,829,19.59,826,19.52,0,0.00,0,0.00,0,0.00,21,0.50
069,SATOW,1504,1236,82.18,1204,97.41,32,2.59,3290,166,5.05,118,3.59,824,25.05,757,23.01,85,2.58,0,0.00,0,0.00,0,0.00,286,8.69,523,15.90,0,0.00,71,2.16,418,12.71,42,1.28
