Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;G�ltige Stimmen;CDU;DIE LINKE;SPD;GRÜNE;AfD;FDP;NPD;PIRATEN;ASK Schwerin;AWD;AWGV;ABLR;AfL;AUFBRUCH 09;B�ndnis C;B�rger f�r Stralsund;BVR;B�rgerb�ndnis "Landleben Tollensetal";BG;DKP;DF;FREIE W�HLER;Freier Horizont LUP;Freier Horizont MSE;Freier Horizont VG;Freier Horizont LRO;FPA;FR;Graue;KfV;Die PARTEI;Tierschutzpartei;Pro Aktiv;UB;UFR;Rostocker Bund;WGW;WGK;LUL;W�hlergruppe Adomeit;WLD;Einzelbewerber
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;1;1;395;231;58,5;0,4;99,6;45,6;14,0;7,7;2,5;17,3;1,2;0,9;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;7,1;x;2,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;168;107;63,7;0;301;78;95;27;8;47;19;2;3;x;x;x;x;x;x;x;x;x;x;x;x;x;6;x;15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;168;107;63,7;0,0;100,0;25,9;31,6;9,0;2,7;15,6;6,3;0,7;1,0;x;x;x;x;x;x;x;x;x;x;x;x;x;2,0;x;5,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;590;348;59,0;6;1002;268;257;56;26;165;15;9;6;x;x;x;x;x;x;x;x;x;x;x;x;x;92;x;100;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;8
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;590;348;59,0;0,6;99,4;26,7;25,6;5,6;2,6;16,5;1,5;0,9;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;9,2;x;10,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;193;121;62,7;21;335;144;59;40;5;57;13;3;2;x;x;x;x;x;x;x;x;x;x;x;x;x;11;x;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;193;121;62,7;5,9;94,1;43,0;17,6;11,9;1,5;17,0;3,9;0,9;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;3,3;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;198;174;87,9;33;489;162;61;64;32;105;9;0;2;x;x;x;x;x;x;x;x;x;x;x;x;x;42;x;7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;198;174;87,9;6,3;93,7;33,1;12,5;13,1;6,5;21,5;1,8;0,0;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;8,6;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;556;321;57,7;21;869;267;117;119;30;206;3;9;1;x;x;x;x;x;x;x;x;x;x;x;x;x;97;x;15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;556;321;57,7;2,4;97,6;30,7;13,5;13,7;3,5;23,7;0,3;1,0;0,1;x;x;x;x;x;x;x;x;x;x;x;x;x;11,2;x;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;598;310;51,8;27;892;310;141;64;36;188;33;17;3;x;x;x;x;x;x;x;x;x;x;x;x;x;64;x;31;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;598;310;51,8;2,9;97,1;34,8;15,8;7,2;4,0;21,1;3,7;1,9;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;7,2;x;3,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;314;250;79,6;12;702;251;79;91;30;107;38;16;12;x;x;x;x;x;x;x;x;x;x;x;x;x;49;x;22;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;314;250;79,6;1,7;98,3;35,8;11,3;13,0;4,3;15,2;5,4;2,3;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;7,0;x;3,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;1;1;414;263;63,5;30;742;207;181;44;24;156;17;5;3;x;x;x;x;x;x;x;x;x;x;x;x;x;87;x;18;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;1;1;414;263;63,5;3,9;96,1;27,9;24,4;5,9;3,2;21,0;2,3;0,7;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;11,7;x;2,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;193;141;73,1;18;405;126;83;38;34;76;9;10;2;x;x;x;x;x;x;x;x;x;x;x;x;x;19;x;7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;193;141;73,1;4,3;95,7;31,1;20,5;9,4;8,4;18,8;2,2;2,5;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;4,7;x;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,2
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;1;1;390;245;62,8;9;702;351;62;49;18;115;7;14;0;x;x;x;x;x;x;x;x;x;x;x;x;x;71;x;15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;1;1;390;245;62,8;1,3;98,7;50,0;8,8;7,0;2,6;16,4;1,0;2,0;0,0;x;x;x;x;x;x;x;x;x;x;x;x;x;10,1;x;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;335;225;67,2;15;653;246;81;90;37;105;17;0;2;x;x;x;x;x;x;x;x;x;x;x;x;x;69;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;335;225;67,2;2,2;97,8;37,7;12,4;13,8;5,7;16,1;2,6;0,0;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;10,6;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,2
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;325;194;59,7;15;543;181;53;71;9;122;14;13;4;x;x;x;x;x;x;x;x;x;x;x;x;x;60;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;325;194;59,7;2,7;97,3;33,3;9,8;13,1;1,7;22,5;2,6;2,4;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;11,0;x;2,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5152;Friedland;13071028;Datzetal;2;2;740;446;60,3;47;1276;445;305;96;65;272;7;21;6;x;x;x;x;x;x;x;x;x;x;x;x;x;37;x;10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;12
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5152;Friedland;13071028;Datzetal;2;2;740;446;60,3;3,6;96,4;34,9;23,9;7,5;5,1;21,3;0,5;1,6;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;2,9;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5152;Friedland;13071035;Friedland, Stadt;9;9;5599;2765;49,4;200;7910;2903;1552;560;361;1541;217;227;63;x;x;x;x;x;x;x;x;x;x;x;x;x;264;x;184;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;38
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5152;Friedland;13071035;Friedland, Stadt;9;9;5599;2765;49,4;2,5;97,5;36,7;19,6;7,1;4,6;19,5;2,7;2,9;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;3,3;x;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5152;Friedland;13071037;Galenbeck;3;3;927;536;57,8;69;1516;527;285;170;97;233;58;21;35;x;x;x;x;x;x;x;x;x;x;x;x;x;34;x;46;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;10
