Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;DIE GRAUEN;REP;Adomeit;AWK;"BfL";RP;Agrarb�ndnis;AfR;APD;AUFBRUCH 09;AUF;Bauernverband;Bv;BBLR;BFR;BsG;BfB;BfS;BB UER;BfP;BG;FORUM;Freie  W�hler;Freie W�hler;FWG;FWG Niepars;F�R Rostock - pro OB;Haus und Grund Rostock;IfA;MUG;Rostocker Bund;SAV;UB;UBL 94;UWG;WG Bv-L�ndlicher Raum;Bauern;WG;WGW;WIK;WGK;KL;WGLR;WPL;WG Prohn;WG SVS 93;WIP;Einzelbewerber;
A;52;Demmin;5224;Stavenhagen;13052063;Ritzerow;1;1;394;211;53,6;51;568;167;216;71;75;15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;14;x;x;x;x;10;
P;52;Demmin;5224;Stavenhagen;13052063;Ritzerow;1;1;394;211;53,6;8,2;91,8;29,4;38,0;12,5;13,2;2,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,5;x;x;x;x;1,8;
A;52;Demmin;5224;Stavenhagen;13052065;Rosenow;1;1;903;501;55,5;99;1401;507;368;146;116;203;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;43;x;x;x;x;18;
P;52;Demmin;5224;Stavenhagen;13052065;Rosenow;1;1;903;501;55,5;6,6;93,4;36,2;26,3;10,4;8,3;14,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,1;x;x;x;x;1,3;
A;52;Demmin;5224;Stavenhagen;13052074;Stavenhagen, Reuterstadt, Stadt;8;8;5123;2026;39,5;213;5729;1743;2838;486;349;113;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;124;x;x;x;x;76;
P;52;Demmin;5224;Stavenhagen;13052074;Stavenhagen, Reuterstadt, Stadt;8;8;5123;2026;39,5;3,6;96,4;30,4;49,5;8,5;6,1;2,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,2;x;x;x;x;1,3;
A;52;Demmin;5224;Stavenhagen;13052092;Zettemin;1;1;294;186;63,3;21;536;284;139;58;26;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;12;
P;52;Demmin;5224;Stavenhagen;13052092;Zettemin;1;1;294;186;63,3;3,8;96,2;53,0;25,9;10,8;4,9;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;2,2;
A;53;G�strow;5302;G�strow, Stadt;13053031;G�strow, Stadt;22;22;25865;9437;36,5;696;26917;6560;5677;6350;2246;1466;869;x;x;x;x;x;x;x;x;x;x;326;x;x;x;x;x;x;x;x;x;x;x;x;1248;1157;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1018;
P;53;G�strow;5302;G�strow, Stadt;13053031;G�strow, Stadt;22;22;25865;9437;36,5;2,5;97,5;24,4;21,1;23,6;8,3;5,4;3,2;x;x;x;x;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;4,6;4,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,8;
