Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;DIE GRAUEN;REP;Adomeit;AWK;"BfL";RP;Agrarb�ndnis;AfR;APD;AUFBRUCH 09;AUF;Bauernverband;Bv;BBLR;BFR;BsG;BfB;BfS;BB UER;BfP;BG;FORUM;Freie  W�hler;Freie W�hler;FWG;FWG Niepars;F�R Rostock - pro OB;Haus und Grund Rostock;IfA;MUG;Rostocker Bund;SAV;UB;UBL 94;UWG;WG Bv-L�ndlicher Raum;Bauern;WG;WGW;WIK;WGK;KL;WGLR;WPL;WG Prohn;WG SVS 93;WIP;Einzelbewerber;
P;52;Demmin;5224;Stavenhagen;13052010;Bredenfelde;1;1;167;134;80,2;2,5;97,5;34,6;26,4;13,8;11,8;5,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,5;x;x;x;x;3,1;
A;52;Demmin;5224;Stavenhagen;13052013;Briggow;1;1;305;182;59,7;21;471;152;140;78;39;38;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;5;
P;52;Demmin;5224;Stavenhagen;13052013;Briggow;1;1;305;182;59,7;4,3;95,7;32,3;29,7;16,6;8,3;8,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,0;x;x;x;x;1,1;
A;52;Demmin;5224;Stavenhagen;13052028;Grammentin;1;1;223;104;46,6;12;294;156;51;31;35;14;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4;x;x;x;x;3;
P;52;Demmin;5224;Stavenhagen;13052028;Grammentin;1;1;223;104;46,6;3,9;96,1;53,1;17,3;10,5;11,9;4,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,4;x;x;x;x;1,0;
A;52;Demmin;5224;Stavenhagen;13052034;G�lzow;1;1;399;242;60,7;7;642;240;199;97;56;15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;16;x;x;x;x;19;
P;52;Demmin;5224;Stavenhagen;13052034;G�lzow;1;1;399;242;60,7;1,1;98,9;37,4;31,0;15,1;8,7;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,5;x;x;x;x;3,0;
A;52;Demmin;5224;Stavenhagen;13052038;Ivenack;1;1;771;310;40,2;27;893;225;258;114;224;42;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;30;x;x;x;x;0;
P;52;Demmin;5224;Stavenhagen;13052038;Ivenack;1;1;771;310;40,2;2,9;97,1;25,2;28,9;12,8;25,1;4,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,4;x;x;x;x;0,0;
A;52;Demmin;5224;Stavenhagen;13052040;J�rgenstorf;1;1;807;473;58,6;60;1320;565;419;147;64;56;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;54;x;x;x;x;15;
P;52;Demmin;5224;Stavenhagen;13052040;J�rgenstorf;1;1;807;473;58,6;4,3;95,7;42,8;31,7;11,1;4,8;4,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,1;x;x;x;x;1,1;
A;52;Demmin;5224;Stavenhagen;13052042;Kittendorf;1;1;287;175;61,0;15;505;296;89;50;23;40;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;0;
P;52;Demmin;5224;Stavenhagen;13052042;Kittendorf;1;1;287;175;61,0;2,9;97,1;58,6;17,6;9,9;4,6;7,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,4;x;x;x;x;0,0;
A;52;Demmin;5224;Stavenhagen;13052044;Knorrendorf;1;1;573;229;40,0;52;622;266;125;105;55;32;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;34;x;x;x;x;5;
P;52;Demmin;5224;Stavenhagen;13052044;Knorrendorf;1;1;573;229;40,0;7,7;92,3;42,8;20,1;16,9;8,8;5,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5,5;x;x;x;x;0,8;
A;52;Demmin;5224;Stavenhagen;13052053;M�lln;1;1;476;283;59,5;15;784;282;194;151;57;67;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;22;x;x;x;x;11;
P;52;Demmin;5224;Stavenhagen;13052053;M�lln;1;1;476;283;59,5;1,9;98,1;36,0;24,7;19,3;7,3;8,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,8;x;x;x;x;1,4;
