Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;DIE LINKE;GRÜNE;NPD;FDP;PIRATEN;AUF;RENTNER;[ASK];AB gegen WK- Ausbau;AWD;Allianz Bauern u. LR;AfD;AfL;AL;AUFBRUCH 09;Bauernverband;BFR;B�rger f�r Stralsund;BBG;BG;Freie W�hler LUP;Freie W�hler MSP;Freie W�hler LRO;Freie W�hler NWM;GRAUE;KfV;LUL;UB;UFR;UBL 94;Rostocker Bund;WG BV-LR;WGB;WG B;WGW;WGLR;WG Upahl-Hanshagen;WG "W�bbelin";Adomeit;WIR;Einzelbewerber
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;2;2;429;219;51,0;4,3;95,7;57,4;13,5;15,5;1,5;4,3;0,5;0,3;x;x;x;1,0;x;x;2,6;x;x;x;x;x;x;x;x;x;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;0,7
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;177;112;63,3;3;316;134;46;90;12;9;2;0;x;x;x;1;x;x;6;x;x;x;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;177;112;63,3;0,9;99,1;42,4;14,6;28,5;3,8;2,8;0,6;0,0;x;x;x;0,3;x;x;1,9;x;x;x;x;x;x;x;x;x;3,5;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;636;381;59,9;58;1070;420;110;332;29;49;12;3;x;x;x;4;x;x;35;x;x;x;x;x;x;x;x;x;64;x;x;x;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;3
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;636;381;59,9;5,1;94,9;39,3;10,3;31,0;2,7;4,6;1,1;0,3;x;x;x;0,4;x;x;3,3;x;x;x;x;x;x;x;x;x;6,0;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;0,3
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;223;164;73,5;59;433;254;52;66;6;10;0;1;x;x;x;4;x;x;7;x;x;x;x;x;x;x;x;x;10;x;x;x;x;x;x;x;x;x;x;x;x;x;23;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;223;164;73,5;12,0;88,0;58,7;12,0;15,2;1,4;2,3;0,0;0,2;x;x;x;0,9;x;x;1,6;x;x;x;x;x;x;x;x;x;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;5,3;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;207;151;72,9;21;425;165;81;71;21;17;15;5;x;x;x;0;x;x;24;x;x;x;x;x;x;x;x;x;17;x;x;x;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;4
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;207;151;72,9;4,7;95,3;38,8;19,1;16,7;4,9;4,0;3,5;1,2;x;x;x;0,0;x;x;5,6;x;x;x;x;x;x;x;x;x;4,0;x;x;x;x;x;x;x;x;x;x;x;x;x;1,2;x;x;x;x;0,9
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;638;301;47,2;21;867;345;178;166;11;44;21;0;x;x;x;2;x;x;34;x;x;x;x;x;x;x;x;x;64;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;1
