Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBE006,SO2,1990,303.333,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE006,SO2,1990,248.958,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE007,SO2,1990,44.091,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE007,SO2,1990,324.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE009,SO2,1990,43.684,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE010,SO2,1990,66.0,count,Background,urban,BE,Berlin,Berlin
DEBW002,SO2,1990,0.0,count,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW002,SO2,1990,190.4,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW002,SO2,1990,113.35,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBE020,SO2,1990,290.708,ug/m3,Background,urban,BE,Berlin,Berlin
DEBE020,SO2,1990,231.708,ug/m3,Background,urban,BE,Berlin,Berlin
DEBE025,SO2,1990,324.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE025,SO2,1990,15.0,count,Background,suburban,BE,Berlin,Berlin
DEBW051,O3,1990,97.273,ug/m3,Background,urban,BW,Heilbronn (Stadtkreis),Heilbronn
DEBW051,O3,1990,181.944,ug/m3,Background,urban,BW,Heilbronn (Stadtkreis),Heilbronn
DEBW051,NO2,1990,122.0,ug/m3,Background,urban,BW,Heilbronn (Stadtkreis),Heilbronn
DEBE029,SO2,1990,308.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DENW009,O3,1990,29.875,ug/m3,Background,suburban,NW,Dortmund,Dortmund
DEHE012,O3,1990,106.75,ug/m3,Background,urban,HE,Kassel (Kreisfreie Stadt),Kassel
DEBE012,SO2,1990,27.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DEHE014,O3,1990,101.896,ug/m3,Traffic,urban,HE,Kassel (Kreisfreie Stadt),Kassel
DEBE013,SO2,1990,312.0,ug/m3,Background,rural,BE,Berlin,Berlin
DEBE014,SO2,1990,41.0,ug/m3,Traffic,urban,BE,Berlin,Berlin
DEBE014,O3,1990,58.5,ug/m3,Traffic,urban,BE,Berlin,Berlin
DEBE014,NO2,1990,200.0,ug/m3,Traffic,urban,BE,Berlin,Berlin
DEBY018,SO2,1990,45.667,ug/m3,Background,suburban,BY,Erlangen,Erlangen
DEBW002,NO2,1990,5.0,count,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEHE003,O3,1990,8092.0,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE003,NO2,1990,51.943,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHH001,NO2,1990,212.0,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEHH004,NO2,1990,0.0,count,Background,suburban,HH,Hamburg,Hamburg
DEBE033,O3,1990,39.737,ug/m3,Industrial,urban,BE,Berlin,Berlin
DEBE014,NO2,1990,150.0,ug/m3,Traffic,urban,BE,Berlin,Berlin
DEBY038,SO2,1990,87.042,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY040,SO2,1990,0.0,count,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBE016,NO2,1990,38.749,ug/m3,Background,urban,BE,Berlin,Berlin
DEBE021,SO2,1990,240.875,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBY038,SO2,1990,152.0,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBE025,SO2,1990,28.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBW051,O3,1990,30547.0,ug/m3,Background,urban,BW,Heilbronn (Stadtkreis),Heilbronn
DEBW051,O3,1990,14.8,ug/m3,Background,urban,BW,Heilbronn (Stadtkreis),Heilbronn
