Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB086,NO2,2018,16.286,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.2058733557662894
DEBB086,NO2,2019,14.33,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.20624743789456423
DEBB086,NO2,2020,12.583,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.21148332578844123
DEBB086,NO2,2021,13.23,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.2548352400508458
DEBB086,NO2,2022,12.033,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.2249994753300174
DEBB086,NO2,2023,8.969,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.18709288837333807
DEBB086,NO2,2024,8.753,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.17952434127681818
DEBB086,NO2,2025,8.421,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.17503932363350372
DEBB003,NO2,1992,25.19,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3180782044537962
DEBB003,NO2,1993,24.803,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3713358605949985
DEBB003,NO2,1994,25.572,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.370499744607932
DEBB003,NO2,1995,28.156,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3552974504249292
DEBB003,NO2,1996,28.644,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.41315408748801136
DEBB003,NO2,1997,28.789,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3435809050462944
DEBB003,NO2,1998,24.632,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.31130698648941546
DEBB003,NO2,1999,23.909,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.2902804869845968
DEBB049,NO2,1999,29.532,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3659245308401157
DEBB003,NO2,2000,19.738,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.2520109924713022
DEBB049,NO2,2000,29.755,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.395385452151261
DEBB003,NO2,2001,20.858,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.257633371169126
DEBB049,NO2,2001,27.425,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3508087400681044
DEBB055,NO2,2001,17.856,ug/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.21503972758229287
DEBB049,NO2,2002,38.377,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.5033844260460952
DEBB055,NO2,2002,16.56,ug/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.1982686283284851
DEBB049,NO2,2003,43.142,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.5204059264226123
DEBB055,NO2,2003,17.087,ug/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.1844334695877552
DEBB049,NO2,2004,39.389,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.43982723402160806
DEBB055,NO2,2004,15.444,ug/m3,Background,suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.1451775650333473
DEBB049,NO2,2005,48.768,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.5176572599716223
