City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Lilienthal,NI,2016,5.3,16.3,26.6,4.3,37.9,0,14.9
Osterholz-Scharmbeck,NI,2016,9.2,9.0,37.7,2.9,26.4,0,24.0
Schwanewede,NI,2016,3.8,9.3,36.3,3.3,34.9,0,16.3
Rotenburg (Wümme),NI,2016,0,15.1,31.8,2.4,33.5,6.8,17.2
Soltau,NI,2016,1.3,9.1,26.0,2.8,36.3,8.7,25.7
Walsrode,NI,2016,0,7.2,33.0,2.7,30.7,8.6,26.4
Buxtehude,NI,2016,3.7,17.9,29.8,5.8,26.1,9.6,20.5
Stade,NI,2016,4.5,10.5,30.6,5.6,33.3,0,19.9
Uelzen,NI,2016,2.8,9.4,34.6,2.6,33.2,0,20.2
Achim,NI,2016,3.7,13.7,33.6,7.4,32.0,0,13.3
Verden (Aller),NI,2016,3.7,11.1,35.3,8.9,35.2,0,9.4
Bad Zwischenahn,NI,2016,3.8,11.2,29.5,6.7,35.2,0,17.4
Edewecht,NI,2016,2.7,9.3,33.1,6.1,41.2,0,10.3
Rastede,NI,2016,3.2,13.5,31.6,4.2,39.6,0,11.0
Westerstede,NI,2016,0,10.1,22.9,11.2,39.0,0,16.8
Aurich,NI,2016,4.9,8.0,32.5,2.3,26.8,0,30.4
Norden,NI,2016,0,9.0,37.3,11.3,29.9,0,12.4
Cloppenburg,NI,2016,3.0,7.9,25.6,4.2,43.4,0,18.9
Friesoythe,NI,2016,2.2,0,41.4,3.4,53.1,0,2.2
Haren (Ems),NI,2016,0,0,26.8,0,73.2,0,0
Lingen (Ems),NI,2016,0.9,7.9,20.8,4.4,56.2,0,10.7
Meppen,NI,2016,0,8.4,24.2,4.5,44.6,0,18.3
Papenburg,NI,2016,0,6.3,21.5,8.4,42.1,7.0,21.6
Schortens,NI,2016,0,11.0,36.6,6.2,28.2,0,18.1
Varel,NI,2016,2.4,9.2,27.3,4.6,19.7,0,39.3
Nordhorn,NI,2016,5.3,9.3,34.6,4.1,35.9,0,16.1
Moormerland,NI,2016,0,8.1,47.5,2.0,34.6,0,7.9
Westoverledingen,NI,2016,0,7.1,48.9,1.4,30.8,0,11.8
Ganderkesee,NI,2016,1.6,12.0,31.9,11.0,29.8,0,15.3
Wildeshausen,NI,2016,3.6,6.9,27.6,5.1,30.7,0,29.8
Bramsche,NI,2016,4.6,13.6,44.1,6.9,29.3,0,6.1
Georgsmarienhütte,NI,2016,4.0,14.5,33.1,3.7,44.0,0,4.8
Melle,NI,2016,1.4,13.5,28.8,6.0,42.7,0,9.0
Wallenhorst,NI,2016,2.7,6.3,31.0,3.5,28.7,0,30.5
Lohne (Oldenburg),NI,2016,1.9,4.3,17.2,1.5,60.4,6.2,16.6
Vechta,NI,2016,1.8,5.3,27.2,3.1,52.1,5.6,12.3
Nordenham.Norden,NI,2016,3.5,6.9,47.1,8.5,26.3,0,11.2
Wittmund,NI,2016,0,6.2,38.6,3.4,43.6,0,8.2
Braunschweig,NI,2016,4.6,12.0,33.0,4.5,26.2,8.9,24.4
Salzgitter,NI,2016,5.8,7.3,41.4,3.7,33.2,0,14.5
Wolfsburg,NI,2016,3.0,7.4,30.0,3.3,25.0,10.5,34.3
Delmenhorst,NI,2016,4.0,7.2,31.6,7.4,23.4,15.2,30.4
Emden,NI,2016,5.3,11.3,31.0,12.1,19.1,0,26.4
Oldenburg,NI,2016,9.9,19.1,32.7,4.8,22.2,4.8,21.1
Osnabrück,NI,2016,4.8,18.2,24.9,5.9,37.6,0,13.4
Wilhelmshaven,NI,2016,3.2,10.6,25.9,8.6,20.2,11.3,34.7
Gifhorn,NI,2011,0,14.5,27.7,3.6,43.5,0,10.7
Bad Harzburg,NI,2011,3.0,14.2,36.0,2.4,34.4,0,12.9
Goslar,NI,2011,5.1,6.8,34.6,5.4,34.7,0,18.5
Helmstedt,NI,2011,2.3,8.4,40.9,3.1,34.3,0,13.4
Northeim,NI,2011,2.2,11.7,36.6,10.4,30.2,0,11.2
Einbeck,NI,2011,2.0,5.5,39.9,3.9,26.4,0,24.3
Peine,NI,2011,3.4,10.3,48.8,1.9,26.6,0,12.4
Ilsede,NI,2011,2.6,10.0,46.8,1.5,29.6,0,12.1
Wolfenbüttel,NI,2011,2.8,18.1,36.2,3.0,35.6,0,7.2
Duderstadt,NI,2011,0,8.7,18.1,3.2,59.7,0,10.3
Göttingen,NI,2011,0,27.9,32.4,3.3,26.2,0,10.2
Hann. Münden,NI,2011,2.3,12.7,50.3,1.9,26.6,0,8.6
Osterode am Harz,NI,2011,2.1,12.4,50.5,3.1,31.9,0,2.1
Hannover,NI,2011,4.3,21.4,37.1,2.7,25.2,0,13.5
Barsinghausen,NI,2011,1.1,17.3,40.6,4.0,32.9,0,5.2
Burgdorf,NI,2011,3.8,13.5,39.3,2.9,33.7,0,10.6
Burgwedel,NI,2011,0,11.6,21.6,3.7,53.5,0,9.6
Garbsen,NI,2011,2.0,13.8,33.7,2.3,36.5,0,13.7
Isernhagen,NI,2011,1.9,17.2,28.0,8.0,44.9,0,1.9
Laatzen,NI,2011,3.0,13.2,40.8,4.2,33.5,0,8.2
Langenhagen,NI,2011,1.0,15.4,40.6,2.6,32.7,0,8.7
Lehrte,NI,2011,2.2,18.2,39.4,1.8,35.0,0,5.6
Ronnenberg,NI,2011,1.3,18.8,40.6,2.5,28.6,0,9.5
Seelze,NI,2011,0,13.1,46.1,2.0,34.0,0,4.8
Sehnde,NI,2011,2.4,11.4,40.1,1.6,43.8,0,3.2
Springe,NI,2011,2.2,18.1,37.3,2.3,36.7,0,5.6
Uetze,NI,2011,1.9,13.2,43.1,2.2,32.1,0,9.4
Wunstorf,NI,2011,2.4,15.7,42.9,5.2,33.8,0,2.4
Stuhr,NI,2011,0,15.4,31.1,4.0,42.7,0,6.8
Syke,NI,2011,2.3,16.0,38.8,4.8,29.9,0,10.4
Weyhe,NI,2011,1.6,21.4,45.1,5.5,26.5,0,1.6
Hameln,NI,2011,2.6,16.5,34.0,3.9,33.1,0,12.6
Hildesheim,NI,2011,2.9,19.0,31.1,2.0,32.3,0,15.5
Holzminden,NI,2011,0,16.4,37.8,5.9,35.5,0,4.4
Rinteln,NI,2011,1.9,9.0,40.2,1.5,33.2,0,16.1
Stadthagen,NI,2011,2.4,11.4,45.3,3.1,32.0,0,8.2
Lüneburg.Celle,NI,2011,1.3,9.1,29.8,3.3,39.0,0,18.8
