ERGART;WDATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - AfD;D03 - DIE LINKE;D04 - SPD;D05 - GRÜNE;D06 - FDP;D07;D08;D09;D11;D12;D13;D14;D16;WG (Summe);EB (Summe);D17;D18;D19;D20;D21;D22;D23;D24;D25
E;26.05.2019;  ;  ;  ;GEM;15083565;Stadt Wolmirstedt;9863;4311;125;4186;12350;2853;2470;1404;1842;945;547;;;;;;;;;2289;;;;;1309;980;;;;
E;26.05.2019;  ;  ;  ;GEM;15083580;Gemeinde Zielitz;1566;743;17;726;2146;686;510;204;497;83;53;;;;;;;;;113;;;;;58;55;;;;
E;26.05.2019;  ;  ;  ;GEM;15083298;Gemeinde Hohe B�rde;15681;6598;195;6403;18994;5348;3585;2345;2637;1421;1242;;;;;;;;;2416;;;;;;2416;;;;
E;26.05.2019;  ;  ;  ;GEM;15083490;Gemeinde S�lzetal;7634;3841;81;3760;11117;3577;2603;1183;2260;606;669;;;;;;;;;219;;;;;;219;;;;
E;26.05.2019;  ;  ;  ;GEM;15083531;Stadt Wanzleben-B�rde;12171;5518;137;5381;15807;3798;3089;2759;2321;925;2440;;;;;;;;;475;;;;;;475;;;;
E;26.05.2019;  ;  ;  ;GEM;15083025;Gemeinde Am Gro�en Bruch;1784;937;19;918;2728;658;355;153;1111;47;277;;;;;;;;;127;;;;;;127;;;;
E;26.05.2019;  ;  ;  ;GEM;15083035;Gemeinde Ausleben;1391;618;12;606;1768;443;304;150;471;72;134;;;;;;;;;194;;;;;;194;;;;
E;26.05.2019;  ;  ;  ;GEM;15083190;Gemeinde Eilsleben;3269;1366;40;1326;3894;997;557;580;464;308;329;;;;;;;;;659;;;;;;659;;;;
E;26.05.2019;  ;  ;  ;GEM;15083245;Stadt Gr�ningen;3096;1396;54;1342;3958;578;487;385;1694;110;116;;;;;;;;;588;;;;;;588;;;;
E;26.05.2019;  ;  ;  ;GEM;15083275;Gemeinde Harbke;1193;641;16;625;1804;235;221;210;907;46;38;;;;;;;;;147;;;;;;147;;;;
E;26.05.2019;  ;  ;  ;GEM;15083320;Gemeinde H�tensleben;3067;1189;30;1159;3369;923;459;306;521;284;434;;;;;;;;;442;;;;;;442;;;;
E;26.05.2019;  ;  ;  ;GEM;15083355;Stadt Kroppenstedt;1190;569;9;560;1648;270;269;128;230;30;285;;;;;;;;;436;;;;;;436;;;;
E;26.05.2019;  ;  ;  ;GEM;15083415;Stadt Oschersleben (Bode);16765;6592;167;6425;18815;4766;3267;2622;3432;873;1037;;;;;;;;;2818;;;;;;2818;;;;
E;26.05.2019;  ;  ;  ;GEM;15083485;Gemeinde Sommersdorf;1220;605;11;594;1749;308;294;196;388;79;71;;;;;;;;;413;;;;;;413;;;;
E;26.05.2019;  ;  ;  ;GEM;15083505;Gemeinde Ummendorf;799;330;3;327;964;390;96;76;61;198;54;;;;;;;;;89;;;;;;89;;;;
E;26.05.2019;  ;  ;  ;GEM;15083515;Gemeinde V�lpke;1104;463;16;447;1300;316;206;199;202;103;65;;;;;;;;;209;;;;;;209;;;;
E;26.05.2019;  ;  ;  ;GEM;15083535;Gemeinde Wefensleben;1505;673;23;650;1924;368;261;348;191;99;47;;;;;;;;;610;;;;;;610;;;;
E;26.05.2019;  ;  ;  ;GEM;15084012;Gemeinde An der Poststra�e;1421;902;26;876;2579;856;416;181;228;79;58;;136;;;;;;;625;;;625;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084013;Gemeinde Meineweh;900;497;14;483;1432;274;310;129;332;56;228;;15;;;;;;;88;;;88;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084015;Stadt Bad Bibra;2358;1276;24;1252;3695;1361;566;357;256;166;237;;223;;;;;;;529;;;529;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084025;Gemeinde Balgst�dt;954;632;15;617;1841;540;314;106;532;50;62;;94;;;;;;;143;;;143;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084125;Stadt Eckartsberga;1972;1085;20;1065;3131;1392;513;389;210;121;85;;124;;;;;;;297;;;297;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084132;Gemeinde Finne;1005;648;16;632;1876;548;205;158;126;99;67;;76;;;;;;;597;;;597;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084133;Gemeinde Finneland;904;597;12;585;1733;547;198;178;174;85;83;;58;;;;;;;410;;;410;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084135;Stadt Freyburg (Unstrut);4070;2188;47;2141;6346;2191;840;787;502;155;264;;121;;;;;;;1486;;;1486;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084150;Gemeinde Gleina;1043;698;22;676;2005;556;190;182;131;93;53;;26;;;;;;;774;;;774;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084170;Gemeinde Goseck;870;585;22;563;1672;539;314;238;159;148;86;;37;;;;;;;151;;;151;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084246;Gemeinde Kaiserpfalz;1344;793;24;769;2276;743;319;254;297;247;54;;63;;;;;;;299;;;299;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084250;Gemeinde Karsdorf;1314;721;25;696;2052;587;244;681;74;51;45;;125;;;;;;;245;;;245;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084282;Gemeinde Lanitz-Hassel-Tal;927;585;9;576;1702;418;275;96;507;93;74;;77;;;;;;;162;;;162;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084285;Stadt Laucha an der Unstrut;2478;1427;36;1391;4082;1017;596;392;258;97;99;;389;;;;;;;1234;;;1234;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084335;Gemeinde Mertendorf;1398;850;18;832;2462;489;492;273;304;139;510;;43;;;;;;;212;;;212;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084341;Gemeinde Molauer Land;920;554;16;538;1589;342;318;166;187;76;320;;35;;;;;;;145;;;145;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084360;Stadt Nebra (Unstrut);2723;1574;39;1535;4557;1017;859;1282;285;89;85;;306;;;;;;;634;;;634;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084375;Stadt Osterfeld;2157;1223;41;1182;3508;614;711;339;1295;93;201;;64;;;;;;;191;;;191;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084445;Gemeinde Sch�nburg;894;589;12;577;1718;226;278;103;69;75;615;;17;;;;;;;335;;;335;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084470;Stadt St��en;797;463;27;436;1293;245;248;127;202;62;274;;42;;;;;;;93;;;93;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084560;Gemeinde Wethau;823;448;14;434;1244;322;245;141;160;41;198;;11;;;;;;;126;;;126;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15084355;Stadt Naumburg (Saale);27778;15418;383;15035;44443;13580;6672;5879;5470;4462;2665;;906;;;;;;;4809;;;3165;;;1644;;;;
E;26.05.2019;  ;  ;  ;GEM;15084550;Stadt Wei�enfels;34894;16323;377;15946;47166;9709;9046;5571;4516;1786;1634;;660;;;;;;;14244;;4038;;;;;10206;;;
E;26.05.2019;  ;  ;  ;GEM;15084130;Gemeinde Elsteraue;7163;4335;150;4185;12313;4093;2809;1112;1924;725;648;;282;;;;;;;617;103;;412;;205;;;;;103
E;26.05.2019;  ;  ;  ;GEM;15084235;Stadt Hohenm�lsen;8445;4468;93;4375;12924;6273;1918;1285;2062;433;180;;387;;;;;;;260;126;;148;;112;;;;;126
E;26.05.2019;  ;  ;  ;GEM;15084315;Stadt L�tzen;7517;4325;96;4229;12507;2134;2142;845;3751;1292;286;;290;;;;;;;1657;110;;165;;1492;;;;;110
E;26.05.2019;  ;  ;  ;GEM;15084490;Stadt Teuchern;6971;3590;96;3494;10258;2374;1779;874;2748;288;182;;428;;;;;;;461;1124;;381;;80;;;;;1124
E;26.05.2019;  ;  ;  ;GEM;15084115;Gemeinde Droy�ig;1683;1071;15;1056;3143;918;379;237;108;150;89;;38;;;;;;;1185;39;;538;647;;;;;39;
E;26.05.2019;  ;  ;  ;GEM;15084207;Gemeinde Gutenborn;1503;1069;12;1057;3139;1543;415;139;147;113;88;;48;;;;;;;618;28;;69;549;;;;;28;
E;26.05.2019;  ;  ;  ;GEM;15084275;Gemeinde Kretzschau;2117;1239;26;1213;3598;1503;693;331;159;78;140;;87;;;;;;;553;54;;205;348;;;;;54;
E;26.05.2019;  ;  ;  ;GEM;15084442;Gemeinde Schnaudertal;799;559;12;547;1617;522;374;151;62;37;32;;24;;;;;;;371;44;;54;317;;;;;44;
E;26.05.2019;  ;  ;  ;GEM;15084565;Gemeinde Wetterzeube;1510;955;16;939;2796;583;491;711;99;100;100;;64;;;;;;;612;36;;80;532;;;;;36;
E;26.05.2019;  ;  ;  ;GEM;15084590;Stadt Zeitz;24540;11945;329;11616;34336;9929;6564;4433;2806;1734;2253;;624;;;;;;;5632;361;;3461;2171;;;;;361;
E;26.05.2019;  ;  ;  ;GEM;15085135;Stadt Halberstadt;33850;16123;456;15667;45392;10368;6083;9782;5177;3911;1359;3561;;;;;;;;5151;;5151;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085235;Welterbestadt Quedlinburg;21233;10254;268;9986;29301;6777;4831;5131;5976;4027;2559;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085370;Stadt Wernigerode;28566;15853;386;15467;45443;12220;5565;9028;6880;6731;1467;;;;;;;;;3552;;3552;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085040;Stadt Ballenstedt;7771;4147;126;4021;11693;2954;2044;2032;2257;1388;1018;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085055;Stadt Blankenburg (Harz);17694;9242;251;8991;26359;10790;4332;4155;3331;2840;911;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085330;Stadt Thale;15483;8224;241;7983;23450;10796;3857;3349;1899;2798;751;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085190;Stadt Ilsenburg (Harz);8221;4867;124;4743;13752;4163;1546;2183;3514;1774;572;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085227;Gemeinde Nordharz;6643;3953;156;3797;11170;3497;1632;1863;2509;1267;402;;;;;;;;;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085185;Gemeinde Huy;6214;3342;87;3255;9593;4370;1080;1498;931;488;219;;;;;;;;;637;370;637;;;;;;;370;
E;26.05.2019;  ;  ;  ;GEM;15085230;Stadt Osterwieck;9756;5628;137;5491;16201;2705;1891;2180;1851;1032;251;;;;;;;;;6221;70;6221;;;;;;;70;
E;26.05.2019;  ;  ;  ;GEM;15085090;Gemeinde Ditfurt;1356;756;36;720;2093;299;285;185;151;76;981;26;;;;;;;;90;;73;;;17;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085110;Stadt Falkenstein/Harz;4644;2617;75;2542;7432;2908;1092;1198;1417;456;139;98;;;;;;;;124;;42;;;82;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085125;Gemeinde Gro� Quenstedt;769;446;23;423;1234;451;134;158;35;31;51;217;;;;;;;;157;;138;;;19;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085140;Gemeinde Harsleben;1865;1005;29;976;2839;613;449;316;95;134;57;228;;;;;;;;947;;158;;;789;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085160;Gemeinde Hedersleben;1172;606;24;582;1698;120;227;236;767;33;197;18;;;;;;;;100;;90;;;10;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085285;Stadt Schwanebeck;2103;1013;53;960;2787;860;581;626;132;122;62;105;;;;;;;;299;;270;;;29;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085287;Gemeinde Selke-Aue;1205;757;18;739;2154;269;361;303;690;77;147;31;;;;;;;;276;;257;;;19;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085365;Stadt Wegeleben;2204;1100;33;1067;3086;1211;417;341;165;120;95;86;;;;;;;;651;;564;;;87;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085145;Stadt Harzgerode;6874;3970;119;3851;11392;6138;975;1355;884;266;42;;;;;;;;;1732;;228;1452;52;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15085228;Stadt Oberharz am Brocken;9425;5152;130;5022;14676;4707;2362;2265;2471;752;248;;;;;;;;;1871;;87;143;1641;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086035;Gemeinde Elbe-Parey;5660;3159;106;3053;8958;1847;1340;1205;942;844;310;;;;;;;;;2470;;289;1628;553;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086040;Stadt Genthin;12189;5763;160;5603;16420;4864;2110;2520;2556;1417;1037;;;;;;;;;1916;;140;613;1163;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086080;Stadt Jerichow;5994;3355;94;3261;9646;1489;1364;977;961;665;562;;;;;;;;;3628;;69;3287;272;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086015;Stadt Burg;19382;9202;208;8994;26582;6565;4535;4741;5902;1650;1230;;;;;;;;;1959;;1196;;669;94;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086140;Stadt M�ckern;11278;6540;202;6338;18660;5733;2633;2546;2182;1336;1730;;;;;;;;;2500;;463;;555;1482;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086005;Gemeinde Biederitz;7197;4322;120;4202;12502;2473;1533;1842;4337;898;914;;;;;;;;;505;;;287;;218;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086055;Stadt Gommern;9180;5572;192;5380;15894;3377;2304;1572;2350;806;1233;;;;;;;;;4252;;;230;;4022;;;;;
E;26.05.2019;  ;  ;  ;GEM;15086145;Gemeinde M�ser;6956;4249;100;4149;12329;2977;1886;1722;2966;809;633;;;;;;;;;1336;;;1229;;107;;;;;
E;26.05.2019;  ;  ;  ;GEM;15087370;Stadt Sangerhausen;22914;12075;303;11772;34653;6908;7025;6756;4864;1408;2264;;;;;;;2163;;2503;762;;1142;1361;;;;;;762
E;26.05.2019;  ;  ;  ;GEM;15087015;Stadt Allstedt;6691;3865;143;3722;10931;2905;1776;982;1367;255;843;;;;;;;2038;;765;;47;464;39;;215;;;;
E;26.05.2019;  ;  ;  ;GEM;15087055;Gemeinde Berga;1436;851;26;825;2460;231;357;268;163;34;79;;;;;;;5;;1323;;14;18;1;;1290;;;;
E;26.05.2019;  ;  ;  ;GEM;15087101;Gemeinde Br�cken-Hackpf�ffel;863;495;15;480;1433;297;213;182;178;51;63;;;;;;;53;;396;;266;31;3;;96;;;;
E;26.05.2019;  ;  ;  ;GEM;15087125;Gemeinde Edersleben;845;507;23;484;1440;201;243;165;234;55;36;;;;;;;421;;85;;17;20;6;;42;;;;
E;26.05.2019;  ;  ;  ;GEM;15087250;Stadt Kelbra (Kyffh�user);2993;1598;48;1550;4565;722;696;591;549;159;849;;;;;;;54;;945;;38;76;12;;819;;;;
E;26.05.2019;  ;  ;  ;GEM;15087412;Gemeinde S�dharz;8145;4872;157;4715;13958;3902;2550;1640;1667;609;1445;;;;;;;277;;1868;;138;660;67;;1003;;;;
E;26.05.2019;  ;  ;  ;GEM;15087440;Gemeinde Wallhausen;2198;1193;34;1159;3413;759;744;395;530;147;232;;;;;;;117;;489;;100;127;14;;248;;;;
E;26.05.2019;  ;  ;  ;GEM;15087130;Lutherstadt Eisleben;20068;9740;266;9474;27963;5210;6122;5254;5889;1172;1194;;;;;;;979;;2143;;;475;168;;;;1500;;
E;26.05.2019;  ;  ;  ;GEM;15087010;Gemeinde Ahlsdorf;1388;789;20;769;2265;209;459;241;499;35;60;;;;;;;30;;732;;;82;1;;;649;;;
E;26.05.2019;  ;  ;  ;GEM;15087045;Gemeinde Benndorf;1771;874;32;842;2500;327;458;508;348;45;50;;;;;;;48;;716;;;302;10;;;404;;;
E;26.05.2019;  ;  ;  ;GEM;15087070;Gemeinde Blankenheim;1029;597;9;588;1746;111;348;115;160;84;386;;;;;;;417;;125;;;33;3;;;89;;;
E;26.05.2019;  ;  ;  ;GEM;15087075;Gemeinde Bornstedt;706;430;12;418;1202;112;294;84;213;39;55;;;;;;;275;;130;;;30;6;;;94;;;
E;26.05.2019;  ;  ;  ;GEM;15087165;Stadt Gerbstedt;6246;3459;111;3348;9886;2502;1476;2088;1284;320;330;;;;;;;1105;;781;;;339;57;;;385;;;
E;26.05.2019;  ;  ;  ;GEM;15087205;Gemeinde Helbra;3466;1845;51;1794;5340;631;1442;832;1131;98;151;;;;;;;124;;931;;;379;19;;;533;;;
E;26.05.2019;  ;  ;  ;GEM;15087210;Gemeinde Hergisdorf;1407;763;15;748;2183;187;458;158;915;23;73;;;;;;;46;;323;;;48;3;;;272;;;
E;26.05.2019;  ;  ;  ;GEM;15087260;Gemeinde Klostermansfeld;2043;1105;22;1083;3203;280;452;264;272;74;126;;;;;;;131;;1604;;;139;7;;;1458;;;
E;26.05.2019;  ;  ;  ;GEM;15087386;Gemeinde Seegebiet Mansfelder Land;7790;4663;159;4504;13314;4588;3254;1395;1610;375;263;;;;;;;968;;861;;;189;352;;;320;;;
E;26.05.2019;  ;  ;  ;GEM;15087470;Gemeinde Wimmelburg;1029;550;10;540;1591;139;292;227;583;41;129;;;;;;;42;;138;;;22;11;;;105;;;
E;26.05.2019;  ;  ;  ;GEM;15087031;Stadt Arnstein;5783;3246;84;3162;9342;1112;1631;1278;1124;222;179;;;;;;;2075;;1672;49;;967;512;193;;;;49;
E;26.05.2019;  ;  ;  ;GEM;15087220;Stadt Hettstedt;12064;5345;169;5176;15339;1908;2706;3869;1353;403;274;;;;;;;2113;;2509;204;;275;1407;827;;;;204;
E;26.05.2019;  ;  ;  ;GEM;15087275;Stadt Mansfeld;7745;4380;113;4267;12560;1234;1969;1502;1251;283;185;;;;;;;3300;;2803;33;;1256;433;1114;;;;33;
E;26.05.2019;  ;  ;  ;GEM;15088065;Stadt Braunsbedra;9274;4901;139;4762;14065;4652;3182;2063;1316;544;1645;;117;;;;;;546;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088220;Stadt Merseburg;27624;13433;305;13128;38897;8093;9204;6838;5635;2974;2850;;311;;;;;;2992;;;;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15088020;Stadt Bad D�rrenberg;10008;5389;109;5280;15443;5939;2783;1659;977;601;2113;;197;;;;;;1174;;;;;;;;;;;
