City,Year,Air Quality Station Type,Index
Augsburg,2004,Background,0.1859108910891089
Augsburg,2005,Background,0.2126534653465346
Augsburg,2006,Background,0.2368613861386138
Augsburg,2007,Background,0.1749958506224066
Augsburg,2008,Background,0.2170622406639004
Augsburg,2009,Background,0.1893019801980198
Augsburg,2010,Background,0.2128022130013831
Augsburg,2011,Background,0.2025148514851485
Augsburg,2012,Background,0.2332178217821782
Augsburg,2013,Background,0.2459603960396039
Augsburg,2014,Background,0.2735544554455446
Augsburg,2015,Background,0.2459702970297029
Augsburg,2016,Background,0.3500995850622406
Augsburg,2017,Background,0.2522946058091286
Augsburg,2018,Background,0.2724149377593361
Augsburg,2019,Background,0.2696407355021216
Augsburg,2020,Background,0.324643153526971
Augsburg,2021,Background,0.2421881188118811
Augsburg,2022,Background,0.257448132780083
Augsburg,2023,Background,0.303069306930693
Augsburg,2024,Background,0.2847427385892116
Augsburg,2025,Background,0.2049917012448132
Bad Arolsen,2000,Background,0.2216597510373444
Bad Arolsen,2001,Background,0.2752772277227723
Bad Arolsen,2002,Background,0.3161535269709543
Bad Arolsen,2003,Background,0.2143267326732673
Bad Arolsen,2004,Background,0.2039751037344398
Bad Arolsen,2005,Background,0.1812772277227723
Bad Arolsen,2006,Background,0.3066831683168317
Bad Arolsen,2007,Background,0.2301782178217822
Bad Arolsen,2008,Background,0.3174107883817427
Bad Arolsen,2009,Background,0.2831576763485477
Bad Arolsen,2010,Background,0.2265346534653465
Bad Arolsen,2011,Background,0.1900829875518672
Bad Arolsen,2012,Background,0.1947178423236514
Bad Arolsen,2013,Background,0.2339419087136929
Bad Arolsen,2014,Background,0.2778316831683168
Bad Arolsen,2015,Background,0.2316534653465346
Bad Arolsen,2016,Background,0.2034439834024896
Bad Arolsen,2017,Background,0.2085643153526971
Bad Arolsen,2018,Background,0.1919045643153527
Bad Arolsen,2019,Background,0.2285726141078838
Bad Arolsen,2020,Background,0.2050539419087136
Bad Arolsen,2021,Background,0.1814190871369294
Bad Arolsen,2022,Background,0.1833070539419087
Bad Arolsen,2023,Background,0.209908713692946
Bad Belzig,2004,Background,0.2004522821576763
Bad Belzig,2005,Background,0.2595228215767635
Bad Belzig,2006,Background,0.1856485148514851
Bad Belzig,2007,Background,0.1914059405940594
Bad Belzig,2008,Background,0.2307425742574257
Bad Belzig,2009,Background,0.2282406639004149
Bad Belzig,2010,Background,0.3275
Bad Belzig,2011,Background,0.2184273858921162
Bad Belzig,2012,Background,0.263356846473029
Bad Belzig,2013,Background,0.2112821782178218
Bad Belzig,2014,Background,0.2418589211618257
Bad Belzig,2015,Background,0.3100746887966805
Bad Belzig,2016,Background,0.2408712871287128
Bad Belzig,2017,Background,0.2152157676348547
Bad Belzig,2018,Background,0.2152655601659751
Bad Belzig,2019,Background,0.2938921161825726
Bad Belzig,2020,Background,0.2183443983402489
Bad Belzig,2021,Background,0.2134315352697095
Bad Belzig,2022,Background,0.2274813278008298
Bad Belzig,2023,Background,0.203079207920792
Bad Belzig,2024,Background,0.2126265560165975
Bad Belzig,2025,Background,0.1838008298755186
Bad Berka,2001,Industrial,0.1810165975103734
Bad Hindelang,2010,Background,0.2124356435643564
Bad Hindelang,2011,Background,0.2600373443983402
Bad Hindelang,2012,Background,0.2682489626556016
Bad Hindelang,2013,Background,0.2027219917012448
Bad Hindelang,2014,Background,0.1842240663900415
Bad Hindelang,2015,Background,0.2213319502074688
Bad Hindelang,2016,Background,0.2269502074688796
Bad Hindelang,2017,Background,0.2205394190871369
Bad Hindelang,2018,Background,0.2059917012448132
Bad Hindelang,2019,Background,0.2201485148514851
Bad Hindelang,2020,Background,0.3060891089108911
Bad Hindelang,2021,Background,0.2113236514522821
Bad Hindelang,2022,Background,0.2493316831683168
Bad Hindelang,2023,Background,0.1622489626556016
Bad Hindelang,2024,Background,0.2287551867219917
Bad Hindelang,2025,Background,0.2648217821782178
Bad Kreuznach(Verbandsfreie Geme,2000,Background,0.1965940594059406
Bad Kreuznach(Verbandsfreie Geme,2001,Background,0.2372697095435684
Bad Kreuznach(Verbandsfreie Geme,2002,Background,0.1971784232365145
Bad Kreuznach(Verbandsfreie Geme,2003,Background,0.2994108910891089
Bad Kreuznach(Verbandsfreie Geme,2004,Background,0.2402406639004149
Bad Kreuznach(Verbandsfreie Geme,2005,Background,0.2536639004149377
Bad Kreuznach(Verbandsfreie Geme,2006,Background,0.2706732673267327
Bad Kreuznach(Verbandsfreie Geme,2007,Background,0.1803526970954357
Bad Kreuznach(Verbandsfreie Geme,2008,Background,0.1722970297029703
Bad Kreuznach(Verbandsfreie Geme,2009,Background,0.3051188118811881
Bad Kreuznach(Verbandsfreie Geme,2010,Background,0.1901452282157676
Bad Kreuznach(Verbandsfreie Geme,2011,Background,0.1918672199170124
Bad Kreuznach(Verbandsfreie Geme,2012,Background,0.1981881188118811
Bad Kreuznach(Verbandsfreie Geme,2013,Background,0.2059502074688796
Bad Kreuznach(Verbandsfreie Geme,2014,Background,0.2793514851485149
Bad Kreuznach(Verbandsfreie Geme,2015,Background,0.1848755186721991
Bad Kreuznach(Verbandsfreie Geme,2016,Background,0.225356846473029
Bad Kreuznach(Verbandsfreie Geme,2017,Background,0.2535346534653465
Bad Kreuznach(Verbandsfreie Geme,2018,Background,0.2993817427385892
Bad Kreuznach(Verbandsfreie Geme,2019,Background,0.227071507150715
Bad Kreuznach(Verbandsfreie Geme,2020,Background,0.2061908713692946
Bad Kreuznach(Verbandsfreie Geme,2021,Background,0.2184564315352697
Bad Kreuznach(Verbandsfreie Geme,2022,Background,0.2554979253112033
Bad Kreuznach(Verbandsfreie Geme,2023,Background,0.2023465346534653
Bad Waldsee,2000,Background,0.1825148514851485
