City,Year,Index
Gera,2015,0.20123651452282157
Marburg,2013,0.21143153526970954
Offenburg,2008,0.2142033195020747
Ludwigshafen am Rhein,2003,0.21789626556016597
Naila,2003,0.1904896265560166
Halle (Saale),2013,0.1982572614107884
Wilstermarsch,2010,0.20754771784232365
Horn-Bad Meinberg,2003,0.2114564315352697
Friedrichshafen,2019,0.19932365145228215
Klötze,2015,0.1940539419087137
Hattingen,2003,0.28203960396039607
Kassel,2011,0.40403960396039607
Altenburg,2013,0.29855445544554454
Mainz,2012,0.24852475247524752
Leipzig,2014,0.28298019801980195
Ludwigsburg,2008,0.30753465346534653
Wolfsburg,2013,0.24218811881188118
Böblingen,2001,0.22950495049504951
Aalen,2003,0.30874257425742574
Konstanz,2003,0.24218811881188118
Zingst,2007,0.2239108910891089
Völklingen,2012,0.31113861386138614
Rottweil,2000,0.24952475247524755
Dormagen,2004,0.3810891089108911
Neuruppin,2002,0.23746534653465348
Andechs,2019,0.24498019801980198
Königs Wusterhausen,2013,0.23479207920792078
Hannover,2011,0.2027029702970297
Arnstadt,2004,0.2667623762376238
Hof,2009,0.17821991701244813
Frankfurt am Main,2014,0.2007128712871287
Neuwied,2007,0.192
Schwäbisch Hall,2017,0.20307920792079207
Neuhausen/Erzgeb.,2013,0.38463366336633664
Freiburg im Breisgau,2001,0.20443564356435642
Zittau,2011,0.24410891089108913
Biberach an der Riß,2007,0.2660792079207921
Wernigerode,2008,0.24254455445544554
Netphen,2024,0.23385148514851484
Pfullendorf,2010,0.31850495049504945
Braunschweig,2015,0.18678217821782175
Erfurt,2004,0.24760891089108908
Lüneburg,2002,0.21975742574257426
Plochingen,2008,0.202009900990099
Schwedt/Oder,2015,0.28526237623762374
Hamburg,2021,0.21974257425742574
Potsdam,2010,0.28502970297029706
Wilhelmshaven,2006,0.2528910891089109
Walsrode,2003,0.25345544554455446
Greiz,2002,0.29245544554455444
Augsburg,2001,0.29556930693069305
Kiel,2021,0.20470297029702972
Bottrop,2005,0.1735940594059406
Herdorf-Daaden,2021,0.20759405940594058
Netzschkau-Limbach,2020,0.2433941908713693
Goslar,2010,0.24111203319502073
Mannheim,2005,0.22076348547717842
Mittelholstein,2005,0.22663900414937757
