Air Quality Station EoI Code,Date,Air Pollution Level,City,Air Quality Station Type,Linke,Gruene,SPD,FDP,CDU,AfD,Change
DEBW001,2004,24.442,Karlsruhe,Traffic,0.0,16.666666666666664,25.0,0.0,39.58333333333333,0.0,-1.0135000000000005
DEBW005,1999,25.833,Mannheim,Industrial,0.0,6.25,35.41666666666667,2.083333333333333,47.91666666666667,0.0,-2.660999999999998
DEBW005,2004,23.172,Mannheim,Industrial,0.0,10.416666666666668,33.33333333333333,4.166666666666666,39.58333333333333,0.0,-1.9149999999999991
DEBW005,2009,21.257,Mannheim,Industrial,0.0,16.666666666666664,33.33333333333333,8.333333333333332,31.25,0.0,-2.9665
DEBW005,2014,18.2905,Mannheim,Industrial,0.0,16.666666666666664,27.08333333333333,4.166666666666666,25.0,0.0,-2.9220000000000006
DEBW005,2019,15.368500000000001,Mannheim,Industrial,6.25,25.0,20.833333333333336,6.25,18.75,8.333333333333332,-1.524000000000001
DEBW006,2004,31.727999999999998,Mannheim,Background,0.0,10.416666666666668,33.33333333333333,4.166666666666666,39.58333333333333,0.0,-7.450999999999997
DEBW007,1999,25.832,Mannheim,Background,0.0,6.25,35.41666666666667,2.083333333333333,47.91666666666667,0.0,-1.9690000000000012
DEBW007,2004,23.863,Mannheim,Background,0.0,10.416666666666668,33.33333333333333,4.166666666666666,39.58333333333333,0.0,1.381499999999999
DEBW009,1999,24.328,Heidelberg,Traffic,0.0,0.0,25.0,5.0,35.0,0.0,-2.3769999999999953
DEBW009,2004,21.951000000000004,Heidelberg,Traffic,0.0,0.0,22.5,7.5,27.500000000000004,0.0,-0.6129999999999995
DEBW009,2009,21.338000000000005,Heidelberg,Traffic,0.0,15.0,17.5,10.0,22.5,0.0,-3.1185000000000045
DEBW009,2014,18.2195,Heidelberg,Background,0.0,20.833333333333336,16.666666666666664,4.166666666666666,20.833333333333336,0.0,-3.9849999999999994
DEBW009,2019,14.2345,Heidelberg,Background,6.25,33.33333333333333,14.583333333333334,6.25,14.583333333333334,4.166666666666666,-1.971
DEBW010,1999,21.803,Wiesloch,Background,0.0,17.647058823529413,20.588235294117645,0.0,38.23529411764706,0.0,-2.744500000000002
DEBW010,2004,19.0585,Wiesloch,Background,0.0,20.0,20.0,0.0,34.285714285714285,0.0,0.6709999999999994
DEBW010,2009,19.729499999999998,Wiesloch,Background,0.0,23.52941176470588,20.588235294117645,2.941176470588235,26.47058823529412,0.0,-2.6110000000000007
DEBW010,2014,17.118499999999997,Wiesloch,Background,0.0,23.07692307692308,19.230769230769237,3.8461538461538463,23.07692307692308,0.0,-3.0379999999999967
DEBW010,2019,14.0805,Wiesloch,Background,0.0,30.76923076923077,15.384615384615383,3.8461538461538463,19.230769230769237,0.0,-2.2394999999999996
DEBW011,1999,26.898,Stuttgart,Traffic,0.0,13.333333333333334,25.0,6.666666666666667,41.66666666666667,0.0,0.9254999999999995
DEBW011,2004,27.8235,Stuttgart,Traffic,0.0,18.33333333333333,23.33333333333333,6.666666666666667,35.0,0.0,-5.519499999999997
DEBW013,1999,27.405999999999995,Stuttgart,Background,0.0,13.333333333333334,25.0,6.666666666666667,41.66666666666667,0.0,-4.226999999999997
DEBW013,2004,23.179,Stuttgart,Background,0.0,18.33333333333333,23.33333333333333,6.666666666666667,35.0,0.0,-3.103499999999997
