Wahlkreis,Gemeindenummer,Gemeindename,A1,A2,A3,A,B,B1,D,Stimmen gesamt,CDU,SPD,PDS,FDP,C5,C6,C7,C8,GRÜNE,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49
54,13054056,Kogel,505,15,0,520,278,15,31,803,389,229,102,x,x,13,x,x,23,x,x,x,x,x,x,x,x,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054057,Körchow,670,23,0,693,414,113,65,1177,617,265,95,33,x,0,x,x,32,x,x,x,x,x,x,x,x,135,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054058,Kremmin,263,6,0,269,183,6,17,532,195,92,86,5,x,13,x,x,12,x,x,x,x,x,x,x,x,31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,98,x,x,x,x,x,x
54,13054059,Krinitz,105,0,0,105,91,0,19,254,104,60,18,10,x,0,x,x,16,x,x,x,x,x,x,x,x,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,x,x,x,x,x,x
54,13054060,Kuhstorf,602,24,0,626,403,22,73,1136,404,440,155,37,x,22,x,x,32,x,x,x,x,x,x,x,x,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054061,Kummer,473,14,0,487,296,14,59,829,330,239,109,x,x,7,x,x,65,x,x,x,x,x,x,x,x,66,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,13,x,x,x,x,x,x,x
54,13054062,Lassahn,407,7,0,414,268,6,48,756,267,276,143,x,x,9,x,x,19,x,x,x,x,x,x,x,x,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054063,Lehsen,236,20,0,256,198,20,26,568,376,125,19,26,x,7,x,x,4,x,x,x,x,x,x,x,x,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054064,Leussow,253,7,0,260,206,7,52,566,250,180,72,x,x,10,x,x,25,x,x,x,x,x,x,x,x,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x,x
54,13054065,Lübesse,578,19,0,597,418,19,85,1169,448,293,205,146,x,32,x,x,24,x,x,x,x,x,x,x,x,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054066,Lüblow,568,12,0,580,397,12,109,1082,277,262,194,x,x,14,x,x,44,x,x,x,x,x,x,x,x,280,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,11,x,x,x,x,x,x,x
54,13054067,"Lübtheen, Stadt",3146,245,0,3391,1634,198,203,4699,1485,1253,1012,620,x,71,x,x,87,x,x,x,x,x,x,x,x,171,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054069,"Ludwigslust, Stadt",9624,681,0,10305,4949,886,571,14276,5330,2965,3322,135,x,284,x,x,1977,x,x,x,x,x,x,x,x,263,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054070,Lüttow,283,13,0,296,199,12,43,554,287,155,58,x,x,6,x,x,19,x,x,x,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054071,Malk Göhren,433,8,0,441,301,7,38,865,303,324,114,14,x,8,x,x,28,x,x,x,x,x,x,x,x,67,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x
54,13054072,Malliß,1284,28,0,1312,706,22,178,1940,630,687,421,32,x,25,x,x,56,x,x,x,x,x,x,x,x,79,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10,x,x,x,x,x
54,13054073,Melkof,281,9,0,290,187,9,60,501,151,168,79,8,x,17,x,x,9,x,x,x,x,x,x,x,x,69,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054074,Milow,256,10,0,266,204,10,43,569,256,110,43,5,x,4,x,x,10,x,x,x,x,x,x,x,x,113,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,28,x,x,x,x,x,x
54,13054075,Möllenbeck,209,4,0,213,150,4,28,422,211,114,57,3,x,5,x,x,14,x,x,x,x,x,x,x,x,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x
54,13054076,Moraas,460,12,0,472,363,11,79,1010,440,265,190,20,x,10,x,x,64,x,x,x,x,x,x,x,x,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054077,Muchow,303,5,0,308,186,5,29,529,173,179,130,1,x,7,x,x,17,x,x,x,x,x,x,x,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9,x,x,x,x,x,x
54,13054078,Neu Gülze,580,14,0,594,361,13,62,1021,223,317,112,x,x,18,x,x,8,x,x,x,x,x,x,x,x,343,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054079,Neu Kaliß,1786,79,0,1865,1101,71,134,3169,523,982,494,724,x,24,x,x,50,x,x,x,x,x,x,x,x,360,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x
54,13054080,Neuhof,257,11,0,268,199,10,20,577,369,106,33,x,x,7,x,x,39,x,x,x,x,x,x,x,x,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054081,"Neustadt-Glewe, Stadt",5877,217,0,6094,2692,210,407,7669,2376,2585,1631,x,x,155,x,x,543,x,x,x,x,x,x,x,x,204,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,175,x,x,x,x,x,x,x
54,13054082,Niendorf an der Rögnitz,266,2,0,268,173,0,27,492,186,121,62,35,x,29,x,x,11,x,x,x,x,x,x,x,x,39,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9,x,x,x,x,x
54,13054083,Nostorf,255,7,0,262,197,7,38,553,72,131,101,x,x,2,x,x,7,x,x,x,x,x,x,x,x,240,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054084,Pampow,1834,103,0,1937,1055,51,120,3045,1919,469,430,34,x,30,x,x,130,x,x,x,x,x,x,x,x,33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054086,Pätow-Steegen,320,10,0,330,195,10,42,543,226,147,94,2,x,8,x,x,13,x,x,x,x,x,x,x,x,53,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054087,Picher,620,17,0,637,424,17,161,1111,372,328,194,31,x,31,x,x,50,x,x,x,x,x,x,x,x,105,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054088,Polz,361,12,0,373,261,12,61,722,188,230,107,73,x,16,x,x,15,x,x,x,x,x,x,x,x,81,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x
54,13054089,Prislich,500,55,0,555,428,42,69,1215,538,235,190,5,x,24,x,x,38,x,x,x,x,x,x,x,x,74,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,111,x,x,x,x,x,x
54,13054090,Pritzier,406,5,0,411,238,4,68,646,142,309,111,16,x,12,x,x,14,x,x,x,x,x,x,x,x,42,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054091,Rastow,1209,80,0,1289,811,58,93,2340,575,1181,221,211,x,32,x,x,43,x,x,x,x,x,x,x,x,77,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054092,Redefin,431,37,0,468,360,34,96,984,276,288,163,103,x,10,x,x,32,x,x,x,x,x,x,x,x,112,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054093,Rodenwalde,402,5,0,407,272,5,38,778,428,198,93,7,x,24,x,x,2,x,x,x,x,x,x,x,x,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054094,Rüterberg,134,2,0,136,99,2,15,282,112,104,20,14,x,4,x,x,16,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054095,Schossin,204,1,0,205,128,1,38,346,133,120,40,4,x,6,x,x,23,x,x,x,x,x,x,x,x,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054096,Schwanheide,591,16,0,607,349,15,71,976,168,357,209,x,x,17,x,x,12,x,x,x,x,x,x,x,x,213,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054097,Setzin,406,9,0,415,305,9,57,858,307,233,197,11,x,11,x,x,20,x,x,x,x,x,x,x,x,79,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054098,Steesow,198,5,0,203,128,5,27,357,93,122,26,9,x,9,x,x,13,x,x,x,x,x,x,x,x,79,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,x,x,x,x,x,x
54,13054099,Stralendorf,1028,55,0,1083,582,48,112,1634,543,431,306,8,x,26,x,x,160,x,x,x,x,x,x,x,x,160,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054100,Strohkirchen,255,9,0,264,229,0,49,638,206,266,94,16,x,6,x,x,7,x,x,x,x,x,x,x,x,43,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054101,Sülstorf,780,18,0,798,508,16,93,1431,511,371,317,149,x,16,x,x,39,x,x,x,x,x,x,x,x,28,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054102,Teldau,685,12,0,697,379,0,42,1095,370,426,105,x,x,27,x,x,10,x,x,x,x,x,x,x,x,157,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054103,Tessin bei Boizenburg,341,2,0,343,197,2,39,552,191,236,54,x,x,5,x,x,12,x,x,x,x,x,x,x,x,54,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054105,Tewswoos,420,23,0,443,320,20,76,884,182,193,122,21,x,6,x,x,28,x,x,x,x,x,x,x,x,97,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,235,x,x,x,x,x
54,13054106,Toddin,435,21,0,456,305,20,53,862,313,276,175,24,x,11,x,x,18,x,x,x,x,x,x,x,x,45,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054107,Uelitz,374,8,0,382,234,8,94,608,244,201,80,51,x,2,x,x,25,x,x,x,x,x,x,x,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054108,Valluhn,242,5,0,247,166,5,28,470,242,131,54,x,x,11,x,x,9,x,x,x,x,x,x,x,x,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054109,Vellahn,753,45,0,798,501,44,108,1395,747,414,161,32,x,6,x,x,11,x,x,x,x,x,x,x,x,24,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054110,Vielank,644,11,0,655,406,7,72,1146,435,267,224,24,x,20,x,x,32,x,x,x,x,x,x,x,x,104,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,40,x,x,x,x,x
54,13054111,Warlitz,374,3,0,377,200,2,31,569,165,193,108,8,x,0,x,x,7,x,x,x,x,x,x,x,x,88,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054112,Warlow,397,12,0,409,338,0,119,895,357,242,122,x,x,30,x,x,90,x,x,x,x,x,x,x,x,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,x,x
54,13054113,Warsow,525,7,0,532,346,1,45,993,359,413,116,21,x,13,x,x,38,x,x,x,x,x,x,x,x,33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054115,Werle,149,0,0,149,101,0,44,259,102,85,33,1,x,4,x,x,11,x,x,x,x,x,x,x,x,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x,x
54,13054116,Wiebendorf,146,4,0,150,124,4,25,347,83,110,70,x,x,3,x,x,4,x,x,x,x,x,x,x,x,77,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054117,"Wittenburg, Stadt",4119,148,0,4267,1922,140,310,5456,2169,1539,835,525,x,71,x,x,100,x,x,x,x,x,x,x,x,217,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054118,Wittenförden,1613,129,0,1742,1216,108,237,3411,949,1208,585,59,x,31,x,x,479,x,x,x,x,x,x,x,x,100,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054119,Wöbbelin,795,13,0,808,493,13,131,1348,430,380,337,x,x,24,x,x,56,x,x,x,x,x,x,x,x,107,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,14,x,x,x,x,x,x,x
54,13054120,Woosmer,263,13,0,276,204,13,38,574,184,160,135,14,x,1,x,x,18,x,x,x,x,x,x,x,x,50,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,12,x,x,x,x,x
54,13054121,"Zarrentin, Stadt",2374,120,0,2494,1302,60,290,3616,1559,1165,617,x,x,48,x,x,82,x,x,x,x,x,x,x,x,145,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054122,Zierzow,409,1,0,410,265,17,39,756,316,144,169,1,x,10,x,x,18,x,x,x,x,x,x,x,x,66,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,32,x,x,x,x,x,x
54,13054123,Zülow,146,2,0,148,108,2,17,307,89,54,24,9,x,7,x,x,25,x,x,x,x,x,x,x,x,99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
54,13054124,Wittendörp,2305,117,0,2422,1441,76,224,4099,1725,1228,461,217,x,42,x,x,114,x,x,x,x,x,x,x,x,312,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055001,Ballin,335,11,0,346,255,10,61,704,266,147,237,19,x,19,x,x,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055002,Beseritz,116,5,0,121,109,5,11,316,217,24,58,2,x,9,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055003,Blankenhof,595,9,0,604,405,6,92,1123,422,243,254,159,x,8,x,x,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,15,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055004,Blankensee,1061,38,0,1099,601,37,83,1720,638,407,538,40,x,33,x,x,32,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,28,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055005,Blumenholz,666,52,0,718,474,42,118,1304,477,209,301,50,x,20,x,x,19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,223,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055007,Brohm,316,6,0,322,244,5,44,688,345,180,123,6,x,20,x,x,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055008,Brunn,985,35,0,1020,744,31,123,2109,1234,270,309,231,x,39,x,x,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055009,"Burg Stargard, Stadt",3422,289,0,3711,1968,261,207,5697,3123,1099,1144,102,x,105,x,x,79,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,33,12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055010,Cammin,257,25,0,282,239,23,51,666,382,139,102,19,x,7,x,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055011,Carpin,603,15,0,618,354,13,66,996,457,172,211,39,x,32,x,x,45,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,40,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055012,Cölpin,748,42,0,790,492,40,98,1378,428,256,566,30,x,46,x,x,22,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,19,11,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055014,Dabelow,164,8,0,172,137,7,14,397,122,96,58,92,x,6,x,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055015,Dewitz,332,20,0,352,214,0,66,576,192,112,99,155,x,13,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055016,Diemitz,152,3,0,155,123,2,35,334,68,180,51,10,x,12,x,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055018,Eichhorst,245,1,0,246,185,0,25,530,303,96,106,3,x,14,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055020,"Friedland, Stadt",5790,337,0,6127,2822,199,435,8031,4970,1364,1305,191,x,129,x,x,38,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,25,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055021,Genzkow,143,8,0,151,117,7,26,325,183,22,96,7,x,12,x,x,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055022,Glienke,113,3,0,116,73,3,33,186,126,16,33,3,x,1,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055023,Godendorf,167,8,0,175,149,8,18,429,117,105,178,11,x,12,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055024,Göhren,174,1,0,175,127,1,16,365,119,161,44,23,x,10,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,0,6,x,x,x,x,x,x
55,13055026,Groß Daberkow,77,0,0,77,57,0,6,165,63,48,29,5,x,11,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,1,x,x,x,x,x,x,x,x,x,x,x,x,6,1,x,x,x,x,x,x
55,13055028,Groß Nemerow,1100,44,0,1144,771,0,117,2196,1000,320,726,22,x,27,x,x,46,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,21,34,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055029,Grünow,264,8,0,272,186,7,86,472,260,88,76,17,x,5,x,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055032,Hohenzieritz,490,27,0,517,365,170,55,1040,504,153,178,125,x,21,x,x,36,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055033,Holldorf,595,31,0,626,467,29,70,1331,593,241,382,22,x,15,x,x,33,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,27,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055034,Jatzke,238,2,0,240,201,0,24,579,433,60,70,6,x,9,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055035,Klein Vielen,596,29,0,625,425,27,62,1213,449,387,164,144,x,29,x,x,21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,13,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055036,Kotelow,706,11,0,717,402,38,117,1089,531,394,126,15,x,11,x,x,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055037,Kratzeburg,419,19,0,438,348,16,121,923,350,210,214,62,x,31,x,x,44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055039,Kublank,220,5,0,225,171,5,44,469,177,178,78,31,x,4,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055040,Leppin,460,5,0,465,359,5,116,961,382,352,172,24,x,16,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055043,Mildenitz,398,6,0,404,206,6,75,543,338,113,59,24,x,4,x,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,x,x,x,x,x,x,x,x,x,x,x,x,0,1,x,x,x,x,x,x
55,13055044,Mirow,3177,267,0,3444,2010,154,465,5565,1695,2567,704,184,x,89,x,x,108,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,208,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055045,Möllenbeck,711,14,0,725,336,12,41,967,484,227,174,21,x,24,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055046,Neddemin,278,8,0,286,209,7,38,589,232,82,125,116,x,15,x,x,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055047,Neetzka,257,10,0,267,182,10,54,492,160,125,102,71,x,13,x,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055048,Neu Käbelich,118,7,0,125,111,0,21,312,152,85,41,4,x,16,x,x,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055049,Neuenkirchen,992,57,0,1049,761,52,90,2193,1099,544,417,74,x,23,x,x,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055050,"Neustrelitz, Stadt",18667,1110,0,19777,9016,94,1229,25819,8726,8330,6598,720,x,546,x,x,574,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,278,47,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055051,Neverin,860,40,0,900,622,40,63,1803,1225,157,349,34,x,8,x,x,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055053,Petersdorf,148,7,0,155,114,0,24,318,134,45,47,76,x,9,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
55,13055054,Pragsdorf,420,8,0,428,285,0,114,741,296,143,236,12,x,24,x,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
