Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;Gültige Stimmen;CDU;DIE LINKE;SPD;AfD;GRÜNE;FDP;FREIE W�HLER;HEIMAT;Die PARTEI;Tierschutzpartei;PIRATEN;B�ndnis C;DKP;A: SAHRA;ASK;Aktive Vorpommern;AWD;ABLR;AfL;dieBasis;BFW;B�NDNIS DEUTSCHLAND;B�ndnis Ducherow;BBM;BSW;BfB;BkW;B�rger f�r Stralsund;BVR;BB;BB NWM;BL;Cannabis und B�rgerrechte;Die Unabh�ngigen;Freier Horizont VG;Freier Horizont LUP;FREIER HORIZONT MSE;Freier Horizont HRO;Freier Horizlucaslorentzont LRO;F�r R�gen;Graue Rostock;IBG;IZ;kus;K-I;LfK;Rostocker Bund;UB;UFR;Volt;VAH;WGLR;LUL;WG Sozial;WGU;W�hlergemeinschaft Wittenhagen;W�hlergruppe Adomeit;WGP;Heimat und Identit�t;WLD;Einzelbewerber
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071064;Hohenbollentin;1;1;97;74;76,3;0,0;100,0;32,0;5,0;11,4;32,9;2,7;1,8;4,6;0,0;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;6,4;x;x;x;x;x;x;x;0,5;x;x;x;1,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;0,0
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;1;1;408;275;67,4;18;804;273;44;44;253;11;6;23;4;x;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;105;x;x;x;x;x;x;x;12;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;3
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071065;Hohenmocker;1;1;408;275;67,4;2,2;97,8;34,0;5,5;5,5;31,5;1,4;0,7;2,9;0,5;x;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;13,1;x;x;x;x;x;x;x;1,5;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;x;x;x;x;x;x;x;x;0,4
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;165;121;73,3;1;360;65;68;30;103;7;3;8;1;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;63;x;x;x;x;x;x;x;0;x;x;x;6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;x;x;x;x;1
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071072;Kentzlin;1;1;165;121;73,3;0,3;99,7;18,1;18,9;8,3;28,6;1,9;0,8;2,2;0,3;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;17,5;x;x;x;x;x;x;x;0,0;x;x;x;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;0,3
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;602;445;73,9;27;1273;324;69;59;476;26;6;96;1;x;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;164;x;x;x;x;x;x;x;16;x;x;x;10;x;x;x;x;x;x;x;x;x;x;x;x;x;x;15;x;x;x;x;x;x;x;x;5
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071076;Kletzin;2;2;602;445;73,9;2,1;97,9;25,5;5,4;4,6;37,4;2,0;0,5;7,5;0,1;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;12,9;x;x;x;x;x;x;x;1,3;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,2;x;x;x;x;x;x;x;x;0,4
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;181;138;76,2;15;393;126;19;38;147;9;10;14;2;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;20;x;x;x;x;x;x;x;1;x;x;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;0
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071089;Lindenberg;1;1;181;138;76,2;3,7;96,3;32,1;4,8;9,7;37,4;2,3;2,5;3,6;0,5;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;5,1;x;x;x;x;x;x;x;0,3;x;x;x;1,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;0,0
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;209;168;80,4;0;495;126;16;38;156;12;12;23;4;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;79;x;x;x;x;x;x;x;3;x;x;x;6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;1
