Gemeindewahl 2021 - Endgültiges Ergebnis - Stand: 23.06.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lfd.-Nr;GKZ;Gemeinde;Wahllokal;Wahlberechtigte ohne Sp.;Wahlberechtigte mit Sp.;Wahlberechtigte sonst.;Wahlberechtigte insgesamt;Wählerinnen und Wähler;darunter mit Wahlschein;ungültige Stimmzettel;gültige Stimmen;CDU;CDU-Sitze;GRÜNE;GRÜNE-Sitze;SPD;SPD-Sitze;AfD;AfD-Sitze;FDP;FDP-Sitze;DIE LINKE;DIE LINKE-Sitze;PIRATEN;PIRATEN-Sitze;FREIE WÄHLER;FREIE WÄHLER-Sitze;NPD;NPD-Sitze;Die PARTEI;Die PARTEI-Sitze;REP;REP-Sitze;DKP;DKP-Sitze;BIG;BIG-Sitze;APPD;APPD-Sitze;Bündnis C;Bündnis C-Sitze;Die Humanisten;Die Humanisten-Sitze;LKR;LKR-Sitze;Tierschutzpartei;Tierschutzpartei-Sitze;Volt;Volt-Sitze;WG1;WG1-Sitze;WG2;WG2-Sitze;WG3;WG3-Sitze;WG4;WG4-Sitze;WG5;WG5-Sitze;WG6;WG6-Sitze;WG7;WG7-Sitze;WG8;WG8-Sitze;WG9;WG9-Sitze;WG10;WG10-Sitze;WG11;WG11-Sitze;WG12;WG12-Sitze;WG13;WG13-Sitze;WG14;WG14-Sitze;WG15;WG15-Sitze;WG16;WG16-Sitze;;;;;;;;;;;;;;;;
55;433006;Groß-Gerau, Stadt;;13296;5864;0;19160;9056;5488;372;296459;93551;12;58187;7;72426;9;4618;1;15550;2;;;;;26045;3;;;;;;;;;;;;;;;;;;;;;;;13781;2;12301;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KOMBI-FWG;DIE LINKE.OL;;;;;;;;;;;;;;
56;433007;Kelsterbach, Stadt;;7904;4510;0;12414;6423;4144;165;184778;36157;6;;;72929;12;;;4666;1;7068;1;;;17105;3;;;;;;;;;;;;;;;;;;;;;;;29442;5;3398;1;4684;1;9329;1;;;;;;;;;;;;;;;;;;;;;;;;;WIK;E.U.K.;FNK;F.W.G.;;;;;;;;;;;;
57;433008;Mörfelden-Walldorf, Stadt;;17225;8205;0;25430;11848;7410;432;496236;99587;9;152063;14;99221;9;;;36924;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51631;5;56810;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FREIE WÄHLER;DKP/LL;;;;;;;;;;;;;;
58;433009;Nauheim;;5378;2989;0;8367;4349;2733;243;122220;40507;10;33824;9;35272;9;;;12617;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;433010;Raunheim, Stadt;;8064;2561;0;10625;4025;2171;143;111215;23692;7;14904;4;53191;15;;;11217;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4809;1;3402;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FNR;FWR;;;;;;;;;;;;;;
60;433011;Riedstadt, Büchnerstadt;;11093;7312;0;18405;9958;6686;324;331747;88101;10;54673;6;82838;9;7229;1;;;14055;1;;;;;;;;;;;;;;;;;;;;;;;;;;;14330;2;9934;1;60587;7;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;FRB;BfR;;;;;;;;;;;;;
61;433012;Rüsselsheim am Main, Stadt;;31247;13900;0;45147;19433;12105;793;775766;173111;10;121223;7;147209;9;21980;1;25810;1;;;;;16282;1;;;;;;;;;;;;;;;;;;;;;;;155524;9;37582;2;26564;2;38948;2;11533;1;;;;;;;;;;;;;;;;;;;;;;;WsR;Linke/Soli;FnR;abi;ADR;;;;;;;;;;;
62;433013;Stockstadt am Rhein;;3345;1427;0;4772;2095;1318;94;43694;19954;11;8446;4;15294;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;433014;Trebur;;6270;4583;0;10853;6093;4094;176;177047;37463;7;;;25342;4;;;8769;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78464;14;27009;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWT;GLT;;;;;;;;;;;;;;
64;434001;Bad Homburg vor der Höhe, Stadt;;25698;14335;0;40033;21558;13174;584;975032;418007;21;179580;9;129710;7;28609;1;93776;5;24128;1;;;;;;;;;;;;;;;;;;;;;;;;;;;82137;4;19085;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLB;PfB;;;;;;;;;;;;;;
65;434002;Friedrichsdorf, Stadt;;11473;7928;0;19401;11214;7434;272;384630;103846;10;115992;11;38462;4;;;42705;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76054;7;7571;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;LF;;;;;;;;;;;;;;
66;434003;Glashütten;;2102;2062;0;4164;2807;1968;69;60888;18731;7;12204;5;5891;2;;;6563;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9006;3;8493;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;WGS;;;;;;;;;;;;;;
67;434004;Grävenwiesbach;;2031;1950;0;3981;2304;1791;52;49744;13996;6;7610;4;5759;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14977;7;7402;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;UB;;;;;;;;;;;;;;
68;434005;Königstein im Taunus, Stadt;;7306;4827;0;12133;6780;4532;155;231643;71496;11;22741;4;13606;2;4180;1;35643;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77560;12;6417;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALK;Klimaliste;;;;;;;;;;;;;;
69;434006;Kronberg im Taunus, Stadt;;8891;5209;0;14100;7420;4716;143;232611;62868;9;41585;6;37542;5;;;37477;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38686;6;14453;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KfB;UBG Kronberg;;;;;;;;;;;;;;
70;434007;Neu-Anspach, Stadt;;6480;4854;0;11334;6676;4490;218;229344;68034;11;35703;6;42163;7;;;9883;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32163;5;23815;4;17583;3;;;;;;;;;;;;;;;;;;;;;;;;;;;B-NOW;FWG-UBN;NBL;;;;;;;;;;;;;
