Gemeindewahl 2021 - Endgültiges Ergebnis - Stand: 23.06.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lfd.-Nr;GKZ;Gemeinde;Wahllokal;Wahlberechtigte ohne Sp.;Wahlberechtigte mit Sp.;Wahlberechtigte sonst.;Wahlberechtigte insgesamt;Wählerinnen und Wähler;darunter mit Wahlschein;ungültige Stimmzettel;gültige Stimmen;CDU;CDU-Sitze;GRÜNE;GRÜNE-Sitze;SPD;SPD-Sitze;AfD;AfD-Sitze;FDP;FDP-Sitze;DIE LINKE;DIE LINKE-Sitze;PIRATEN;PIRATEN-Sitze;FREIE WÄHLER;FREIE WÄHLER-Sitze;NPD;NPD-Sitze;Die PARTEI;Die PARTEI-Sitze;REP;REP-Sitze;DKP;DKP-Sitze;BIG;BIG-Sitze;APPD;APPD-Sitze;Bündnis C;Bündnis C-Sitze;Die Humanisten;Die Humanisten-Sitze;LKR;LKR-Sitze;Tierschutzpartei;Tierschutzpartei-Sitze;Volt;Volt-Sitze;WG1;WG1-Sitze;WG2;WG2-Sitze;WG3;WG3-Sitze;WG4;WG4-Sitze;WG5;WG5-Sitze;WG6;WG6-Sitze;WG7;WG7-Sitze;WG8;WG8-Sitze;WG9;WG9-Sitze;WG10;WG10-Sitze;WG11;WG11-Sitze;WG12;WG12-Sitze;WG13;WG13-Sitze;WG14;WG14-Sitze;WG15;WG15-Sitze;WG16;WG16-Sitze;;;;;;;;;;;;;;;;
161;440002;Bad Nauheim, Stadt;;14954;9322;0;24276;11784;8465;360;445130;110739;10;87782;8;59391;5;;;51572;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135646;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Freie Wähler/UWG;;;;;;;;;;;;;;;
162;440003;Bad Vilbel, Stadt;;15633;10894;0;26527;15302;9962;359;642061;261498;18;189026;13;107682;8;23522;2;41836;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18497;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
163;440004;Büdingen, Stadt;;11392;5620;0;17012;8802;5107;253;287591;82984;11;34176;4;49064;6;18201;2;12846;2;;;;;;;7590;1;;;;;;;;;;;;;;;;;;;;;70057;9;12673;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Büdingen;Pro Vernunft;;;;;;;;;;;;;;
164;440005;Butzbach, Friedrich-Ludwig-Weidig-Stadt;;13337;6819;0;20156;10553;6159;329;357995;108228;11;60539;6;94554;10;;;31853;3;18944;2;;;;;;;;;;;;;;;;;;;;;;;;;;;43877;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG Butzbach;;;;;;;;;;;;;;;
165;440006;Echzell;;2589;1786;0;4375;2367;1629;93;67179;21040;10;15693;7;30446;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;440007;Florstadt, Stadt;;4546;2642;0;7188;3889;2446;166;107594;26750;8;23783;7;57061;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;440008;Friedberg (Hessen), Kreisstadt;;13557;7939;0;21496;10643;7202;428;442964;138018;14;110593;11;82141;8;;;42520;4;26345;3;;;;;;;;;;;;;;;;;;;;;;;;;;;43347;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG;;;;;;;;;;;;;;;
168;440009;Gedern, Stadt;;3660;2175;0;5835;2952;2019;89;77796;22286;8;;;12523;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33805;13;9182;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Gedern;UBG Gedern;;;;;;;;;;;;;;
169;440010;Glauburg;;1490;1029;0;2519;1456;925;38;20780;3028;2;3431;3;4666;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9655;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Glauburg;;;;;;;;;;;;;;;
170;440011;Hirzenhain;;1717;599;0;2316;1076;553;62;13405;5927;7;;;1326;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6152;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UWG;;;;;;;;;;;;;;;
171;440012;Karben, Stadt;;10421;7247;0;17668;10216;6677;224;350013;179189;19;52490;6;56884;6;9444;1;12051;1;12539;1;;;;;;;;;;;;;;;;;;;;;;;;;;;27416;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW Karben;;;;;;;;;;;;;;;
172;440013;Kefenrod;;1513;706;0;2219;1234;672;24;17079;6125;5;;;7020;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3934;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
173;440014;Limeshain;;2996;1332;0;4328;2050;1254;50;43639;;;10230;5;21966;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11443;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UBL;;;;;;;;;;;;;;;
174;440015;Münzenberg, Stadt;;2818;1984;0;4802;2965;1851;57;63880;23613;8;;;22177;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18090;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
175;440016;Nidda, Stadt;;9589;4371;0;13960;7043;3991;258;233667;73680;12;26193;4;58207;9;;;;;11358;2;;;;;;;;;;;;;;;;;;;;;;;;;;;64229;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL Nidda;;;;;;;;;;;;;;;
176;440017;Niddatal, Stadt;;4539;3090;0;7629;4393;2874;112;126497;63012;16;22108;5;26168;6;;;9149;2;6060;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;440018;Ober-Mörlen;;2491;2089;0;4580;2743;1964;85;78868;29192;11;9369;4;20315;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19992;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
178;440019;Ortenberg, Stadt;;4790;2525;0;7315;3742;2275;132;105144;28730;8;15352;5;29822;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31240;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
179;440020;Ranstadt;;2554;1593;0;4147;2290;1452;79;48565;12184;6;5912;3;18979;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11490;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW Ranstadt;;;;;;;;;;;;;;;
180;440021;Reichelsheim (Wetterau), Stadt;;3400;1972;0;5372;2962;1816;78;74438;20379;7;;;40197;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13862;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Freie Wähler;;;;;;;;;;;;;;;
181;440022;Rockenberg;;1817;1623;0;3440;2194;1526;58;47652;18525;9;9596;5;6021;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13510;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dorfpartei;;;;;;;;;;;;;;;
182;440023;Rosbach vor der Höhe, Stadt;;6258;3734;0;9992;5257;3484;169;150072;42074;9;25500;5;20521;4;;;12857;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21888;5;25539;5;1693;0;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Rosbach/Rodheim;Stimme;SALZ;;;;;;;;;;;;;
183;440024;Wölfersheim;;4646;3229;0;7875;4476;2968;107;127451;16864;4;20877;5;73187;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16523;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
184;440025;Wöllstadt;;2961;2140;0;5101;3079;2032;74;90298;36004;12;;;10396;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43898;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
185;531001;Allendorf (Lumda), Stadt;;1891;1357;0;3248;2098;1295;40;45439;8665;4;7479;4;9866;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12269;6;7160;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;BfA/FDP;;;;;;;;;;;;;;
186;531002;Biebertal;;5249;3073;0;8322;4500;2830;130;124956;22249;6;25637;6;27489;7;;;5068;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44513;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
187;531003;Buseck;;6686;3640;0;10326;5867;3399;149;199974;48476;9;28187;5;52633;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70678;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
188;531004;Fernwald;;3365;2138;0;5503;3117;2004;68;78651;20681;7;12568;4;23535;8;;;2492;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19375;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
189;531005;Gießen, Universitätsstadt;;44205;20037;0;64242;31236;17785;831;1731494;355549;12;464400;16;293099;10;95629;3;97542;3;;;;;;;;;56605;2;;;;;;;;;;;;;;;;;31121;1;133332;5;77515;3;126702;4;;;;;;;;;;;;;;;;;;;;;;;;;;;Gießener LINKE;FW;Gigg;;;;;;;;;;;;;
190;531006;Grünberg, Stadt;;7628;3465;0;11093;5793;3223;247;190779;52190;10;32113;6;34676;7;;;12762;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59038;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW Grünberg;;;;;;;;;;;;;;;
191;531007;Heuchelheim an der Lahn;;3588;2422;0;6010;3455;2254;93;87126;26587;8;21066;7;19320;6;;;3813;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7667;2;8673;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;KWI;;;;;;;;;;;;;;
192;531008;Hungen, Stadt;;6735;3590;0;10325;5491;3311;180;184809;37221;7;28782;6;36083;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50192;10;32531;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;Pro Hungen;;;;;;;;;;;;;;
193;531009;Langgöns;;6199;3243;0;9442;4873;2967;111;163198;61004;14;32010;7;43322;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26862;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
194;531010;Laubach, Stadt;;5155;2613;0;7768;3914;2428;145;109526;23813;7;16466;4;22150;6;;;6164;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31446;9;6275;2;3212;1;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;FBLL;BfL;;;;;;;;;;;;;
195;531011;Lich, Stadt;;7607;3572;0;11179;6191;3376;168;210416;33629;6;43466;8;27745;5;;;18021;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28386;5;8540;1;50629;9;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;DBL;BfL;;;;;;;;;;;;;
196;531012;Linden, Stadt;;6104;3793;0;9897;5143;3481;141;168614;60408;13;34328;8;31907;7;4307;1;8567;2;6621;1;;;22476;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;531013;Lollar, Stadt;;5047;2302;0;7349;3410;2113;130;113260;37098;12;27550;9;36450;12;;;12162;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;531014;Pohlheim, Stadt;;8663;5225;0;13888;7312;4814;181;251587;77125;11;40261;6;86162;13;;;16403;2;;;;;31636;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;531015;Rabenau;;2759;1410;0;4169;2450;1346;64;51843;9479;4;5246;2;8688;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5938;3;22492;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;BfRab;;;;;;;;;;;;;;
200;531016;Reiskirchen;;6041;2406;0;8447;4012;2204;122;112873;27304;7;16381;5;32802;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36386;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
201;531017;Staufenberg, Stadt;;4079;2691;0;6770;3504;2490;99;87307;21953;7;;;27880;8;;;3939;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18495;6;15040;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;GAL;;;;;;;;;;;;;;
202;531018;Wettenberg;;5910;4276;0;10186;5997;4009;168;206819;50624;9;36882;7;74810;13;;;8269;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36234;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
203;532001;Aßlar, Stadt;;7368;2808;0;10176;4373;2609;153;146802;24944;6;25494;6;34159;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62205;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
204;532002;Bischoffen;;2007;715;0;2722;1442;682;45;29810;8822;7;4058;3;4489;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12441;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
205;532003;Braunfels, Stadt;;5811;3336;0;9147;4524;3097;183;149871;55942;14;25794;6;32667;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35468;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FDP/FWG;;;;;;;;;;;;;;;
206;532004;Breitscheid;;2795;975;0;3770;1846;908;39;38309;16739;10;;;6230;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15340;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
207;532005;Dietzhölztal;;3344;1038;0;4382;1828;962;43;38586;13780;8;;;13574;8;;;2582;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8650;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
208;532006;Dillenburg, Oranienstadt;;13694;3704;0;17398;6685;3422;222;206716;86114;15;38113;7;49779;9;10583;2;11961;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10166;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bürger für Dillenburg;;;;;;;;;;;;;;;
209;532007;Driedorf;;2562;1396;0;3958;2119;1296;70;57289;26961;15;;;15328;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10418;6;4582;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;FBL;;;;;;;;;;;;;;
210;532008;Ehringshausen;;4799;2298;59;7156;3484;2227;99;98043;34478;11;11217;4;29321;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23027;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
211;532009;Eschenburg;;5885;2076;0;7961;3317;1925;106;90052;43670;15;;;30159;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16223;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
212;532010;Greifenstein;;3419;1949;0;5368;2865;1794;65;81200;20993;8;;;27345;10;6697;3;6356;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10530;4;9279;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ULfG;FWG;;;;;;;;;;;;;;
213;532011;Haiger, Stadt;;11194;2977;0;14171;6209;2781;103;201136;72174;13;;;37492;7;11618;2;22300;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57552;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG-Haiger;;;;;;;;;;;;;;;
214;532012;Herborn, Stadt;;11946;3815;0;15761;7113;3493;231;230149;67029;11;40562;6;52815;8;14290;2;10489;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28880;5;11459;2;4625;1;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;SGH;BfM;;;;;;;;;;;;;
215;532013;Hohenahr;;2820;1191;0;4011;2104;1098;76;35922;13350;7;6045;3;16527;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;532014;Hüttenberg;;5643;2882;0;8525;4994;2693;177;140495;37146;8;27864;6;23536;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39083;9;12866;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;FÖBH;;;;;;;;;;;;;;
217;532015;Lahnau;;4346;2278;0;6624;3650;2118;114;91179;27692;8;;;30397;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22387;7;10703;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;geo;FW/FDP;;;;;;;;;;;;;;
218;532016;Leun, Stadt;;2990;1556;0;4546;2241;1488;51;51939;16325;8;8832;4;12181;6;;;;;;;;;;;3242;2;;;;;;;;;;;;;;;;;;;;;11359;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
219;532017;Mittenaar;;2846;1021;0;3867;1905;950;66;39148;11320;7;4747;3;18621;11;;;4460;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;532018;Schöffengrund;;3409;1853;0;5262;2881;1853;97;70317;14725;6;12823;5;14383;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28386;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
221;532019;Siegbach;;1422;716;0;2138;1487;670;73;19996;7789;6;4696;3;7511;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;532020;Sinn;;3489;1481;0;4970;2345;1387;60;49249;13854;6;14921;7;10640;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9834;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
223;532021;Solms, Stadt;;6681;4030;0;10711;5400;3696;201;179114;35038;7;22464;5;69326;14;;;11216;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41070;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
224;532022;Waldsolms;;2310;1685;0;3995;2224;1590;68;47322;12542;6;5892;3;10424;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9065;4;9399;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;Blaue;;;;;;;;;;;;;;
225;532023;Wetzlar, Stadt;;28493;11286;0;39779;17138;10250;469;899765;245264;16;117893;8;257846;17;56592;4;62628;4;48935;3;;;71382;4;10697;1;28528;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;533001;Beselich;;2578;1724;0;4302;2342;1610;53;54749;19272;9;;;13920;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11289;5;10268;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLB;WIR;;;;;;;;;;;;;;
227;533002;Brechen;;2895;2332;0;5227;2957;2193;58;85182;25512;9;;;13021;5;;;5527;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22618;8;18504;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;BWG;;;;;;;;;;;;;;
228;533003;Bad Camberg, Stadt;;6828;4393;0;11221;6198;4105;194;206699;92121;17;41589;7;60757;11;;;12232;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;533004;Dornburg;;3372;3243;0;6615;3893;3094;116;105719;60697;18;;;20724;6;;;5205;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3322;1;15771;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grüne Hadamar/Dornburg;FWG Dornburg;;;;;;;;;;;;;;
230;533005;Elbtal;;1388;531;0;1919;876;479;18;12432;4879;6;;;3009;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4544;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLE;;;;;;;;;;;;;;;
231;533006;Elz;;3500;2474;0;5974;3279;2321;51;94560;43799;14;;;27571;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23190;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bürger für Elz BL;;;;;;;;;;;;;;;
232;533007;Hadamar, Stadt;;5947;3536;0;9483;4516;3215;222;141847;44744;12;21966;6;20299;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29069;7;25769;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;WfH;;;;;;;;;;;;;;
233;533008;Hünfelden;;5085;2958;0;8043;4354;2749;120;119540;39127;10;;;43630;11;;;7021;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29762;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FBH;;;;;;;;;;;;;;;
234;533009;Limburg an der Lahn, Kreisstadt;;16639;10085;0;26724;13197;9284;346;521611;205322;18;102065;9;136866;12;19184;2;42172;3;16002;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;533010;Löhnberg;;2109;1409;0;3518;2206;1347;34;47278;7261;4;;;21062;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18955;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Freie Wähler;;;;;;;;;;;;;;;
236;533011;Mengerskirchen, Marktflecken;;2813;1735;0;4548;2279;1627;41;51718;26859;13;;;18774;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6085;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
237;533012;Merenberg, Marktflecken;;1653;928;0;2581;1326;863;57;27053;7153;6;4329;4;15571;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;533013;Runkel, Stadt;;4483;3011;0;7494;4067;2789;125;112926;39380;11;13898;4;32294;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27354;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL Runkel;;;;;;;;;;;;;;;
239;533014;Selters (Taunus);;3578;3005;0;6583;3369;2786;59;95331;35677;12;12478;4;13521;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14365;5;19290;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWS;UWE;;;;;;;;;;;;;;
240;533015;Villmar, Marktflecken;;3191;2386;0;5577;3036;2245;75;85322;34640;12;;;29488;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13329;5;7865;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;UFBL;AAV;;;;;;;;;;;;;;
241;533016;Waldbrunn (Westerwald);;2728;1723;0;4451;2282;1636;47;62726;26837;13;;;10951;6;1849;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23089;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BLW;;;;;;;;;;;;;;;
242;533017;Weilburg, Stadt;;6527;3328;0;9855;4793;3085;140;152453;52874;13;22538;5;43349;11;3346;1;13542;3;2049;0;;;;;;;;;;;;;;;;;;;;;;;;;;;14755;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
243;533018;Weilmünster, Marktflecken;;4690;2318;0;7008;3439;2152;97;96520;31530;10;;;38159;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16587;6;10244;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;BfW;;;;;;;;;;;;;;
244;533019;Weinbach;;2322;1241;0;3563;1981;1164;42;27684;8740;5;2425;1;10292;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5045;3;1182;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG Weinbach;WASG;;;;;;;;;;;;;;
245;534001;Amöneburg, Stadt;;2826;1319;0;4145;2315;1261;60;48154;17680;9;6133;3;8910;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15431;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
246;534002;Angelburg;;1947;903;0;2850;1390;874;28;29687;8313;6;;;11133;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10241;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BGL/FWG Angelburg;;;;;;;;;;;;;;;
247;534003;Bad Endbach;;4767;1657;0;6424;2735;1525;78;56126;19525;8;;;24529;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12072;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWG;;;;;;;;;;;;;;;
248;534004;Biedenkopf, Stadt;;6694;3259;0;9953;4997;3040;124;164393;29784;7;9543;2;33465;8;;;5873;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32511;7;25320;6;27897;6;;;;;;;;;;;;;;;;;;;;;;;;;;;BB Biedenkopf;UBL;ZfB;;;;;;;;;;;;;
249;534005;Breidenbach;;3676;1132;0;4808;2177;1072;52;52340;15316;8;;;17703;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19321;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
250;534006;Cölbe;;3802;1628;0;5430;2857;1524;59;71340;16381;6;20618;8;22153;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12188;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BL;;;;;;;;;;;;;;;
251;534007;Dautphetal;;6037;2818;0;8855;4873;2638;69;131535;47465;11;;;36185;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47885;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW;;;;;;;;;;;;;;;
252;534008;Ebsdorfergrund;;5042;2299;0;7341;4225;2150;99;119395;22537;6;14520;4;53779;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28559;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÜBE/FWG;;;;;;;;;;;;;;;
