Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEBB086,PM2.5,2022,9.723,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-2.2479999999999993,-0.058051428571428594,38.72428388620924
DEBB086,PM2.5,2023,8.782,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-0.9410000000000007,-0.7596567567567567,1.2387173438928687
DEBB086,PM2.5,2024,9.559,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.7769999999999992,0.28867507002801124,2.691607556983026
DEBB086,PM2.5,2025,8.783,ug/m3,Background,Suburban,13.4243,52.3497,BB,Teltow-Fläming,Blankenfelde-Mahlow,-0.7759999999999998,1.123741641337386,-0.6905501864970205
DEBB055,PM2.5,2006,16.236,ug/m3,Background,suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,,0.26277777777777733,
DEBB055,PM2.5,2008,14.988,ug/m3,Background,suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-1.248000000000001,0.15089655172413796,-8.270566727605125
DEBB055,PM2.5,2009,16.334,ug/m3,Background,suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,1.346,-0.11429032258064523,-11.777025119954835
DEBB055,PM2.5,2010,20.221,ug/m3,Background,suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,3.8870000000000005,0.6835666666666667,5.6863510020968455
DEBB055,PM2.5,2011,18.772,ug/m3,Background,suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-1.4490000000000016,-0.20848618784530393,6.950100699597208
DEBB055,PM2.5,2012,13.361,ug/m3,Background,suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-5.410999999999998,-1.4926755319148937,3.6250342986854234
DEBB049,PM2.5,2013,12.481,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,-0.8800000000000008,0.25059090909090914,-3.511699619082172
DEBB055,PM2.5,2013,12.916,ug/m3,Background,Suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.4350000000000005,0.25059090909090914,1.7358969707963012
DEBB049,PM2.5,2014,18.713,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,5.797000000000001,0.06082446808510636,95.30703979011811
DEBB055,PM2.5,2014,17.153,ug/m3,Background,Suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-1.5600000000000023,0.06082446808510636,-25.64757324005252
DEBB049,PM2.5,2015,13.688,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,-3.464999999999998,-0.93672,3.699077632590313
DEBB049,PM2.5,2015,13.594,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,-0.0940000000000012,-0.93672,0.10035015799812237
DEBB055,PM2.5,2015,13.317,ug/m3,Background,Suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-0.27699999999999925,-0.93672,0.2957126996327603
DEBB055,PM2.5,2016,13.566,ug/m3,Background,Suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.24900000000000055,-0.3780966183574879,-0.6585618276135246
DEBB049,PM2.5,2016,14.485,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.9189999999999987,-0.3780966183574879,-2.430595660951112
DEBB049,PM2.5,2017,14.215,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,-0.2699999999999996,-0.13064018691588775,2.066745358944091
DEBB049,PM2.5,2017,15.8,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,1.5850000000000009,-0.13064018691588775,-12.132560718245895
DEBB055,PM2.5,2017,14.21,ug/m3,Background,Suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-1.5899999999999999,-0.13064018691588775,12.170833780448554
DEBB055,PM2.5,2018,13.973,ug/m3,Background,Suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-0.2370000000000001,0.39106666666666656,-0.6060347766791685
DEBB055,PM2.5,2018,13.119,ug/m3,Background,Suburban,12.5523,52.4204,BB,Brandenburg an der Havel,Brandenburg an der Havel,-0.854000000000001,0.39106666666666656,-2.183770883054896
DEBB049,PM2.5,2018,14.66,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,1.5410000000000004,0.39106666666666656,3.9405046027957744
DEBB049,PM2.5,2019,11.44,ug/m3,Traffic,Urban,12.5486,52.4094,BB,Brandenburg an der Havel,Brandenburg an der Havel,-3.2200000000000006,-1.4410343347639487,2.23450609213101
