City,Year,Index
Lüchow (Wendland),2017,0.2704019607843137
Lüchow (Wendland),2018,1.0
Lüchow (Wendland),2019,0.2452614107883817
Lüchow (Wendland),2020,0.3926778711484594
Lüchow (Wendland),2021,0.3347058823529412
Lüchow (Wendland),2022,0.3107941176470588
Lüchow (Wendland),2023,0.2933137254901961
Lüchow (Wendland),2024,0.2898627450980392
Lüchow (Wendland),2025,0.1992323651452282
Lüdenscheid,2022,0.2685933609958506
Lüdenscheid,2023,0.1968547717842323
Lüdenscheid,2024,0.3293986928104575
Lüdenscheid,2025,0.3245294117647058
Lüneburg,2024,0.2340882352941176
Lüneburg,2025,0.2559803921568627
Lünen,2020,0.2173823529411765
Lünen,2021,0.3113529411764705
Lünen,2022,0.2578235294117647
Lünen,2023,0.2918132780082987
Lünen,2024,0.3228627450980392
Magdeburg,2007,0.1952745098039215
Magdeburg,2008,0.2547634854771784
Magdeburg,2009,0.2083725490196078
Magdeburg,2010,0.1972745098039215
Magdeburg,2011,0.2124937759336099
Magdeburg,2012,0.2246265560165975
Magdeburg,2013,0.219804979253112
Magdeburg,2014,0.2370373443983402
Magdeburg,2015,0.2875980392156863
Magdeburg,2016,0.3052457711442786
Magdeburg,2017,0.2551960784313725
Magdeburg,2018,0.1831452282157676
Magdeburg,2019,0.2124705882352941
Magdeburg,2020,0.1969751037344398
Magdeburg,2021,0.2435882352941176
Magdeburg,2022,0.2006666666666666
Magdeburg,2023,0.3022058823529411
Magdeburg,2024,0.2441784232365145
Magdeburg,2025,0.1879803921568627
Mainz,2004,0.2709170124481327
Mainz,2005,0.221921568627451
Mainz,2006,0.1875850622406639
Mainz,2007,0.3100746887966805
Mainz,2008,0.4506470588235294
Mainz,2009,0.2797717842323651
Mainz,2010,0.4213069306930693
Mainz,2011,0.1973921161825726
Mainz,2012,0.2399803921568627
Mainz,2013,0.2339803921568627
Mainz,2014,0.1794509803921568
Mainz,2015,0.3199215686274509
Mainz,2016,0.3077058823529411
Mainz,2017,0.2446862745098039
Mainz,2018,0.2085394190871369
Mainz,2019,0.2153319502074689
Mainz,2020,0.220156862745098
Mainz,2021,0.1878651452282157
Mainz,2022,0.402921568627451
Mainz,2023,0.2885196078431373
Mainz,2024,0.1955145228215767
Mainz,2025,0.2061908713692946
Mannheim,2006,0.2232780082987552
Mannheim,2007,0.2054149377593361
Mannheim,2008,0.2354509803921568
Mannheim,2009,0.1981960784313725
Mannheim,2010,0.1987136929460581
Mannheim,2011,0.2108755186721991
Mannheim,2012,0.2305352697095435
Mannheim,2013,0.2714313725490196
Mannheim,2014,0.2916078431372549
Mannheim,2015,0.249921568627451
Mannheim,2016,0.248313725490196
Mannheim,2017,0.2681372549019608
Mannheim,2018,0.2425686274509804
Mannheim,2019,0.3502549019607843
Mannheim,2020,0.1835477178423236
Mannheim,2021,0.4350392156862745
Mannheim,2022,0.3549211618257261
Mannheim,2023,0.2276234439834024
Mannheim,2024,0.3307058823529412
Mannheim,2025,0.2470588235294117
Marburg,2009,0.24
Marburg,2010,0.2187759336099585
Marburg,2011,0.2004896265560166
Marburg,2012,0.1994356846473029
Marburg,2013,0.2269607843137255
Marburg,2014,0.2386846473029046
Marburg,2015,0.2214190871369294
Marburg,2016,0.209954356846473
Marburg,2017,0.3514215686274509
Marburg,2018,0.2185560165975103
Marburg,2019,0.2137549019607843
Marburg,2020,0.2313692946058091
Marburg,2021,0.3666601307189543
Marburg,2022,0.2500829875518672
Marburg,2023,0.3178235294117646
